"","x"
"1",0.668727966589347
"2",0.681849238329945
"3",0.269102959434881
"4",807.142426822198
"5",20.9976494312286
"6",1
"7",1
"8",2
"9",3
"10",1
"11",2
"12",4
"13",1
"14",5
"15",6
"16",2
"17",4
"18",1
"19",1
"20",4
"21",2
"22",3
"23",1
"24",1
"25",2
"26",5
"27",2
"28",5
"29",2
"30",1
"31",6
"32",4
"33",4
"34",5
"35",1
"36",1
"37",4
"38",2
"39",4
"40",5
"41",4
"42",3
"43",3
"44",4
"45",3
"46",1
"47",4
"48",4
"49",4
"50",2
"51",3
"52",4
"53",4
"54",6
"55",1
"56",1
"57",3
"58",3
"59",1
"60",2
"61",1
"62",3
"63",3
"64",5
"65",3
"66",1
"67",5
"68",4
"69",2
"70",3
"71",1
"72",1
"73",1
"74",3
"75",2
"76",3
"77",2
"78",2
"79",4
"80",5
"81",2
"82",4
"83",5
"84",4
"85",3
"86",1
"87",2
"88",4
"89",4
"90",6
"91",5
"92",5
"93",6
"94",1
"95",2
"96",3
"97",6
"98",1
"99",1
"100",4
"101",1
"102",2
"103",3
"104",3
"105",4
"106",1
"107",1
"108",3
"109",1
"110",5
"111",5
"112",4
"113",5
"114",3
"115",2
"116",4
"117",4
"118",6
"119",3
"120",4
"121",6
"122",4
"123",2
"124",6
"125",4
"126",1
"127",1
"128",1
"129",2
"130",1
"131",6
"132",4
"133",4
"134",2
"135",3
"136",3
"137",4
"138",5
"139",1
"140",2
"141",3
"142",1
"143",3
"144",1
"145",2
"146",2
"147",6
"148",6
"149",4
"150",3
"151",5
"152",4
"153",6
"154",6
"155",6
"156",5
"157",4
"158",3
"159",3
"160",2
"161",4
"162",4
"163",4
"164",3
"165",2
"166",4
"167",2
"168",1
"169",3
"170",6
"171",6
"172",3
"173",5
"174",4
"175",4
"176",1
"177",3
"178",2
"179",4
"180",4
"181",1
"182",4
"183",2
"184",1
"185",2
"186",1
"187",2
"188",4
"189",5
"190",3
"191",1
"192",3
"193",3
"194",1
"195",4
"196",4
"197",1
"198",3
"199",4
"200",2
"201",1
"202",6
"203",2
"204",6
"205",4
"206",1
"207",4
"208",4
"209",4
"210",1
"211",4
"212",4
"213",2
"214",3
"215",1
"216",1
"217",3
"218",3
"219",1
"220",1
"221",2
"222",4
"223",2
"224",1
"225",6
"226",5
"227",1
"228",2
"229",4
"230",1
"231",2
"232",2
"233",6
"234",1
"235",1
"236",2
"237",1
"238",4
"239",2
"240",1
"241",1
"242",1
"243",4
"244",4
"245",4
"246",3
"247",2
"248",5
"249",2
"250",1
"251",5
"252",5
"253",3
"254",6
"255",1
"256",1
"257",4
"258",1
"259",1
"260",4
"261",4
"262",1
"263",6
"264",5
"265",4
"266",1
"267",4
"268",3
"269",4
"270",4
"271",4
"272",1
"273",3
"274",4
"275",4
"276",2
"277",2
"278",1
"279",3
"280",3
"281",2
"282",1
"283",3
"284",5
"285",1
"286",4
"287",3
"288",3
"289",3
"290",2
"291",5
"292",5
"293",4
"294",3
"295",1
"296",3
"297",5
"298",1
"299",2
"300",1
"301",6
"302",2
"303",4
"304",2
"305",5
"306",4
"307",5
"308",4
"309",5
"310",1
"311",4
"312",1
"313",5
"314",5
"315",4
"316",1
"317",4
"318",1
"319",3
"320",1
"321",5
"322",5
"323",4
"324",5
"325",4
"326",1
"327",5
"328",2
"329",4
"330",1
"331",4
"332",5
"333",5
"334",2
"335",4
"336",1
"337",3
"338",1
"339",2
"340",6
"341",3
"342",5
"343",6
"344",1
"345",2
"346",2
"347",1
"348",2
"349",1
"350",1
"351",6
"352",5
"353",4
"354",1
"355",4
"356",6
"357",3
"358",2
"359",6
"360",3
"361",6
"362",4
"363",3
"364",4
"365",3
"366",3
"367",6
"368",2
"369",3
"370",2
"371",2
"372",1
"373",1
"374",2
"375",4
"376",4
"377",5
"378",1
"379",3
"380",1
"381",6
"382",3
"383",1
"384",1
"385",2
"386",1
"387",1
"388",1
"389",4
"390",4
"391",2
"392",1
"393",5
"394",4
"395",5
"396",1
"397",6
"398",4
"399",1
"400",2
"401",5
"402",3
"403",3
"404",5
"405",1
"406",2
"407",1
"408",1
"409",1
"410",4
"411",2
"412",5
"413",3
"414",4
"415",3
"416",6
"417",2
"418",1
"419",3
"420",3
"421",1
"422",3
"423",5
"424",5
"425",4
"426",4
"427",1
"428",2
"429",4
"430",3
"431",1
"432",6
"433",4
"434",6
"435",3
"436",4
"437",6
"438",1
"439",3
"440",3
"441",4
"442",4
"443",4
"444",1
"445",4
"446",6
"447",1
"448",1
"449",4
"450",2
"451",4
"452",2
"453",1
"454",2
"455",3
"456",1
"457",3
"458",2
"459",4
"460",3
"461",2
"462",4
"463",5
"464",1
"465",1
"466",5
"467",4
"468",5
"469",4
"470",1
"471",3
"472",3
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",1
"480",3
"481",4
"482",4
"483",2
"484",2
"485",4
"486",3
"487",1
"488",4
"489",6
"490",6
"491",1
"492",6
"493",4
"494",5
"495",1
"496",4
"497",1
"498",1
"499",1
"500",3
"501",5
"502",1
"503",3
"504",4
"505",1
"506",6
"507",2
"508",1
"509",1
"510",3
"511",1
"512",4
"513",3
"514",2
"515",2
"516",1
"517",1
"518",3
"519",1
"520",4
"521",3
"522",3
"523",1
"524",1
"525",4
"526",5
"527",5
"528",2
"529",2
"530",6
"531",3
"532",2
"533",4
"534",4
"535",6
"536",5
"537",4
"538",4
"539",3
"540",3
"541",3
"542",1
"543",5
"544",4
"545",4
"546",2
"547",5
"548",2
"549",4
"550",3
"551",4
"552",1
"553",2
"554",2
"555",4
"556",3
"557",3
"558",1
"559",4
"560",5
"561",4
"562",5
"563",3
"564",6
"565",1
"566",4
"567",1
"568",2
"569",4
"570",4
"571",1
"572",4
"573",5
"574",2
"575",4
"576",2
"577",1
"578",2
"579",1
"580",1
"581",6
"582",2
"583",3
"584",5
"585",1
"586",4
"587",5
"588",6
"589",5
"590",1
"591",4
"592",3
