"","x"
"1",0.202165616394574
"2",0.286918019743514
"3",-0.0157704801584871
"4",3.18815005805852
"5",31.1447732448578
"6",1
"7",1
"8",2
"9",3
"10",2
"11",3
"12",3
"13",4
"14",5
"15",6
"16",7
"17",7
"18",1
"19",3
"20",6
"21",2
"22",6
"23",1
"24",1
"25",7
"26",8
"27",4
"28",4
"29",4
"30",3
"31",3
"32",5
"33",5
"34",7
"35",3
"36",2
"37",5
"38",1
"39",7
"40",4
"41",5
"42",2
"43",4
"44",2
"45",6
"46",1
"47",3
"48",3
"49",4
"50",2
"51",3
"52",8
"53",5
"54",6
"55",1
"56",1
"57",6
"58",6
"59",1
"60",2
"61",7
"62",8
"63",6
"64",8
"65",6
"66",3
"67",3
"68",5
"69",7
"70",3
"71",1
"72",4
"73",7
"74",3
"75",4
"76",2
"77",1
"78",4
"79",3
"80",4
"81",4
"82",3
"83",3
"84",3
"85",5
"86",4
"87",4
"88",2
"89",5
"90",6
"91",7
"92",3
"93",6
"94",4
"95",4
"96",5
"97",6
"98",1
"99",7
"100",7
"101",4
"102",8
"103",6
"104",3
"105",5
"106",1
"107",4
"108",3
"109",1
"110",4
"111",4
"112",3
"113",3
"114",3
"115",7
"116",4
"117",7
"118",3
"119",6
"120",7
"121",2
"122",5
"123",3
"124",2
"125",4
"126",7
"127",4
"128",4
"129",8
"130",1
"131",7
"132",5
"133",3
"134",4
"135",3
"136",6
"137",6
"138",4
"139",1
"140",2
"141",6
"142",4
"143",6
"144",8
"145",4
"146",2
"147",7
"148",6
"149",3
"150",3
"151",6
"152",3
"153",2
"154",3
"155",6
"156",3
"157",5
"158",6
"159",6
"160",7
"161",3
"162",8
"163",4
"164",3
"165",2
"166",7
"167",4
"168",1
"169",6
"170",2
"171",4
"172",8
"173",4
"174",3
"175",3
"176",6
"177",4
"178",7
"179",4
"180",3
"181",1
"182",5
"183",2
"184",2
"185",3
"186",1
"187",2
"188",3
"189",7
"190",6
"191",1
"192",5
"193",3
"194",1
"195",6
"196",3
"197",4
"198",6
"199",7
"200",2
"201",1
"202",3
"203",4
"204",2
"205",6
"206",4
"207",2
"208",3
"209",3
"210",1
"211",3
"212",7
"213",4
"214",3
"215",2
"216",1
"217",3
