"","x"
"1",0.316950549517122
"2",0.428434571217182
"3",0.0734566329337568
"4",105.366877392414
"5",12.6411416530609
"6",1
"7",1
"8",4
"9",4
"10",7
"11",7
"12",2
"13",1
"14",4
"15",2
"16",1
"17",4
"18",1
"19",7
"20",2
"21",2
"22",2
"23",1
"24",1
"25",4
"26",4
"27",6
"28",6
"29",6
"30",7
"31",2
"32",6
"33",4
"34",4
"35",1
"36",7
"37",6
"38",1
"39",7
"40",4
"41",4
"42",2
"43",4
"44",2
"45",2
"46",1
"47",6
"48",4
"49",4
"50",4
"51",7
"52",4
"53",6
"54",2
"55",1
"56",1
"57",2
"58",2
"59",1
"60",4
"61",1
"62",4
"63",2
"64",6
"65",2
"66",7
"67",4
"68",4
"69",1
"70",7
"71",1
"72",7
"73",7
"74",2
"75",4
"76",7
"77",6
"78",4
"79",4
"80",4
"81",1
"82",4
"83",4
"84",4
"85",4
"86",7
"87",7
"88",4
"89",6
"90",4
"91",4
"92",1
"93",2
"94",1
"95",4
"96",1
"97",2
"98",1
"99",7
"100",7
"101",7
"102",2
"103",2
"104",4
"105",6
"106",1
"107",7
"108",4
"109",1
"110",6
"111",4
"112",4
"113",6
"114",4
"115",4
"116",4
"117",6
"118",4
"119",2
"120",2
"121",4
"122",4
"123",4
"124",2
"125",1
"126",7
"127",7
"128",7
"129",4
"130",1
"131",4
"132",6
"133",4
"134",2
"135",4
"136",2
"137",7
"138",4
"139",7
"140",1
"141",4
"142",7
"143",1
"144",7
"145",4
"146",4
"147",4
"148",3
"149",4
"150",4
"151",4
"152",1
"153",4
"154",4
"155",2
"156",4
"157",2
"158",2
"159",2
"160",4
"161",6
"162",4
"163",7
"164",4
"165",4
"166",4
"167",4
"168",7
"169",2
"170",4
"171",2
"172",4
"173",4
"174",4
"175",4
"176",7
"177",7
"178",6
"179",6
"180",4
"181",1
"182",1
"183",4
"184",7
"185",4
"186",1
"187",1
"188",1
"189",6
"190",2
"191",1
"192",4
"193",4
"194",1
"195",6
"196",4
"197",7
"198",2
"199",4
"200",6
"201",1
"202",6
"203",4
"204",4
"205",6
"206",1
"207",4
"208",2
"209",4
"210",1
"211",2
"212",6
"213",1
"214",4
"215",7
"216",1
"217",2
"218",2
"219",1
"220",1
"221",4
"222",4
"223",4
"224",7
"225",7
"226",2
"227",7
"228",4
"229",4
"230",1
"231",7
"232",4
"233",4
"234",1
"235",1
"236",1
"237",1
"238",4
"239",1
"240",7
"241",1
"242",7
"243",6
"244",7
"245",4
"246",2
"247",1
"248",4
"249",4
"250",1
"251",5
"252",4
