"","x"
"1",0.590392968466178
"2",0.697232869732522
"3",0.31634808025494
"4",1456.7342890961
"5",7.2470706820488
"6",1
"7",1
"8",2
"9",3
"10",4
"11",5
"12",6
"13",1
"14",2
"15",7
"16",8
"17",9
"18",10
"19",11
"20",6
"21",5
"22",1
"23",12
"24",12
"25",1
"26",2
"27",13
"28",2
"29",13
"30",11
"31",7
"32",6
"33",9
"34",11
"35",10
"36",4
"37",9
"38",12
"39",14
"40",13
"41",9
"42",7
"43",5
"44",14
"45",7
"46",1
"47",11
"48",6
"49",1
"50",1
"51",4
"52",6
"53",9
"54",1
"55",10
"56",8
"57",8
"58",8
"59",10
"60",8
"61",10
"62",15
"63",8
"64",13
"65",8
"66",1
"67",5
"68",14
"69",5
"70",4
"71",10
"72",4
"73",4
"74",1
"75",13
"76",11
"77",12
"78",1
"79",14
"80",5
"81",1
"82",1
"83",6
"84",1
"85",15
"86",4
"87",15
"88",9
"89",14
"90",3
"91",1
"92",13
"93",8
"94",10
"95",13
"96",9
"97",8
"98",12
"99",4
"100",9
"101",11
"102",2
"103",7
"104",3
"105",6
"106",12
"107",11
"108",8
"109",12
"110",1
"111",1
"112",11
"113",13
"114",3
"115",2
"116",1
"117",13
"118",15
"119",8
"120",11
"121",3
"122",9
"123",13
"124",8
"125",11
"126",11
"127",11
"128",4
"129",8
"130",12
"131",3
"132",11
"133",14
"134",2
"135",15
"136",8
"137",11
"138",13
"139",1
"140",1
"141",3
"142",4
"143",3
"144",4
"145",5
"146",6
"147",15
"148",7
"149",9
"150",15
"151",13
"152",14
"153",1
"154",3
"155",8
"156",2
"157",9
"158",7
"159",7
"160",1
"161",1
"162",1
"163",6
"164",3
"165",13
"166",1
"167",15
"168",4
"169",7
"170",15
"171",1
"172",3
"173",13
"174",6
"175",1
"176",11
"177",11
"178",1
"179",1
"180",6
"181",12
"182",11
"183",5
"184",4
"185",1
"186",10
"187",13
"188",9
"189",5
"190",7
"191",12
"192",15
"193",3
"194",10
"195",6
"196",14
"197",10
"198",8
"199",14
"200",5
"201",10
"202",15
"203",2
"204",15
"205",6
"206",12
"207",14
"208",9
"209",10
"210",1
"211",9
"212",6
"213",15
"214",15
"215",11
"216",12
"217",6
"218",15
"219",10
"220",12
"221",5
"222",9
"223",13
"224",4
"225",3
"226",1
"227",4
"228",1
"229",14
"230",10
"231",5
"232",15
"233",15
"234",12
"235",10
"236",2
"237",12
"238",1
"239",1
"240",11
"241",10
"242",11
"243",13
"244",14
"245",3
"246",8
"247",13
"248",5
"249",6
"250",10
"251",13
"252",5
"253",3
"254",3
"255",10
"256",10
"257",14
"258",11
"259",12
"260",11
"261",2
"262",12
"263",7
"264",5
"265",5
"266",12
"267",9
"268",1
"269",5
"270",6
"271",9
"272",1
"273",15
"274",9
"275",1
"276",5
"277",6
"278",4
"279",15
"280",5
"281",13
"282",4
"283",7
"284",5
"285",10
"286",12
"287",4
"288",1
"289",11
"290",2
"291",5
"292",13
"293",14
"294",7
"295",1
"296",7
"297",5
"298",12
"299",5
"300",10
"301",15
"302",5
"303",6
"304",2
"305",2
"306",7
"307",1
"308",14
"309",8
"310",11
"311",1
"312",4
"313",5
"314",14
"315",1
"316",12
"317",9
"318",4
"319",4
"320",4
"321",14
"322",4
"323",6
"324",2
"325",6
"326",3
"327",2
"328",2
"329",14
"330",8
"331",14
"332",6
"333",2
"334",2
"335",9
"336",10
"337",7
"338",11
"339",2
"340",8
"341",11
"342",1
"343",8
"344",6
"345",6
"346",11
"347",4
"348",1
"349",10
"350",4
"351",7
"352",11
"353",14
"354",4
"355",6
"356",3
"357",7
"358",5
"359",7
"360",12
"361",7
"362",9
"363",8
"364",14
"365",3
"366",15
"367",8
"368",13
"369",3
"370",2
"371",5
"372",1
"373",11
"374",1
"375",14
"376",6
"377",1
"378",4
"379",1
"380",11
"381",1
"382",1
"383",11
"384",1
"385",13
"386",11
"387",10
"388",11
"389",1
"390",8
"391",2
"392",11
"393",1
"394",14
"395",5
"396",12
"397",12
"398",11
"399",11
"400",11
"401",2
"402",7
"403",8
"404",13
"405",10
"406",2
"407",10
"408",1
"409",4
"410",6
"411",2
"412",13
"413",1
"414",1
"415",15
"416",11
"417",5
"418",10
"419",9
"420",7
"421",14
"422",3
"423",5
"424",5
"425",6
"426",9
"427",2
"428",13
"429",9
"430",15
"431",7
"432",8
"433",14
"434",3
"435",8
"436",9
"437",15
"438",12
"439",7
"440",7
"441",14
"442",6
"443",14
"444",11
"445",1
"446",15
"447",10
"448",4
"449",5
"450",2
"451",6
"452",6
"453",8
"454",5
"455",8
"456",10
"457",2
"458",13
"459",6
"460",15
"461",8
"462",9
"463",5
"464",10
"465",1
"466",1
"467",9
"468",13
"469",9
"470",1
"471",15
"472",3
"473",10
"474",1
"475",12
"476",8
"477",1
"478",12
"479",10
"480",6
"481",14
"482",1
"483",14
"484",1
"485",8
"486",8
"487",10
"488",14
"489",15
"490",3
"491",4
"492",3
"493",14
"494",5
"495",10
"496",14
"497",1
"498",1
"499",12
"500",15
"501",1
"502",12
"503",3
"504",14
"505",12
"506",8
"507",13
"508",1
"509",11
"510",11
"511",4
"512",6
"513",7
"514",13
"515",15
"516",2
"517",11
"518",3
"519",4
"520",1
"521",3
"522",15
"523",4
"524",8
"525",14
"526",14
"527",13
"528",6
"529",13
"530",15
"531",8
"532",4
"533",14
"534",6
"535",3
"536",5
"537",5
"538",6
"539",8
"540",8
"541",15
"542",11
"543",1
"544",15
"545",6
"546",13
"547",5
"548",5
"549",9
"550",9
"551",8
"552",14
"553",2
"554",6
"555",6
"556",8
"557",9
"558",1
"559",14
"560",2
"561",1
"562",13
"563",8
"564",3
"565",4
"566",6
"567",10
"568",5
"569",9
"570",9
"571",11
"572",7
"573",2
"574",1
"575",14
"576",1
"577",10
"578",13
"579",4
"580",1
"581",1
"582",1
"583",15
"584",1
"585",11
"586",6
"587",1
"588",10
"589",5
"590",12
"591",9
"592",5
"593",14
"594",7
"595",14
"596",12
"597",14
"598",15
"599",13
"600",14
"601",9
"602",6
"603",10
"604",15
"605",8
"606",3
"607",1
"608",7
"609",7
"610",7
"611",9
"612",10
"613",2
"614",5
"615",7
"616",8
"617",10
"618",2
"619",8
"620",5
"621",11
"622",3
"623",12
"624",13
"625",12
"626",6
"627",6
"628",8
"629",11
"630",10
"631",9
"632",11
"633",1
"634",1
"635",7
"636",8
"637",4
"638",10
"639",7
"640",1
"641",15
"642",8
"643",9
"644",6
"645",4
"646",15
"647",9
"648",1
"649",1
"650",8
"651",3
"652",4
"653",6
"654",1
"655",12
"656",14
"657",4
"658",5
"659",13
"660",9
"661",4
"662",13
"663",6
"664",4
"665",12
"666",15
"667",8
"668",9
"669",9
"670",1
"671",12
"672",5
"673",11
"674",5
"675",9
"676",3
"677",7
"678",11
"679",4
"680",8
"681",15
"682",3
"683",5
"684",3
"685",7
"686",14
"687",10
"688",3
"689",14
"690",5
"691",3
"692",13
"693",7
"694",7
"695",5
"696",8
"697",14
"698",10
"699",7
"700",2
"701",2
"702",9
"703",12
"704",12
"705",11
"706",4
"707",13
"708",9
"709",3
"710",4
"711",11
"712",9
"713",5
"714",1
"715",1
"716",12
"717",9
"718",9
"719",1
"720",10
"721",3
"722",13
"723",4
"724",3
"725",8
"726",15
"727",4
"728",14
"729",15
"730",6
"731",15
"732",9
"733",14
"734",15
"735",5
"736",4
"737",10
"738",3
"739",1
"740",2
"741",1
"742",10
"743",9
"744",9
"745",14
"746",1
"747",9
"748",9
"749",13
"750",6
"751",1
"752",6
"753",15
"754",2
"755",13
"756",10
"757",13
"758",5
"759",4
"760",5
"761",3
"762",11
"763",10
"764",4
"765",6
"766",12
"767",9
"768",2
"769",10
"770",8
"771",14
"772",11
"773",13
"774",15
"775",12
"776",5
"777",12
"778",12
"779",5
"780",1
"781",1
"782",6
"783",10
"784",4
"785",11
"786",2
"787",7
"788",9
"789",7
"790",2
"791",2
"792",15
"793",4
"794",10
"795",9
"796",1
"797",3
"798",3
"799",11
"800",7
"801",3
"802",15
"803",8
"804",7
"805",6
"806",15
"807",1
"808",1
"809",2
"810",9
"811",3
"812",7
"813",2
"814",7
"815",8
"816",2
"817",5
"818",3
"819",14
"820",7
"821",15
"822",6
"823",12
"824",6
"825",1
"826",1
"827",11
"828",1
"829",9
"830",9
"831",1
"832",11
"833",12
"834",4
"835",9
"836",1
"837",1
"838",5
"839",13
"840",1
"841",4
"842",1
"843",2
"844",7
"845",4
"846",1
"847",5
"848",6
"849",2
"850",12
"851",14
"852",5
"853",1
"854",1
"855",8
"856",1
"857",4
"858",1
"859",11
"860",3
"861",1
"862",6
"863",15
"864",11
"865",2
"866",13
"867",8
"868",11
"869",14
"870",2
"871",10
"872",10
"873",9
"874",1
"875",15
"876",1
"877",13
"878",10
"879",2
"880",6
"881",13
"882",1
"883",14
"884",3
"885",14
"886",8
"887",9
"888",2
"889",6
"890",14
"891",3
"892",7
"893",6
"894",1
"895",6
"896",9
"897",13
"898",7
"899",4
"900",1
"901",4
"902",4
"903",3
"904",5
"905",6
"906",3
"907",10
"908",3
"909",5
"910",11
"911",13
"912",2
"913",14
"914",11
"915",8
"916",5
"917",4
"918",2
"919",2
"920",1
"921",11
"922",3
"923",4
"924",3
"925",1
"926",14
"927",10
"928",3
"929",14
"930",3
"931",1
"932",4
"933",1
"934",2
"935",11
"936",15
"937",13
"938",12
"939",1
"940",13
"941",14
"942",1
"943",14
"944",4
"945",6
"946",9
"947",14
"948",8
"949",8
"950",13
"951",1
"952",3
"953",13
"954",10
"955",10
"956",14
"957",12
"958",5
"959",8
"960",1
"961",14
"962",9
"963",10
"964",4
"965",11
"966",11
"967",10
"968",1
"969",13
"970",1
"971",9
"972",7
"973",6
"974",10
"975",9
"976",5
"977",7
"978",4
"979",6
"980",10
"981",14
"982",2
"983",14
"984",11
"985",5
"986",9
"987",2
"988",11
"989",10
"990",9
"991",14
"992",7
"993",2
"994",10
"995",1
"996",3
"997",12
"998",8
"999",6
"1000",10
