"","x"
"1",0.00950125356023973
"2",0.0371414449632298
"3",-0.0283841914633513
"4",2.75563641318906
"5",2.25975174506505
"6",1
"7",2
"8",3
"9",4
"10",2
"11",5
"12",6
"13",4
"14",4
"15",7
"16",8
"17",9
"18",9
"19",10
"20",2
"21",3
"22",3
"23",10
"24",6
"25",10
"26",11
"27",3
"28",7
"29",7
"30",3
"31",4
"32",6
"33",2
"34",9
"35",12
"36",6
"37",13
"38",9
"39",14
"40",15
"41",1
"42",16
"43",3
"44",6
"45",16
"46",9
"47",16
"48",6
"49",2
"50",7
"51",6
"52",2
"53",14
"54",5
"55",12
"56",10
"57",15
"58",6
"59",3
"60",13
"61",2
"62",15
"63",15
"64",14
"65",2
"66",2
"67",5
"68",8
"69",2
"70",2
"71",1
"72",2
"73",13
"74",1
"75",4
"76",9
"77",15
"78",7
"79",5
"80",4
"81",4
"82",2
"83",14
"84",2
"85",14
"86",15
"87",10
"88",1
"89",6
"90",2
"91",11
"92",6
"93",5
"94",15
"95",7
"96",12
"97",10
"98",13
"99",15
"100",14
"101",15
"102",10
"103",12
"104",3
"105",12
"106",11
"107",16
"108",12
"109",16
"110",6
"111",13
"112",7
"113",4
"114",9
"115",3
"116",7
"117",5
"118",15
"119",1
"120",13
"121",4
"122",14
"123",3
"124",16
"125",9
"126",6
"127",5
"128",5
"129",7
"130",6
"131",4
"132",2
"133",14
"134",5
"135",8
"136",5
"137",15
"138",3
"139",16
"140",8
"141",6
"142",4
"143",6
"144",6
"145",16
"146",15
"147",6
"148",4
"149",3
"150",5
"151",15
"152",14
"153",9
"154",14
"155",16
"156",10
"157",12
"158",11
"159",3
"160",9
"161",16
"162",10
"163",3
"164",15
"165",4
"166",11
"167",10
"168",8
"169",12
"170",1
"171",4
"172",2
"173",3
"174",4
"175",15
"176",16
"177",16
"178",16
"179",8
"180",15
"181",2
"182",5
"183",5
"184",3
"185",9
"186",4
"187",12
"188",8
"189",4
"190",11
"191",9
"192",2
"193",7
"194",12
"195",6
"196",13
"197",8
"198",10
"199",16
"200",16
"201",16
"202",14
"203",4
"204",15
"205",9
"206",6
"207",15
"208",2
"209",11
"210",5
"211",16
"212",16
"213",14
"214",3
"215",5
"216",4
"217",16
"218",5
"219",2
"220",16
"221",8
"222",3
"223",16
"224",10
"225",15
"226",5
"227",3
"228",16
"229",13
"230",16
"231",2
"232",3
"233",9
"234",4
"235",2
"236",14
"237",4
"238",15
"239",15
"240",9
"241",7
"242",13
"243",4
"244",6
"245",6
"246",12
"247",1
"248",14
"249",14
"250",1
"251",6
"252",5
"253",16
"254",2
"255",13
"256",5
"257",4
"258",10
"259",9
"260",6
"261",15
"262",1
"263",9
"264",12
"265",2
"266",15
"267",3
"268",2
"269",2
