"","x"
"1",0.0169513203319394
"2",0.0534213856137795
"3",-0.0301129622614298
"4",2.69413334153299
"5",2.40375371774038
"6",1
"7",2
"8",3
"9",4
"10",5
"11",3
"12",2
"13",1
"14",5
"15",1
"16",6
"17",7
"18",3
"19",8
"20",4
"21",8
"22",9
"23",2
"24",2
"25",1
"26",10
"27",4
"28",11
"29",7
"30",9
"31",8
"32",12
"33",9
"34",8
"35",8
"36",4
"37",12
"38",3
"39",13
"40",6
"41",14
"42",2
"43",3
"44",15
"45",8
"46",3
"47",15
"48",5
"49",8
"50",1
"51",1
"52",3
"53",13
"54",4
"55",16
"56",2
"57",6
"58",6
"59",4
"60",8
"61",4
"62",2
"63",16
"64",4
"65",1
"66",10
"67",7
"68",12
"69",4
"70",4
"71",2
"72",2
"73",7
"74",1
"75",9
"76",9
"77",14
"78",4
"79",7
"80",2
"81",8
"82",13
"83",13
"84",6
"85",4
"86",16
"87",1
"88",1
"89",6
"90",12
"91",10
"92",6
"93",8
"94",11
"95",10
"96",9
"97",7
"98",14
"99",14
"100",3
"101",8
"102",9
"103",14
"104",4
"105",1
"106",3
"107",9
"108",11
"109",1
"110",9
"111",8
"112",16
"113",8
"114",15
"115",10
"116",7
"117",7
"118",14
"119",16
"120",15
"121",7
"122",3
"123",15
"124",1
"125",10
"126",9
"127",4
"128",2
"129",2
"130",3
"131",2
"132",4
"133",13
"134",11
"135",1
"136",14
"137",2
"138",4
"139",1
"140",8
"141",5
"142",8
"143",15
"144",15
"145",1
"146",1
"147",3
"148",16
"149",2
"150",1
"151",15
"152",4
"153",2
"154",13
"155",4
"156",5
"157",8
"158",8
"159",4
"160",9
"161",1
"162",15
"163",9
"164",14
"165",3
"166",9
"167",15
"168",15
"169",1
"170",14
"171",10
"172",3
"173",2
"174",15
"175",1
"176",8
"177",12
"178",1
"179",2
"180",6
"181",3
"182",1
"183",8
"184",2
"185",9
"186",15
"187",6
"188",14
"189",9
"190",4
"191",15
"192",9
"193",2
"194",15
"195",12
"196",11
"197",12
"198",16
"199",6
"200",16
"201",1
"202",13
"203",15
"204",16
"205",3
"206",12
"207",16
"208",9
"209",10
"210",4
"211",15
"212",1
"213",13
"214",7
"215",15
"216",7
"217",2
"218",12
"219",10
"220",1
"221",11
"222",5
"223",1
"224",8
"225",11
"226",8
"227",9
"228",1
"229",7
"230",14
"231",8
"232",10
"233",9
"234",2
"235",2
"236",3
"237",9
"238",11
"239",1
"240",9
"241",6
"242",9
"243",8
"244",16
"245",7
"246",1
"247",9
"248",13
"249",4
"250",2
"251",6
"252",1
"253",1
"254",15
"255",15
"256",1
"257",15
"258",7
"259",10
"260",2
"261",11
"262",14
"263",14
"264",1
"265",4
"266",14
"267",3
"268",4
"269",3
"270",6
"271",12
"272",2
"273",1
"274",14
"275",9
"276",15
"277",16
"278",10
"279",4
"280",12
"281",16
"282",4
"283",9
"284",9
"285",14
"286",5
"287",11
"288",2
"289",1
"290",9
"291",13
"292",15
"293",15
"294",9
"295",11
"296",14
"297",9
"298",12
"299",8
"300",13
"301",9
"302",15
"303",1
"304",11
"305",8
"306",13
"307",3
"308",12
"309",2
"310",15
"311",15
"312",8
"313",14
"314",4
"315",4
"316",2
"317",13
"318",6
"319",11
"320",16
"321",13
"322",9
"323",2
"324",11
"325",8
"326",13
"327",5
"328",11
"329",11
"330",1
"331",12
