"","x"
"1",0.232061141842134
"2",0.248862729412745
"3",0.0360227524482259
"4",41.7645480218916
"5",21.3177101612091
"6",16
"7",13
"8",4
"9",8
"10",4
"11",13
"12",13
"13",16
"14",13
"15",13
"16",11
"17",7
"18",4
"19",16
"20",12
"21",11
"22",7
"23",16
"24",16
"25",11
"26",11
"27",6
"28",11
"29",4
"30",4
"31",12
"32",7
"33",13
"34",4
"35",11
"36",12
"37",7
"38",16
"39",4
"40",11
"41",13
"42",16
"43",11
"44",7
"45",11
"46",16
"47",4
"48",13
"49",13
"50",11
"51",11
"52",7
"53",12
"54",4
"55",5
"56",16
"57",6
"58",11
"59",7
"60",4
"61",7
"62",7
"63",13
"64",12
"65",7
"66",13
"67",11
"68",16
"69",11
"70",4
"71",16
"72",8
"73",16
"74",16
"75",11
"76",11
"77",16
"78",12
"79",15
"80",11
"81",11
"82",13
"83",4
"84",7
"85",8
"86",13
"87",16
"88",13
"89",16
"90",8
"91",16
"92",13
"93",13
"94",16
"95",12
"96",7
"97",12
"98",16
"99",13
"100",13
"101",16
"102",16
"103",11
"104",8
"105",12
"106",16
"107",16
"108",8
"109",16
"110",8
"111",11
"112",16
"113",7
"114",8
"115",6
"116",16
"117",12
"118",8
"119",13
"120",4
"121",8
"122",16
"123",13
"124",13
"125",13
"126",16
"127",16
"128",4
"129",7
"130",16
"131",8
"132",16
"133",16
"134",12
"135",7
"136",5
"137",4
"138",12
"139",11
"140",13
"141",8
"142",13
"143",8
"144",11
"145",11
"146",11
"147",8
"148",7
"149",11
"150",13
"151",7
"152",13
"153",8
"154",8
"155",8
"156",16
"157",13
"158",13
"159",13
"160",11
"161",13
"162",16
"163",4
"164",8
"165",11
"166",7
"167",8
"168",4
"169",12
"170",8
"171",7
"172",8
"173",8
"174",5
"175",15
"176",16
"177",12
"178",12
"179",12
"180",12
"181",16
"182",7
"183",11
"184",13
"185",11
"186",16
"187",13
"188",16
"189",11
"190",4
"191",16
"192",4
"193",13
"194",4
"195",12
"196",8
"197",8
"198",16
"199",11
"200",11
