"","x"
"1",0.00860650498721706
"2",0.0367331657688737
"3",-0.0300429461443443
"4",2.43315130954339
"5",1.24881037473679
"6",1
"7",2
"8",3
"9",3
"10",4
"11",2
"12",3
"13",5
"14",6
"15",7
"16",4
"17",8
"18",9
"19",3
"20",6
"21",3
"22",10
"23",1
"24",2
"25",11
"26",8
"27",2
"28",6
"29",1
"30",4
"31",11
"32",5
"33",1
"34",3
"35",4
"36",2
"37",6
"38",12
"39",8
"40",10
"41",11
"42",7
"43",8
"44",11
"45",9
"46",13
"47",1
"48",8
"49",4
"50",2
"51",6
"52",11
"53",3
"54",11
"55",9
"56",12
"57",1
"58",11
"59",3
"60",4
"61",3
"62",9
"63",10
"64",14
"65",11
"66",1
"67",5
"68",15
"69",8
"70",9
"71",10
"72",5
"73",6
"74",10
"75",9
"76",4
"77",13
"78",4
"79",8
"80",8
"81",4
"82",1
"83",12
"84",9
"85",16
"86",9
"87",2
"88",1
"89",6
"90",2
"91",4
"92",9
"93",4
"94",1
"95",1
"96",4
"97",3
"98",6
"99",6
"100",2
"101",12
"102",3
"103",10
"104",16
"105",7
"106",8
"107",10
"108",4
"109",4
"110",15
"111",4
"112",4
"113",14
"114",3
"115",3
"116",9
"117",7
"118",9
"119",15
"120",8
"121",14
"122",8
"123",14
"124",9
"125",9
"126",12
"127",4
"128",9
"129",3
"130",3
"131",5
"132",12
"133",1
"134",12
"135",11
"136",11
"137",4
"138",14
"139",2
"140",4
"141",3
"142",6
"143",11
"144",3
"145",15
"146",15
"147",10
"148",3
"149",7
"150",8
"151",6
"152",9
"153",12
"154",7
"155",10
"156",3
"157",1
"158",3
"159",3
"160",2
"161",1
"162",15
"163",3
"164",3
"165",9
"166",13
"167",4
"168",12
"169",9
"170",3
"171",3
"172",4
"173",8
"174",9
"175",10
"176",2
"177",4
"178",14
"179",9
"180",7
"181",4
"182",5
"183",10
"184",14
"185",10
"186",8
"187",2
"188",8
"189",15
"190",2
"191",3
"192",5
"193",2
"194",6
"195",5
"196",2
"197",8
"198",3
"199",3
"200",10
"201",1
"202",5
"203",8
"204",16
"205",2
"206",2
"207",2
"208",8
"209",4
"210",8
"211",9
"212",13
"213",9
"214",1
"215",1
"216",10
"217",2
"218",3
"219",11
"220",4
"221",15
"222",4
"223",2
"224",16
"225",7
"226",7
"227",14
"228",15
"229",1
"230",4
"231",8
"232",12
"233",3
"234",14
"235",13
"236",16
"237",16
"238",1
"239",15
"240",9
"241",2
"242",12
"243",9
"244",3
"245",13
"246",8
"247",2
"248",13
"249",3
"250",4
"251",3
"252",6
"253",1
"254",6
"255",9
"256",2
"257",1
"258",12
"259",10
"260",9
"261",10
"262",11
"263",2
"264",10
"265",16
"266",11
"267",14
"268",4
"269",1
"270",13
"271",12
"272",12
"273",9
"274",3
"275",13
"276",10
"277",4
"278",6
"279",10
"280",4
"281",15
"282",9
"283",5
"284",2
"285",10
"286",12
"287",8
"288",8
"289",5
"290",2
"291",1
"292",1
"293",6
"294",10
"295",2
"296",8
"297",11
"298",16
"299",1
"300",3
"301",11
"302",14
"303",8
"304",9
"305",13
"306",10
"307",10
"308",1
"309",11
"310",6
"311",12
"312",2
"313",8
"314",10
"315",13
"316",1
"317",2
"318",6
"319",11
"320",7
"321",9
"322",4
"323",11
"324",4
"325",14
"326",14
"327",7
"328",2
"329",10
"330",1
"331",13
"332",14
"333",3
"334",8
"335",16
"336",14
"337",7
"338",8
"339",3
"340",10
"341",8
"342",16
"343",16
"344",9
"345",4
"346",11
"347",11
"348",4
"349",3
"350",8
"351",4
"352",11
"353",1
"354",2
"355",8
"356",10
"357",5
"358",13
"359",1
"360",8
"361",1
"362",2
"363",9
"364",16
"365",10
"366",5
"367",10
"368",2
"369",9
"370",9
"371",3
"372",2
"373",3
