"","x"
"1",0.0131075505825863
"2",0.0211444124735623
"3",0.053777009061283
"4",56.9919389347299
"5",20.6183505058289
"6",1
"7",1
"8",8
"9",1
"10",1
"11",1
"12",3
"13",1
"14",5
"15",8
"16",1
"17",8
"18",1
"19",1
"20",3
"21",3
"22",1
"23",3
"24",1
"25",3
"26",1
"27",8
"28",1
"29",8
"30",3
"31",8
"32",1
"33",1
"34",3
"35",1
"36",1
"37",1
"38",1
"39",3
"40",3
"41",1
"42",8
"43",1
"44",1
"45",1
"46",1
"47",8
"48",3
"49",8
"50",8
"51",5
"52",1
"53",1
"54",8
"55",1
"56",1
"57",1
"58",8
"59",1
"60",1
"61",1
"62",5
"63",1
"64",1
"65",1
"66",3
"67",1
"68",1
"69",5
"70",3
"71",8
"72",1
"73",5
"74",8
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",8
"84",8
"85",3
"86",1
"87",1
"88",1
"89",3
"90",1
"91",5
"92",1
"93",8
"94",1
"95",1
"96",8
"97",5
"98",5
"99",4
"100",1
"101",3
"102",8
"103",1
"104",1
"105",1
"106",8
"107",3
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",8
"116",8
"117",8
"118",1
"119",1
"120",3
"121",1
"122",8
"123",1
"124",1
"125",1
"126",8
"127",8
"128",4
"129",3
"130",1
"131",1
"132",3
"133",8
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",8
"142",3
"143",1
"144",1
"145",5
"146",1
"147",1
"148",1
"149",5
"150",1
"151",1
"152",1
"153",5
"154",1
"155",3
"156",5
"157",1
"158",8
"159",1
"160",5
"161",8
"162",3
"163",1
"164",5
"165",5
"166",1
"167",8
"168",5
"169",8
"170",1
"171",1
"172",8
"173",1
"174",1
"175",8
"176",5
"177",3
"178",8
"179",8
"180",8
"181",1
"182",5
"183",5
"184",1
"185",8
"186",5
"187",8
"188",1
"189",5
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",4
"198",1
"199",1
"200",1
"201",1
"202",5
"203",1
"204",1
"205",1
"206",3
"207",3
"208",3
"209",1
"210",8
"211",3
"212",1
"213",5
"214",1
"215",1
"216",1
"217",8
"218",1
"219",1
"220",5
"221",1
"222",1
"223",5
"224",3
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",3
"232",8
"233",1
"234",4
"235",1
"236",3
"237",4
"238",1
"239",3
"240",8
"241",1
"242",1
"243",1
"244",1
"245",5
"246",1
"247",1
"248",1
"249",1
"250",1
"251",1
"252",1
"253",5
"254",1
"255",5
"256",1
"257",1
"258",1
"259",3
"260",1
"261",3
"262",1
"263",8
"264",5
"265",1
"266",1
"267",1
"268",5
"269",1
"270",1
"271",5
"272",1
"273",5
"274",5
"275",5
"276",8
"277",1
"278",1
"279",5
"280",1
"281",8
"282",1
"283",8
"284",1
"285",1
"286",8
"287",1
"288",1
"289",5
"290",1
"291",1
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",3
"299",1
"300",1
"301",1
"302",1
"303",1
"304",5
"305",1
"306",8
"307",1
"308",1
"309",3
"310",1
"311",3
"312",8
"313",3
"314",1
"315",3
"316",1
"317",1
"318",1
"319",4
"320",1
"321",1
"322",1
"323",1
"324",5
"325",1
"326",1
"327",1
"328",8
"329",1
"330",5
"331",5
"332",8
"333",1
"334",1
"335",1
"336",1
"337",8
"338",1
"339",1
"340",3
"341",8
"342",5
"343",1
"344",8
"345",1
"346",1
"347",1
"348",3
"349",1
"350",1
"351",1
"352",1
"353",5
"354",1
"355",1
"356",5
"357",1
"358",1
"359",1
"360",1
"361",3
"362",1
"363",1
"364",8
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",5
"372",1
"373",1
"374",3
"375",1
"376",8
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",8
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",5
"401",5
"402",1
"403",1
"404",1
"405",8
"406",8
"407",1
"408",1
"409",5
"410",1
"411",8
"412",8
"413",5
"414",1
"415",1
"416",8
"417",1
"418",1
"419",1
"420",4
"421",8
"422",8
"423",1
"424",8
"425",1
"426",1
"427",1
"428",1
"429",1
"430",1
"431",1
"432",1
"433",8
"434",1
"435",1
"436",8
"437",1
"438",8
"439",1
"440",5
"441",1
"442",3
"443",1
"444",8
"445",8
"446",1
"447",1
"448",1
"449",8
"450",1
"451",3
"452",1
"453",5
"454",1
"455",1
"456",1
"457",1
"458",1
"459",1
"460",1
"461",1
"462",1
"463",3
"464",1
"465",1
"466",8
"467",8
"468",8
"469",1
"470",8
"471",1
"472",1
"473",1
"474",1
"475",7
"476",1
"477",1
"478",1
"479",1
"480",8
"481",5
"482",5
"483",8
"484",3
"485",1
"486",1
"487",1
"488",1
"489",1
"490",1
"491",8
"492",1
"493",1
"494",3
"495",1
"496",1
"497",1
"498",3
"499",3
"500",8
"501",5
"502",4
"503",1
"504",3
"505",1
"506",5
"507",1
"508",5
"509",3
"510",8
"511",1
"512",3
"513",1
"514",3
"515",1
"516",1
"517",1
"518",1
"519",5
"520",3
"521",1
"522",8
"523",1
"524",1
"525",3
"526",1
"527",3
"528",1
"529",1
"530",1
"531",1
"532",1
"533",3
"534",1
"535",8
"536",1
"537",8
"538",1
"539",1
"540",1
"541",1
"542",1
"543",1
"544",1
"545",8
"546",1
"547",3
"548",1
"549",1
"550",1
"551",1
"552",1
"553",1
"554",1
"555",3
"556",8
"557",3
"558",1
"559",5
"560",3
"561",1
"562",1
"563",1
"564",5
"565",1
"566",1
"567",1
"568",3
"569",1
"570",5
"571",1
"572",8
"573",1
"574",1
"575",1
"576",1
"577",1
"578",1
"579",5
"580",4
"581",1
"582",1
"583",8
"584",5
"585",1
"586",8
"587",5
"588",8
"589",1
"590",3
"591",1
"592",5
"593",1
"594",1
"595",1
"596",1
"597",8
"598",5
"599",1
"600",3
"601",1
"602",1
"603",4
"604",1
"605",3
"606",1
"607",5
"608",1
"609",1
"610",1
"611",1
"612",1
"613",3
"614",1
"615",8
"616",1
"617",1
"618",1
"619",1
"620",1
"621",1
"622",1
"623",3
"624",1
"625",1
"626",1
"627",1
"628",8
"629",1
"630",1
"631",3
"632",1
"633",3
"634",1
"635",8
"636",5
"637",1
"638",8
"639",1
"640",5
"641",1
"642",1
"643",1
"644",1
"645",1
"646",1
"647",1
"648",3
"649",1
"650",1
"651",1
"652",4
"653",3
"654",1
"655",8
"656",1
"657",1
"658",1
"659",1
"660",5
"661",3
"662",1
"663",1
"664",5
"665",8
"666",1
"667",1
"668",5
"669",5
"670",1
"671",1
"672",5
"673",5
"674",3
"675",1
"676",5
"677",1
"678",8
"679",1
"680",1
"681",1
"682",3
"683",8
"684",5
"685",5
"686",5
"687",1
"688",8
"689",8
"690",1
"691",5
"692",8
"693",1
"694",5
"695",1
"696",1
"697",5
"698",1
"699",1
"700",3
"701",1
"702",1
"703",1
"704",5
"705",3
"706",8
"707",1
"708",1
"709",1
"710",1
"711",1
"712",5
"713",1
"714",1
"715",8
"716",5
"717",1
"718",1
"719",8
"720",1
"721",1
"722",8
"723",1
"724",8
"725",1
"726",1
"727",1
"728",5
"729",1
"730",1
"731",3
"732",1
"733",1
"734",1
"735",8
"736",1
"737",1
"738",1
"739",1
"740",1
"741",5
"742",1
"743",1
"744",1
"745",5
"746",5
"747",3
"748",1
"749",8
"750",1
"751",8
"752",1
"753",1
"754",1
"755",8
"756",1
"757",1
"758",1
"759",1
"760",1
"761",1
"762",8
"763",1
"764",5
"765",1
"766",8
"767",1
"768",3
"769",5
"770",1
"771",1
"772",1
"773",5
"774",1
"775",8
"776",8
"777",1
"778",1
"779",8
"780",5
"781",1
"782",1
"783",3
"784",1
"785",1
"786",1
"787",1
"788",3
"789",1
"790",1
"791",5
"792",1
"793",8
"794",1
"795",1
"796",1
"797",1
"798",8
"799",1
"800",1
"801",3
"802",5
"803",1
"804",1
"805",3
"806",3
"807",1
"808",1
"809",5
"810",8
"811",5
"812",1
"813",1
"814",1
"815",1
"816",3
"817",3
"818",1
