"","x"
"1",0.199471810077697
"2",0.281881796835096
"3",-0.0203659039613687
"4",288.313147766303
"5",4.07350592215856
"6",1
"7",2
"8",3
"9",4
"10",5
"11",1
"12",5
"13",6
"14",3
"15",4
"16",3
"17",6
"18",4
"19",1
"20",3
"21",5
"22",2
"23",1
"24",1
"25",5
"26",7
"27",6
"28",5
"29",3
"30",5
"31",4
"32",4
"33",3
"34",3
"35",2
"36",1
"37",7
"38",1
"39",3
"40",5
"41",3
"42",2
"43",4
"44",5
"45",4
"46",4
"47",8
"48",5
"49",6
"50",3
"51",1
"52",3
"53",5
"54",4
"55",1
"56",1
"57",2
"58",4
"59",2
"60",3
"61",4
"62",5
"63",4
"64",3
"65",3
"66",1
"67",3
"68",7
"69",5
"70",1
"71",1
"72",6
"73",1
"74",4
"75",5
"76",1
"77",1
"78",4
"79",4
"80",1
"81",5
"82",6
"83",6
"84",6
"85",2
"86",6
"87",5
"88",7
"89",6
"90",3
"91",5
"92",6
"93",8
"94",1
"95",3
"96",1
"97",4
"98",1
"99",4
"100",7
"101",1
"102",3
"103",4
"104",2
"105",8
"106",6
"107",6
"108",5
"109",8
"110",3
"111",5
"112",4
"113",6
"114",5
"115",4
"116",5
"117",8
"118",5
"119",2
"120",5
"121",4
"122",7
"123",8
"124",4
"125",8
"126",1
"127",1
"128",1
"129",5
"130",1
"131",2
"132",3
"133",4
"134",3
"135",2
"136",4
"137",8
"138",8
"139",1
"140",1
"141",4
"142",1
"143",4
"144",1
"145",3
"146",5
"147",5
"148",4
"149",1
"150",4
"151",6
"152",5
"153",4
"154",2
"155",4
"156",5
"157",7
"158",4
"159",2
"160",3
"161",1
"162",5
"163",1
"164",8
"165",1
"166",8
"167",5
"168",4
"169",2
"170",8
"171",2
"172",2
"173",3
"174",6
"175",3
"176",4
"177",1
"178",3
"179",4
"180",8
"181",1
"182",2
"183",5
"184",1
"185",3
"186",6
"187",8
"188",7
"189",3
"190",2
"191",1
"192",4
"193",1
"194",2
"195",5
"196",6
"197",1
"198",2
"199",1
"200",5
"201",2
"202",5
"203",1
"204",2
"205",8
"206",1
"207",1
"208",7
"209",8
"210",1
"211",6
"212",6
"213",4
"214",5
"215",1
"216",1
"217",8
"218",2
"219",4
"220",1
"221",1
"222",8
"223",8
"224",1
"225",2
"226",1
"227",1
"228",6
"229",3
"230",6
"231",6
"232",6
"233",6
"234",6
"235",4
"236",5
"237",6
"238",1
"239",4
"240",6
"241",5
"242",1
"243",3
"244",5
"245",8
"246",4
"247",6
"248",5
"249",8
"250",8
"251",8
"252",6
"253",5
"254",4
"255",6
"256",1
"257",1
"258",4
"259",1
"260",1
"261",8
"262",1
"263",4
"264",1
"265",6
"266",5
"267",7
"268",2
"269",3
"270",6
"271",7
"272",1
"273",5
"274",5
"275",4
"276",5
"277",8
"278",1
"279",4
"280",6
"281",2
"282",1
"283",4
"284",1
"285",5
"286",6
"287",6
"288",6
"289",1
"290",2
"291",1
"292",3
"293",5
"294",4
"295",4
"296",4
"297",3
"298",4
"299",5
"300",1
"301",2
"302",5
"303",5
"304",1
"305",1
"306",6
"307",3
"308",6
"309",4
"310",1
"311",1
"312",1
"313",3
"314",3
"315",6
"316",1
"317",6
"318",4
"319",1
"320",4
"321",3
"322",6
"323",6
"324",6
"325",7
"326",1
"327",5
"328",1
"329",5
"330",1
"331",3
"332",6
"333",3
"334",8
"335",1
"336",4
"337",4
"338",1
"339",3
"340",3
"341",1
"342",1
"343",4
"344",5
"345",3
"346",6
"347",1
"348",3
"349",5
"350",1
"351",4
"352",3
"353",5
"354",4
"355",2
"356",2
"357",4
"358",5
"359",2
"360",1
"361",5
"362",6
"363",5
"364",5
"365",1
"366",5
"367",6
"368",8
"369",5
"370",3
"371",3
"372",1
"373",1
"374",8
"375",4
"376",8
"377",6
"378",1
"379",1
"380",1
"381",4
"382",5
"383",1
"384",5
"385",5
"386",1
"387",2
"388",4
"389",2
"390",8
"391",3
"392",1
"393",1
"394",6
"395",5
"396",1
"397",3
"398",4
"399",1
"400",6
"401",6
"402",4
"403",2
"404",8
"405",4
"406",5
"407",6
"408",1
"409",5
"410",8
"411",5
"412",3
"413",8
"414",2
"415",6
"416",2
"417",1
"418",2
"419",7
"420",4
"421",6
"422",4
"423",8
"424",4
"425",8
"426",1
"427",3
"428",1
"429",7
"430",4
"431",1
"432",8
"433",5
"434",4
"435",2
"436",5
"437",5
"438",4
"439",2
"440",2
"441",6
"442",5
"443",1
"444",5
"445",6
"446",4
"447",6
"448",1
"449",3
"450",3
"451",8
"452",3
"453",1
"454",1
"455",5
"456",4
"457",4
"458",8
"459",8
"460",4
"461",6
"462",5
"463",3
"464",4
"465",1
"466",5
"467",7
"468",8
"469",7
"470",2
"471",6
"472",2
"473",5
"474",1
"475",4
"476",4
"477",1
"478",5
"479",1
"480",6
"481",5
"482",5
"483",3
"484",5
"485",1
"486",2
"487",1
"488",5
"489",4
"490",4
"491",1
"492",5
"493",4
"494",5
"495",2
"496",1
"497",1
"498",1
"499",1
"500",5
"501",1
"502",4
"503",6
"504",3
"505",1
"506",4
"507",8
"508",1
"509",1
"510",1
"511",1
"512",8
"513",5
"514",4
"515",3
"516",1
"517",1
"518",4
"519",1
"520",1
"521",2
"522",4
"523",1
"524",1
"525",4
"526",4
"527",6
"528",1
"529",8
"530",5
"531",2
"532",3
"533",2
"534",6
"535",2
"536",5
"537",3
"538",5
"539",8
"540",4
"541",2
"542",1
"543",5
"544",8
"545",5
"546",5
"547",5
"548",6
"549",7
"550",8
"551",3
"552",6
"553",1
"554",8
"555",8
"556",1
"557",6
"558",1
"559",3
"560",5
"561",7
"562",5
"563",8
"564",4
"565",4
"566",8
"567",4
"568",5
"569",8
"570",7
"571",1
"572",6
"573",5
"574",8
"575",5
"576",4
"577",1
"578",5
"579",6
"580",6
"581",1
"582",1
"583",4
"584",3
"585",6
"586",8
"587",5
"588",4
"589",5
"590",6
"591",6
"592",1
"593",6
"594",8
"595",8
"596",5
"597",6
"598",3
"599",5
"600",8
"601",7
"602",8
"603",1
"604",1
"605",2
"606",5
"607",5
"608",2
"609",5
"610",4
"611",7
"612",8
"613",5
"614",3
"615",4
"616",8
"617",4
"618",5
"619",6
"620",6
"621",1
"622",8
"623",1
"624",7
"625",3
"626",8
"627",2
"628",1
"629",1
"630",1
"631",5
"632",6
"633",5
"634",1
"635",8
"636",3
"637",4
"638",6
"639",2
"640",4
"641",3
"642",2
"643",7
"644",8
"645",3
"646",6
"647",6
"648",1
"649",2
"650",4
"651",3
"652",1
"653",6
"654",4
"655",1
"656",5
"657",1
"658",3
"659",2
"660",7
"661",1
"662",8
"663",5
"664",1
"665",6
"666",6
"667",4
"668",8
"669",7
"670",3
"671",6
"672",5
"673",1
"674",3
"675",7
"676",1
"677",2
"678",1
"679",1
"680",4
"681",6
"682",5
"683",5
"684",6
"685",5
"686",3
"687",8
"688",2
"689",5
"690",5
"691",6
"692",8
"693",8
"694",1
"695",1
"696",8
"697",6
"698",1
"699",4
"700",5
"701",6
"702",7
"703",1
"704",6
"705",3
"706",1
"707",5
"708",7
"709",2
"710",1
"711",6
"712",5
"713",3
"714",6
"715",6
"716",1
"717",7
"718",7
"719",2
"720",1
"721",2
"722",8
"723",1
"724",4
"725",5
"726",4
"727",5
"728",5
"729",4
"730",6
"731",2
"732",5
"733",8
"734",1
"735",8
"736",1
"737",4
"738",2
"739",3
"740",6
"741",5
"742",1
"743",8
"744",7
"745",3
"746",1
"747",7
"748",7
"749",3
"750",6
"751",3
"752",6
"753",2
"754",8
"755",8
"756",5
"757",3
"758",8
"759",1
"760",3
"761",4
"762",6
"763",4
"764",1
"765",8
"766",1
"767",7
"768",3
"769",2
"770",5
"771",8
"772",1
"773",8
"774",5
"775",4
"776",1
"777",1
"778",6
"779",3
"780",5
"781",3
"782",8
"783",1
"784",4
"785",1
"786",4
"787",5
"788",7
"789",2
"790",3
"791",3
"792",6
"793",1
"794",5
"795",5
"796",8
"797",4
"798",4
"799",4
"800",8
"801",4
"802",5
"803",6
"804",2
"805",8
"806",4
"807",4
"808",1
"809",3
"810",7
"811",2
"812",4
"813",8
"814",6
"815",8
"816",6
"817",4
"818",6
"819",4
"820",4
"821",4
"822",6
"823",5
"824",8
"825",1
"826",1
"827",1
"828",5
"829",7
"830",7
"831",5
"832",1
"833",1
"834",1
"835",7
"836",5
"837",3
"838",5
"839",5
"840",4
"841",1
"842",4
"843",1
"844",1
"845",5
"846",5
"847",1
"848",6
"849",5
"850",6
"851",5
"852",1
"853",1
"854",3
"855",2
"856",6
"857",6
"858",5
"859",5
"860",5
"861",8
"862",5
"863",5
"864",3
"865",1
"866",6
"867",2
"868",1
"869",2
"870",8
"871",6
"872",2
"873",7
"874",5
"875",2
"876",3
"877",3
"878",2
"879",5
"880",4
"881",8
"882",8
"883",6
"884",2
"885",7
"886",4
"887",8
"888",5
"889",6
"890",5
"891",2
"892",4
"893",5
"894",8
"895",1
"896",7
"897",3
"898",6
"899",6
"900",1
"901",6
"902",1
"903",4
"904",3
"905",1
"906",4
"907",4
"908",4
"909",5
"910",1
"911",6
"912",5
"913",5
"914",6
"915",1
"916",5
"917",6
"918",3
"919",3
"920",3
"921",1
"922",6
"923",4
"924",5
"925",6
"926",6
"927",5
"928",5
"929",4
"930",4
"931",1
"932",1
"933",8
"934",3
"935",2
"936",8
"937",6
"938",5
"939",6
"940",8
"941",1
"942",6
"943",5
"944",4
"945",3
"946",7
"947",5
"948",6
"949",4
"950",6
"951",8
"952",2
"953",8
"954",2
"955",5
"956",8
"957",6
"958",5
"959",6
"960",8
"961",5
"962",7
"963",5
"964",6
"965",8
"966",1
"967",2
"968",1
"969",5
"970",5
"971",7
"972",2
"973",6
"974",1
"975",7
"976",3
"977",4
"978",1
"979",8
"980",2
"981",5
"982",3
"983",6
"984",6
"985",4
"986",6
"987",2
"988",1
"989",2
"990",8
"991",3
"992",4
"993",4
"994",1
"995",6
"996",4
"997",1
"998",6
"999",5
"1000",8
"1001",5
"1002",4
"1003",3
"1004",4
"1005",6
"1006",6
"1007",6
"1008",1
"1009",3
"1010",1
"1011",8
"1012",4
"1013",1
"1014",6
"1015",4
"1016",1
"1017",4
"1018",5
"1019",2
"1020",6
"1021",2
"1022",8
"1023",4
"1024",4
"1025",7
"1026",1
"1027",8
"1028",4
"1029",1
"1030",3
"1031",1
"1032",6
"1033",5
"1034",6
"1035",5
"1036",1
"1037",5
"1038",4
"1039",4
"1040",5
"1041",2
"1042",1
"1043",7
"1044",3
"1045",5
"1046",5
"1047",3
"1048",5
"1049",3
"1050",2
"1051",6
"1052",5
"1053",5
"1054",1
"1055",8
"1056",5
"1057",5
"1058",3
"1059",1
"1060",4
"1061",2
"1062",2
"1063",1
"1064",6
"1065",6
"1066",5
"1067",6
"1068",3
"1069",1
"1070",2
"1071",5
"1072",6
"1073",3
"1074",7
"1075",4
"1076",1
"1077",6
"1078",8
"1079",6
"1080",4
"1081",6
"1082",6
"1083",6
"1084",3
"1085",1
"1086",6
"1087",5
"1088",2
"1089",4
"1090",4
"1091",4
"1092",1
"1093",8
"1094",5
"1095",5
"1096",6
"1097",5
"1098",8
"1099",5
"1100",1
"1101",5
"1102",4
"1103",1
"1104",5
"1105",4
"1106",2
"1107",8
"1108",8
"1109",6
"1110",3
"1111",1
"1112",2
"1113",5
"1114",6
"1115",6
"1116",6
"1117",2
"1118",2
"1119",8
"1120",3
"1121",4
"1122",2
"1123",2
"1124",8
"1125",1
"1126",5
"1127",6
"1128",8
"1129",2
"1130",4
"1131",1
"1132",6
"1133",4
"1134",8
"1135",3
"1136",2
"1137",1
"1138",2
"1139",5
"1140",2
"1141",6
"1142",8
"1143",7
"1144",5
"1145",4
"1146",4
"1147",5
"1148",1
"1149",8
"1150",7
"1151",1
"1152",4
"1153",4
"1154",5
"1155",4
"1156",7
"1157",5
"1158",6
"1159",5
"1160",8
"1161",5
"1162",7
"1163",5
"1164",6
"1165",5
"1166",7
"1167",1
"1168",1
"1169",2
"1170",2
"1171",4
"1172",3
"1173",5
"1174",4
"1175",6
"1176",5
"1177",5
"1178",5
"1179",1
"1180",5
"1181",1
"1182",3
"1183",6
"1184",5
"1185",4
"1186",6
"1187",6
"1188",6
"1189",4
"1190",1
"1191",5
"1192",6
"1193",1
"1194",5
"1195",2
"1196",2
"1197",2
"1198",1
"1199",3
"1200",8
"1201",6
"1202",1
"1203",2
"1204",5
"1205",5
"1206",7
"1207",6
"1208",6
"1209",1
"1210",4
"1211",4
"1212",5
"1213",5
"1214",6
"1215",8
"1216",5
"1217",1
"1218",8
"1219",3
"1220",2
"1221",1
"1222",2
"1223",5
"1224",4
"1225",6
"1226",5
"1227",1
"1228",4
"1229",8
"1230",3
"1231",6
"1232",4
"1233",3
"1234",5
"1235",1
"1236",6
"1237",3
"1238",6
"1239",2
"1240",3
"1241",3
"1242",8
"1243",5
"1244",5
"1245",4
"1246",3
"1247",5
"1248",1
"1249",1
"1250",6
"1251",2
"1252",6
"1253",5
"1254",6
"1255",5
"1256",6
"1257",3
"1258",4
"1259",2
"1260",3
"1261",4
"1262",1
"1263",4
"1264",6
"1265",2
"1266",4
"1267",4
"1268",7
"1269",6
"1270",1
"1271",2
"1272",5
"1273",2
"1274",1
"1275",7
"1276",3
"1277",6
"1278",1
"1279",5
"1280",7
"1281",3
"1282",8
"1283",2
"1284",1
"1285",1
"1286",2
"1287",1
"1288",5
"1289",1
"1290",2
"1291",4
"1292",4
"1293",3
"1294",1
"1295",4
"1296",5
"1297",6
"1298",5
"1299",6
"1300",3
"1301",2
"1302",4
"1303",1
"1304",4
"1305",1
"1306",8
"1307",3
"1308",2
"1309",8
"1310",1
"1311",6
"1312",2
"1313",5
"1314",1
"1315",4
"1316",3
"1317",1
"1318",7
"1319",1
"1320",7
"1321",2
"1322",3
"1323",4
"1324",2
"1325",6
"1326",3
"1327",1
"1328",4
"1329",2
"1330",3
"1331",3
"1332",1
"1333",1
"1334",1
"1335",6
"1336",4
"1337",5
"1338",8
"1339",8
"1340",3
"1341",8
"1342",5
"1343",2
"1344",8
"1345",4
"1346",1
"1347",1
"1348",2
"1349",3
"1350",6
"1351",8
"1352",4
"1353",6
"1354",2
"1355",1
"1356",5
"1357",1
"1358",1
"1359",5
"1360",5
"1361",4
"1362",8
"1363",5
"1364",2
"1365",4
"1366",7
"1367",6
"1368",4
"1369",8
"1370",4
"1371",3
"1372",3
"1373",4
"1374",6
"1375",1
"1376",4
"1377",6
"1378",8
"1379",4
"1380",1
"1381",6
"1382",6
"1383",7
"1384",4
"1385",4
"1386",4
"1387",1
"1388",6
"1389",4
"1390",2
"1391",1
"1392",8
"1393",2
"1394",8
"1395",5
"1396",4
"1397",7
"1398",3
"1399",7
"1400",6
"1401",5
"1402",6
"1403",6
"1404",5
"1405",1
"1406",5
"1407",2
"1408",2
"1409",8
"1410",7
"1411",2
"1412",5
"1413",3
"1414",2
"1415",6
"1416",5
