"","x"
"1",0.527831298562418
"2",0.668370836718489
"3",0.0299120921514416
"4",302.947446217788
"5",5.96384257078171
"6",1
"7",1
"8",1
"9",2
"10",2
"11",2
"12",3
"13",4
"14",3
"15",4
"16",3
"17",5
"18",5
"19",5
"20",4
"21",2
"22",5
"23",1
"24",6
"25",4
"26",5
"27",5
"28",5
"29",3
"30",5
"31",1
"32",3
"33",5
"34",6
"35",5
"36",1
"37",5
"38",5
"39",7
"40",4
"41",5
"42",2
"43",6
"44",1
"45",4
"46",3
"47",3
"48",3
"49",1
"50",1
"51",1
"52",5
"53",5
"54",4
"55",2
"56",2
"57",4
"58",5
"59",2
"60",1
"61",3
"62",1
"63",3
"64",5
"65",2
"66",3
"67",5
"68",6
"69",4
"70",5
"71",4
"72",1
"73",2
"74",2
"75",3
"76",6
"77",3
"78",1
"79",6
"80",5
"81",5
"82",6
"83",5
"84",5
"85",1
"86",1
"87",4
"88",6
"89",6
"90",1
"91",6
"92",6
"93",4
"94",4
"95",5
"96",5
"97",5
"98",6
"99",4
"100",7
"101",2
"102",4
"103",7
"104",6
"105",5
"106",3
"107",5
"108",6
"109",3
"110",5
"111",2
"112",1
"113",7
"114",5
"115",3
"116",2
"117",5
"118",5
"119",2
"120",6
"121",2
"122",5
"123",5
"124",3
"125",1
"126",6
"127",5
"128",3
"129",7
"130",5
"131",7
"132",3
"133",6
"134",5
"135",2
"136",3
"137",3
"138",6
"139",1
"140",3
"141",4
"142",6
"143",5
"144",5
"145",5
"146",3
"147",2
"148",2
"149",4
"150",2
"151",5
"152",3
"153",7
"154",5
"155",2
"156",1
"157",1
"158",1
"159",5
"160",2
"161",1
"162",5
"163",5
"164",4
"165",3
"166",3
"167",2
"168",3
"169",1
"170",4
"171",6
"172",5
"173",1
"174",2
"175",5
"176",3
"177",6
"178",4
"179",5
"180",3
"181",1
"182",5
"183",6
"184",5
"185",6
"186",2
"187",2
"188",7
"189",3
"190",5
"191",1
"192",5
"193",7
"194",3
"195",1
"196",5
"197",7
"198",5
"199",3
"200",6
"201",3
"202",3
"203",6
"204",1
"205",5
"206",6
"207",1
"208",3
"209",5
"210",2
"211",1
"212",4
"213",1
"214",1
"215",5
"216",5
"217",3
"218",7
"219",2
"220",6
"221",5
"222",6
"223",6
"224",2
"225",6
"226",6
"227",1
"228",6
"229",3
"230",6
"231",1
"232",2
"233",5
"234",5
"235",4
"236",1
"237",5
"238",1
"239",5
"240",7
"241",6
"242",5
"243",2
"244",3
"245",5
"246",2
"247",2
"248",7
"249",1
"250",1
"251",5
"252",2
"253",6
"254",3
"255",2
"256",5
"257",4
"258",5
"259",3
"260",1
"261",5
"262",6
"263",1
"264",6
"265",2
"266",6
"267",1
"268",5
"269",2
"270",2
"271",5
"272",1
"273",2
"274",5
"275",5
"276",3
"277",5
"278",5
"279",3
"280",6
"281",5
"282",5
"283",3
"284",3
"285",3
"286",6
"287",4
"288",8
"289",2
"290",1
"291",6
"292",5
"293",2
"294",6
"295",3
"296",3
"297",5
"298",6
"299",4
"300",3
"301",7
"302",5
"303",1
"304",3
"305",3
"306",6
"307",5
"308",2
"309",6
"310",5
"311",5
"312",3
"313",6
"314",1
"315",3
"316",1
"317",2
"318",3
"319",4
"320",6
"321",2
"322",3
"323",3
"324",7
"325",5
"326",5
"327",3
"328",6
"329",6
"330",2
"331",2
"332",5
"333",2
"334",3
"335",5
"336",1
"337",5
"338",4
"339",2
"340",1
"341",5
"342",3
"343",7
"344",3
"345",5
"346",6
"347",1
"348",4
"349",2
"350",3
"351",1
"352",4
"353",5
"354",2
"355",7
"356",1
"357",6
"358",4
"359",4
"360",2
"361",1
"362",4
"363",2
"364",3
"365",2
"366",5
"367",3
"368",6
"369",6
"370",3
"371",3
"372",3
"373",4
"374",5
"375",6
"376",6
"377",4
"378",3
"379",5
"380",4
"381",7
"382",2
"383",3
"384",7
"385",2
"386",1
"387",4
"388",2
"389",6
"390",2
"391",1
"392",5
"393",4
"394",2
"395",4
"396",2
"397",4
"398",2
"399",1
"400",3
"401",2
"402",6
"403",1
"404",3
"405",6
"406",2
"407",1
"408",2
"409",2
"410",1
"411",1
"412",5
"413",3
"414",5
"415",2
"416",5
"417",6
"418",1
"419",1
"420",6
"421",5
"422",1
"423",2
"424",5
"425",3
"426",3
"427",4
"428",1
"429",2
"430",1
"431",4
"432",1
"433",2
"434",5
"435",2
"436",1
"437",3
"438",5
"439",4
"440",3
"441",5
"442",4
"443",6
"444",5
"445",2
"446",7
"447",4
"448",3
"449",2
"450",6
"451",5
"452",1
"453",3
"454",6
"455",5
"456",6
"457",1
"458",1
"459",4
"460",4
"461",5
"462",5
"463",3
"464",1
"465",5
"466",1
"467",2
"468",5
"469",5
"470",6
"471",3
"472",1
"473",2
"474",6
"475",6
"476",1
"477",5
"478",6
"479",6
"480",6
"481",3
"482",5
"483",5
"484",5
"485",1
"486",1
"487",7
"488",3
"489",6
"490",1
"491",3
"492",2
"493",3
"494",6
"495",5
"496",2
"497",1
"498",5
"499",3
"500",6
"501",6
"502",6
"503",1
"504",3
"505",1
"506",2
"507",5
"508",5
"509",5
"510",5
"511",1
"512",1
"513",2
"514",2
"515",5
"516",2
"517",2
"518",3
"519",6
"520",3
"521",3
"522",4
"523",2
"524",5
"525",1
"526",3
"527",5
"528",1
"529",5
"530",4
"531",5
"532",7
"533",4
"534",3
"535",4
"536",6
"537",6
"538",2
"539",6
"540",2
"541",2
"542",5
"543",6
"544",1
"545",4
"546",5
"547",6
"548",3
"549",1
"550",6
"551",5
"552",6
"553",7
"554",2
"555",3
"556",4
"557",1
"558",4
"559",4
"560",1
"561",5
"562",6
"563",5
"564",6
"565",1
"566",2
"567",3
"568",1
"569",1
"570",6
"571",4
"572",2
"573",3
"574",4
"575",6
"576",1
"577",4
"578",4
"579",7
"580",5
"581",3
"582",1
"583",5
"584",4
"585",5
"586",2
"587",5
"588",1
"589",1
"590",2
"591",4
"592",2
"593",5
"594",2
"595",1
"596",1
"597",5
"598",5
"599",1
"600",4
"601",6
"602",4
"603",2
"604",5
"605",1
"606",4
"607",1
"608",5
"609",3
"610",1
"611",4
"612",1
"613",5
"614",2
"615",1
"616",7
"617",4
"618",2
"619",6
"620",5
"621",1
"622",6
"623",3
"624",2
"625",1
"626",4
"627",2
"628",2
"629",6
"630",3
"631",5
"632",5
"633",2
"634",5
"635",1
"636",3
"637",3
"638",6
"639",5
"640",1
"641",1
"642",3
"643",2
"644",2
"645",6
"646",1
"647",4
"648",7
"649",5
"650",2
"651",4
"652",5
"653",5
"654",2
"655",2
"656",2
"657",4
"658",6
"659",6
"660",5
"661",1
"662",3
"663",1
"664",6
"665",5
"666",1
"667",6
"668",1
"669",6
"670",4
"671",5
"672",6
"673",6
"674",2
"675",3
"676",1
"677",7
"678",4
"679",5
"680",3
"681",2
"682",3
"683",5
"684",5
"685",6
"686",5
"687",5
"688",1
"689",3
"690",5
"691",5
"692",6
"693",3
"694",5
"695",4
"696",4
"697",1
"698",4
"699",7
"700",3
"701",1
"702",4
"703",5
"704",5
"705",1
"706",5
"707",1
"708",2
"709",5
"710",6
"711",7
"712",1
"713",1
"714",6
"715",5
"716",6
"717",5
"718",2
"719",6
"720",2
"721",5
"722",1
"723",6
"724",3
"725",5
"726",5
"727",1
"728",4
"729",5
"730",7
"731",7
"732",1
"733",5
"734",5
"735",1
"736",3
"737",3
"738",4
"739",5
"740",2
"741",6
"742",1
"743",6
"744",3
"745",6
"746",5
"747",5
"748",6
"749",3
"750",1
"751",1
"752",5
"753",5
"754",6
"755",6
"756",5
"757",3
"758",6
"759",6
"760",6
"761",5
"762",3
"763",6
"764",4
"765",1
"766",1
"767",4
"768",1
"769",4
"770",5
"771",5
"772",7
"773",6
"774",5
"775",4
"776",3
"777",6
"778",6
"779",3
"780",6
"781",6
"782",3
"783",5
"784",2
"785",5
"786",4
"787",6
"788",1
"789",5
"790",4
"791",6
"792",3
"793",6
"794",2
"795",3
"796",3
"797",3
"798",1
"799",2
"800",5
"801",6
"802",5
"803",4
"804",4
"805",3
"806",5
"807",4
"808",6
"809",1
"810",6
"811",6
"812",6
"813",6
"814",2
"815",6
"816",6
"817",3
"818",6
"819",2
"820",1
"821",6
"822",2
"823",3
"824",5
"825",1
"826",3
"827",3
"828",5
"829",5
"830",3
"831",1
"832",5
"833",5
"834",5
"835",6
"836",5
"837",2
"838",6
"839",5
"840",2
"841",2
"842",2
"843",6
"844",4
"845",4
"846",4
"847",2
"848",3
"849",5
"850",1
"851",3
"852",3
"853",1
"854",6
"855",1
"856",5
"857",2
"858",1
"859",3
"860",1
"861",3
"862",1
"863",2
"864",6
"865",2
"866",5
"867",6
"868",4
"869",7
"870",6
"871",1
"872",5
"873",6
"874",2
"875",3
"876",2
"877",1
"878",1
"879",1
"880",6
"881",2
"882",5
"883",5
"884",5
"885",3
"886",7
"887",2
"888",5
"889",7
"890",3
"891",1
"892",5
"893",4
"894",4
"895",5
"896",3
"897",6
"898",6
"899",2
"900",3
"901",5
"902",5
"903",3
"904",4
"905",2
"906",4
"907",3
"908",1
"909",2
"910",3
"911",2
"912",3
"913",3
"914",4
"915",3
"916",5
"917",3
"918",6
"919",4
"920",5
"921",3
"922",5
"923",5
"924",5
"925",6
"926",6
"927",3
"928",6
"929",1
"930",5
"931",5
"932",5
"933",3
"934",1
"935",5
"936",3
"937",1
"938",5
"939",6
"940",1
"941",6
"942",4
"943",7
"944",5
"945",1
"946",3
"947",2
"948",3
"949",1
"950",5
"951",1
"952",2
"953",1
"954",5
"955",6
"956",5
"957",3
"958",4
"959",1
"960",7
"961",4
"962",4
"963",3
"964",4
"965",2
"966",1
"967",5
"968",6
"969",6
"970",3
"971",6
"972",6
"973",5
"974",4
"975",2
"976",4
"977",2
"978",3
"979",6
"980",5
