"","x"
"1",0.372750260587463
"2",0.568724520572122
"3",0.234268556954164
"4",4385.02118705935
"5",15.1013263265292
"6",1
"7",1
"8",2
"9",3
"10",4
"11",3
"12",5
"13",6
"14",5
"15",1
"16",5
"17",7
"18",4
"19",3
"20",6
"21",3
"22",7
"23",1
"24",8
"25",6
"26",3
"27",4
"28",4
"29",9
"30",7
"31",1
"32",6
"33",7
"34",10
"35",4
"36",2
"37",11
"38",3
"39",10
"40",6
"41",4
"42",4
"43",8
"44",2
"45",12
"46",9
"47",5
"48",5
"49",1
"50",1
"51",2
"52",3
"53",4
"54",1
"55",3
"56",3
"57",1
"58",4
"59",4
"60",1
"61",5
"62",2
"63",5
"64",3
"65",7
"66",5
"67",4
"68",8
"69",6
"70",3
"71",12
"72",2
"73",3
"74",7
"75",5
"76",7
"77",6
"78",1
"79",8
"80",4
"81",4
"82",3
"83",4
"84",11
"85",2
"86",2
"87",1
"88",11
"89",7
"90",2
"91",4
"92",3
"93",1
"94",2
"95",7
"96",7
"97",4
"98",8
"99",1
"100",10
"101",4
"102",6
"103",10
"104",10
"105",7
"106",5
"107",4
"108",8
"109",5
"110",4
"111",3
"112",1
"113",10
"114",3
"115",5
"116",3
"117",11
"118",4
"119",7
"120",8
"121",7
"122",3
"123",4
"124",9
"125",2
"126",8
"127",3
"128",5
"129",8
"130",11
"131",10
"132",5
"133",10
"134",7
"135",4
"136",9
"137",5
"138",8
"139",1
"140",5
"141",6
"142",8
"143",7
"144",7
"145",3
"146",5
"147",4
"148",11
"149",1
"150",7
"151",3
"152",7
"153",10
"154",3
"155",4
"156",1
"157",2
"158",2
"159",4
"160",11
"161",1
"162",4
"163",4
"164",1
"165",5
"166",9
"167",4
"168",5
"169",2
"170",1
"171",8
"172",11
"173",2
"174",4
"175",4
"176",9
"177",10
"178",12
"179",4
"180",5
"181",1
"182",3
"183",10
"184",4
"185",8
"186",4
"187",11
"188",10
"189",5
"190",4
"191",2
"192",7
"193",10
"194",5
"195",2
"196",7
"197",10
"198",3
"199",5
"200",8
"201",5
"202",9
"203",8
"204",2
"205",4
"206",11
"207",2
"208",9
"209",3
"210",4
"211",1
"212",12
"213",2
"214",1
"215",4
"216",7
"217",6
"218",10
"219",4
"220",7
"221",4
"222",4
"223",11
"224",3
"225",11
"226",8
"227",2
"228",11
"229",5
"230",8
"231",12
"232",4
"233",7
"234",4
"235",12
"236",2
"237",3
"238",2
"239",7
"240",10
"241",10
"242",3
"243",4
"244",5
"245",11
"246",4
"247",4
"248",8
"249",1
"250",2
"251",4
"252",4
"253",8
"254",5
"255",3
"256",4
"257",12
"258",3
"259",5
"260",1
"261",7
"262",8
"263",1
"264",10
"265",4
"266",8
"267",2
"268",4
"269",3
"270",3
"271",7
"272",2
"273",11
"274",3
"275",4
"276",9
"277",7
"278",4
"279",5
"280",7
"281",7
"282",4
"283",5
"284",9
"285",9
"286",8
"287",1
"288",7
"289",4
"290",2
"291",8
"292",3
"293",3
"294",10
"295",5
"296",6
"297",3
"298",4
"299",12
"300",5
"301",10
"302",4
"303",1
"304",9
"305",5
"306",4
"307",3
"308",4
"309",10
"310",4
"311",3
"312",5
"313",11
"314",2
"315",5
"316",2
"317",11
"318",6
"319",1
"320",3
"321",4
"322",5
"323",9
"324",10
"325",3
"326",11
"327",5
"328",8
"329",7
"330",3
"331",11
"332",7
"333",11
"334",5
"335",3
"336",2
"337",7
"338",12
"339",7
"340",2
"341",7
"342",5
"343",10
"344",9
"345",11
"346",8
"347",2
"348",6
"349",3
"350",5
"351",1
"352",2
"353",4
"354",4
"355",10
"356",1
"357",8
"358",12
"359",1
"360",4
"361",2
"362",6
"363",11
"364",9
"365",3
"366",4
"367",9
"368",8
"369",8
"370",5
"371",5
"372",6
"373",6
"374",11
"375",8
"376",7
"377",12
"378",5
"379",4
"380",12
"381",10
"382",7
"383",5
"384",8
"385",7
"386",2
"387",1
"388",11
"389",3
"390",3
"391",2
"392",7
"393",2
"394",4
"395",12
"396",4
"397",1
"398",11
"399",2
"400",9
"401",7
"402",11
"403",2
"404",5
"405",11
"406",4
"407",2
"408",4
"409",4
"410",2
"411",2
"412",3
"413",9
"414",7
"415",4
"416",4
"417",11
"418",2
"419",1
"420",8
"421",7
"422",2
"423",4
"424",3
"425",5
"426",5
"427",12
"428",2
"429",7
"430",2
"431",1
"432",1
"433",11
"434",4
"435",11
"436",12
"437",9
"438",3
"439",12
"440",9
"441",3
"442",12
"443",8
"444",3
"445",7
"446",10
"447",1
"448",9
"449",3
"450",4
"451",3
"452",2
"453",5
"454",8
"455",3
"456",11
"457",2
"458",2
"459",1
"460",12
"461",3
"462",4
"463",5
"464",1
"465",4
"466",2
"467",11
"468",3
"469",4
"470",10
"471",5
"472",2
"473",11
"474",10
"475",8
"476",2
"477",3
"478",11
"479",8
"480",4
"481",5
"482",4
"483",3
"484",3
"485",2
"486",2
"487",8
"488",5
"489",3
"490",1
"491",5
"492",4
"493",5
"494",11
"495",11
"496",4
"497",1
"498",3
"499",5
"500",8
"501",8
"502",11
"503",2
"504",9
"505",1
"506",4
"507",7
"508",3
"509",3
"510",4
"511",2
"512",1
"513",4
"514",4
"515",4
"516",4
"517",4
"518",5
"519",4
"520",5
"521",5
"522",1
"523",4
"524",4
"525",2
"526",5
"527",3
"528",1
"529",7
"530",12
"531",4
"532",8
"533",12
"534",5
"535",12
"536",4
"537",3
"538",11
"539",11
"540",4
"541",7
"542",7
"543",10
"544",2
"545",12
"546",4
"547",8
"548",5
"549",2
"550",8
"551",11
"552",4
"553",10
"554",3
"555",5
"556",1
"557",2
"558",12
"559",12
"560",1
"561",4
"562",8
"563",3
"564",8
"565",2
"566",4
"567",5
"568",1
"569",2
"570",8
"571",6
"572",3
"573",9
"574",12
"575",8
"576",2
"577",6
"578",6
"579",10
"580",7
"581",5
"582",1
"583",7
"584",12
"585",7
"586",3
"587",7
"588",2
"589",1
"590",4
"591",6
"592",4
"593",3
"594",3
"595",2
"596",1
"597",4
"598",11
"599",2
"600",6
"601",11
"602",12
"603",4
"604",3
"605",1
"606",12
"607",1
"608",7
"609",5
"610",2
"611",12
"612",1
"613",4
"614",4
"615",2
"616",10
"617",12
"618",3
"619",8
"620",3
"621",1
"622",3
"623",5
"624",3
"625",1
"626",1
"627",4
"628",7
"629",8
"630",5
"631",7
"632",3
"633",3
"634",4
"635",2
"636",5
"637",5
"638",8
"639",4
"640",2
"641",2
"642",5
"643",3
"644",11
"645",11
"646",1
"647",1
"648",10
"649",3
"650",4
"651",2
"652",11
"653",4
"654",12
"655",7
"656",4
"657",2
"658",8
"659",4
"660",4
"661",2
"662",9
"663",2
"664",8
"665",3
"666",2
"667",8
"668",2
"669",8
"670",11
"671",11
"672",3
"673",8
"674",4
"675",9
"676",2
"677",10
"678",2
"679",3
"680",5
"681",7
"682",5
"683",7
"684",7
"685",11
"686",7
"687",4
"688",2
"689",5
"690",7
"691",4
"692",11
"693",9
"694",7
"695",6
"696",12
"697",2
"698",2
"699",10
"700",5
"701",12
"702",12
"703",4
"704",3
"705",2
"706",3
"707",1
"708",4
"709",7
"710",3
"711",10
"712",2
"713",2
"714",8
"715",7
"716",10
"717",7
"718",7
"719",8
"720",7
"721",3
"722",2
"723",8
"724",5
"725",3
"726",4
"727",1
"728",1
"729",4
"730",10
"731",10
"732",2
"733",7
"734",4
"735",1
"736",5
"737",5
"738",2
"739",3
"740",7
"741",10
"742",2
"743",8
"744",5
"745",4
"746",4
"747",3
"748",8
"749",6
"750",2
"751",2
"752",3
"753",4
"754",7
"755",11
"756",3
"757",6
"758",10
"759",11
"760",3
"761",3
"762",5
"763",8
"764",12
"765",2
"766",2
"767",1
"768",2
"769",1
"770",3
"771",7
"772",10
"773",7
"774",11
"775",6
"776",9
"777",4
"778",7
"779",5
"780",11
"781",8
"782",9
"783",7
"784",4
"785",4
"786",1
"787",11
"788",2
"789",4
"790",12
"791",8
"792",9
"793",8
"794",12
"795",5
"796",5
"797",5
"798",1
"799",11
"800",4
"801",4
"802",4
"803",12
"804",1
"805",9
"806",7
"807",12
"808",8
"809",2
"810",11
"811",8
"812",11
"813",3
"814",11
"815",8
"816",8
"817",5
"818",4
"819",3
"820",2
"821",3
"822",11
"823",5
"824",4
"825",2
"826",9
"827",5
"828",4
"829",3
"830",9
"831",2
"832",3
"833",4
"834",4
"835",8
"836",7
"837",3
"838",11
"839",4
"840",4
"841",4
"842",7
"843",8
"844",2
"845",1
"846",12
"847",4
"848",5
"849",3
"850",1
"851",9
"852",9
"853",2
"854",8
"855",2
"856",12
"857",3
"858",1
"859",5
"860",2
"861",5
"862",1
"863",7
"864",7
"865",11
"866",4
"867",8
"868",1
"869",10
"870",7
"871",2
"872",3
"873",4
"874",3
"875",5
"876",4
"877",12
"878",2
"879",2
"880",10
"881",4
"882",7
"883",4
"884",3
"885",5
"886",10
"887",3
"888",4
"889",10
"890",5
"891",2
"892",4
"893",1
"894",6
"895",4
"896",5
"897",11
"898",8
"899",11
"900",5
"901",3
"902",3
"903",9
"904",1
"905",11
"906",12
"907",9
"908",2
"909",11
"910",5
"911",4
"912",5
"913",5
"914",1
"915",5
"916",3
"917",9
"918",4
"919",1
"920",7
"921",5
"922",3
"923",4
"924",4
"925",8
"926",8
"927",5
"928",8
"929",2
"930",3
"931",4
"932",7
"933",5
"934",1
"935",7
"936",5
"937",2
"938",11
"939",7
"940",2
"941",10
"942",1
"943",10
"944",4
"945",2
"946",5
"947",11
"948",9
"949",12
"950",3
"951",2
"952",3
"953",2
"954",7
"955",8
"956",7
"957",5
"958",1
"959",2
"960",10
"961",12
"962",12
"963",9
"964",1
"965",7
"966",2
"967",3
"968",10
"969",8
"970",5
"971",8
"972",8
"973",4
"974",1
"975",3
"976",12
"977",4
"978",5
"979",7
"980",3
"981",1
"982",3
"983",7
"984",6
"985",8
"986",5
"987",10
"988",11
"989",7
"990",1
"991",2
"992",9
"993",8
"994",11
"995",2
"996",1
"997",11
"998",1
"999",4
"1000",2
"1001",3
"1002",1
"1003",7
"1004",2
"1005",10
"1006",4
"1007",8
"1008",4
"1009",4
"1010",6
"1011",1
"1012",10
"1013",6
"1014",11
"1015",4
"1016",4
"1017",3
"1018",4
