"","x"
"1",0.403368240237064
"2",0.607695327986987
"3",0.0873673041044106
"4",751.250240735989
"5",2.87717872063319
"6",1
"7",1
"8",1
"9",3
"10",7
"11",3
"12",5
"13",8
"14",6
"15",6
"16",6
"17",3
"18",3
"19",3
"20",8
"21",3
"22",3
"23",1
"24",3
"25",8
"26",3
"27",3
"28",3
"29",7
"30",3
"31",1
"32",5
"33",3
"34",4
"35",3
"36",1
"37",3
"38",3
"39",4
"40",8
"41",3
"42",3
"43",3
"44",1
"45",2
"46",7
"47",6
"48",6
"49",1
"50",1
"51",1
"52",7
"53",3
"54",1
"55",3
"56",3
"57",8
"58",3
"59",3
"60",1
"61",6
"62",1
"63",5
"64",3
"65",7
"66",5
"67",3
"68",3
"69",8
"70",3
"71",8
"72",1
"73",7
"74",3
"75",5
"76",3
"77",5
"78",1
"79",3
"80",3
"81",3
"82",4
"83",1
"84",7
"85",1
"86",1
"87",8
"88",3
"89",3
"90",1
"91",3
"92",3
"93",8
"94",1
"95",3
"96",3
"97",3
"98",3
"99",1
"100",3
"101",3
"102",8
"103",4
"104",3
"105",3
"106",5
"107",7
"108",3
"109",6
"110",3
"111",3
"112",1
"113",4
"114",3
"115",6
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",3
"124",6
"125",1
"126",4
"127",3
"128",6
"129",4
"130",3
"131",4
"132",6
"133",3
"134",3
"135",7
"136",6
"137",6
"138",3
"139",1
"140",6
"141",8
"142",3
"143",3
"144",3
"145",3
"146",6
"147",3
"148",3
"149",1
"150",3
"151",3
"152",5
"153",4
"154",3
"155",3
"156",1
"157",1
"158",1
"159",3
"160",3
"161",1
"162",3
"163",3
"164",8
"165",6
"166",6
"167",3
"168",6
"169",1
"170",1
"171",3
"172",7
"173",1
"174",3
"175",1
"176",6
"177",3
"178",8
"179",3
"180",6
"181",1
"182",3
"183",4
"184",3
"185",3
"186",7
"187",3
"188",4
"189",6
"190",3
"191",1
"192",3
"193",4
"194",6
"195",1
"196",3
"197",4
"198",3
"199",6
"200",4
"201",6
"202",7
"203",3
"204",1
"205",1
"206",3
"207",1
"208",6
"209",3
"210",3
"211",1
"212",8
"213",1
"214",1
"215",3
"216",3
"217",5
"218",4
"219",7
"220",3
"221",7
"222",3
"223",3
"224",7
"225",3
"226",3
