"","x"
"1",0.0509667375390841
"2",0.123112541059885
"3",0.108983821938962
"4",555.497670986133
"5",5.49971165657043
"6",1
"7",2
"8",3
"9",4
"10",4
"11",4
"12",5
"13",3
"14",1
"15",1
"16",1
"17",3
"18",2
"19",4
"20",1
"21",3
"22",2
"23",1
"24",3
"25",1
"26",2
"27",4
"28",3
"29",1
"30",2
"31",1
"32",2
"33",1
"34",3
"35",1
"36",2
"37",2
"38",1
"39",1
"40",4
"41",1
"42",2
"43",4
"44",2
"45",1
"46",4
"47",4
"48",2
"49",2
"50",4
"51",1
"52",1
"53",2
"54",3
"55",2
"56",2
"57",1
"58",3
"59",5
"60",1
"61",3
"62",3
"63",2
"64",3
"65",2
"66",4
"67",2
"68",1
"69",1
"70",1
"71",2
"72",1
"73",1
"74",3
"75",1
"76",4
"77",2
"78",1
"79",2
"80",1
"81",1
"82",1
"83",3
"84",2
"85",1
"86",2
"87",4
"88",4
"89",2
"90",3
"91",1
"92",1
"93",1
"94",4
"95",3
"96",4
"97",1
"98",5
"99",1
"100",1
"101",2
"102",1
"103",4
"104",3
"105",1
"106",1
"107",2
"108",1
"109",2
"110",1
"111",1
"112",1
"113",2
"114",3
"115",1
"116",1
"117",1
"118",5
"119",1
"120",1
"121",2
"122",2
"123",1
"124",2
"125",4
"126",1
"127",2
"128",1
"129",1
"130",1
"131",2
"132",1
"133",1
"134",3
"135",2
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",2
"143",2
"144",1
"145",3
"146",2
"147",1
"148",1
"149",3
"150",3
"151",3
"152",3
"153",5
"154",4
"155",4
"156",1
"157",2
"158",1
"159",3
"160",1
"161",1
"162",2
"163",1
"164",4
"165",1
"166",1
"167",2
"168",5
"169",1
"170",4
"171",1
"172",4
"173",3
"174",1
"175",2
"176",3
"177",2
"178",3
"179",1
"180",2
"181",4
"182",3
"183",4
"184",1
"185",2
"186",1
"187",2
"188",4
"189",3
"190",5
"191",2
"192",3
"193",1
"194",2
"195",3
"196",2
"197",1
"198",1
"199",3
"200",4
"201",3
"202",2
"203",2
"204",2
"205",1
"206",2
"207",5
"208",3
"209",1
"210",3
"211",1
"212",5
"213",1
"214",2
"215",2
"216",4
"217",1
"218",2
"219",3
"220",3
"221",1
"222",1
"223",2
"224",1
"225",4
"226",5
"227",4
"228",2
"229",1
"230",3
"231",1
"232",3
"233",4
"234",1
"235",1
"236",2
"237",2
"238",2
"239",2
"240",3
"241",1
"242",1
"243",4
"244",3
"245",3
"246",1
"247",4
"248",1
"249",1
"250",1
"251",4
"252",1
"253",1
"254",1
"255",2
"256",3
"257",3
"258",2
"259",3
"260",4
"261",1
"262",2
"263",1
"264",4
"265",2
"266",4
"267",1
"268",1
"269",3
"270",1
"271",4
"272",3
"273",1
"274",1
"275",1
"276",1
"277",2
"278",4
"279",4
"280",2
"281",3
"282",1
"283",2
"284",1
"285",1
"286",2
"287",5
"288",2
"289",1
"290",2
"291",1
"292",1
"293",4
"294",1
"295",3
"296",1
"297",1
"298",1
"299",5
"300",2
"301",3
"302",1
"303",4
"304",4
"305",1
"306",1
"307",1
"308",1
"309",3
"310",1
"311",1
"312",2
"313",3
"314",1
"315",1
"316",1
"317",2
"318",2
"319",1
"320",2
"321",4
"322",1
"323",3
"324",1
"325",3
"326",1
"327",3
"328",5
"329",4
"330",4
"331",3
"332",5
"333",2
"334",3
"335",1
"336",2
"337",1
"338",2
"339",2
"340",1
"341",2
"342",2
"343",1
"344",1
"345",2
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",3
"353",5
"354",1
"355",1
"356",1
"357",2
"358",4
"359",2
"360",1
"361",3
"362",3
"363",4
"364",3
"365",1
"366",1
"367",4
"368",1
"369",1
"370",2
"371",2
"372",1
"373",1
"374",1
"375",1
"376",5
"377",1
