"","x"
"1",0.527370670007266
"2",0.652194003376681
"3",0.0521981910783698
"4",156.46951095453
"5",2.65408127307892
"6",1
"7",2
"8",1
"9",1
"10",2
"11",2
"12",1
"13",3
"14",1
"15",4
"16",4
"17",1
"18",3
"19",1
"20",1
"21",3
"22",2
"23",4
"24",5
"25",2
"26",4
"27",3
"28",4
"29",1
"30",3
"31",2
"32",4
"33",4
"34",4
"35",1
"36",1
"37",1
"38",2
"39",2
"40",4
"41",4
"42",6
"43",5
"44",3
"45",2
"46",2
"47",4
"48",2
"49",6
"50",2
"51",2
"52",6
"53",1
"54",2
"55",1
"56",2
"57",1
"58",3
"59",4
"60",4
"61",2
"62",7
"63",6
"64",1
"65",4
"66",1
"67",1
"68",1
"69",4
"70",6
"71",1
"72",2
"73",1
"74",2
"75",1
"76",3
"77",4
"78",4
"79",2
"80",4
"81",2
"82",1
"83",4
"84",4
"85",4
"86",1
"87",1
"88",1
"89",1
"90",5
"91",3
"92",3
"93",1
"94",4
"95",4
"96",3
"97",4
"98",2
"99",1
"100",3
"101",6
"102",3
"103",1
"104",4
"105",4
"106",3
"107",1
"108",2
"109",4
"110",2
"111",1
"112",4
"113",4
"114",4
"115",2
"116",2
"117",1
"118",3
"119",3
"120",2
"121",2
"122",1
"123",4
"124",1
"125",1
"126",1
"127",2
"128",4
"129",1
"130",6
"131",3
"132",1
"133",1
"134",4
"135",2
"136",2
"137",3
"138",4
"139",4
"140",1
"141",2
"142",1
"143",2
"144",1
"145",4
"146",2
"147",1
"148",1
"149",2
"150",1
"151",3
"152",1
"153",3
"154",1
"155",1
"156",1
"157",4
"158",4
"159",1
"160",2
"161",4
"162",2
"163",4
"164",2
"165",4
"166",6
"167",2
"168",1
"169",4
"170",1
"171",6
"172",1
"173",4
"174",2
"175",2
"176",4
"177",1
"178",3
"179",2
"180",6
"181",4
"182",1
"183",3
"184",4
"185",1
"186",2
"187",5
"188",5
"189",5
"190",5
"191",5
"192",5
"193",5
"194",5
"195",5
"196",3
"197",5
"198",8
"199",8
"200",5
"201",5
"202",5
"203",3
"204",5
"205",5
"206",3
"207",5
"208",5
"209",8
"210",5
"211",5
"212",8
"213",5
"214",8
"215",5
"216",8
"217",5
"218",3
"219",5
"220",5
"221",8
"222",3
"223",5
"224",5
"225",8
"226",8
"227",2
"228",5
"229",3
"230",8
"231",5
"232",5
"233",5
"234",5
"235",7
"236",5
"237",7
"238",3
"239",1
"240",6
"241",5
"242",5
"243",8
"244",3
"245",3
"246",5
"247",3
"248",8
"249",5
"250",8
"251",8
"252",8
"253",8
"254",5
"255",8
"256",8
"257",3
"258",8
"259",3
"260",5
"261",8
"262",5
"263",3
"264",8
"265",3
"266",8
"267",7
"268",3
"269",8
"270",2
"271",5
"272",5
"273",8
"274",8
"275",5
"276",8
"277",5
"278",8
"279",5
"280",8
"281",8
"282",5
"283",3
"284",8
"285",5
"286",5
"287",3
"288",5
"289",5
"290",5
"291",5
"292",3
"293",5
"294",5
"295",5
"296",5
"297",3
"298",5
"299",5
"300",2
"301",8
"302",8
"303",5
"304",5
"305",8
"306",8
"307",8
"308",2
"309",5
"310",5
"311",5
"312",8
"313",2
"314",8
"315",2
"316",5
"317",2
"318",8
"319",5
"320",5
"321",5
"322",2
"323",8
"324",5
"325",8
"326",5
"327",5
"328",5
"329",1
"330",8
"331",5
"332",8
"333",8
"334",3
"335",5
"336",5
"337",2
"338",8
"339",8
"340",5
"341",5
"342",5
"343",5
"344",5
"345",5
"346",8
"347",2
"348",3
"349",5
"350",5
"351",2
"352",5
"353",8
"354",5
"355",3
"356",8
"357",5
"358",8
"359",5
"360",5
"361",5
"362",5
"363",5
"364",5
"365",5
"366",8
"367",8
"368",5
"369",8
"370",5
"371",5
"372",3
"373",5
"374",8
"375",5
"376",8
"377",5
"378",3
"379",8
"380",8
"381",5
"382",5
"383",5
"384",3
"385",8
"386",8
"387",6
"388",5
"389",8
"390",3
"391",5
"392",3
"393",3
"394",8
"395",5
"396",5
"397",7
"398",5
"399",5
"400",5
"401",3
"402",5
"403",8
"404",5
"405",3
"406",3
"407",5
"408",3
"409",8
"410",8
"411",3
"412",5
"413",5
"414",8
"415",5
"416",5
"417",5
"418",5
"419",3
"420",5
"421",8
"422",5
"423",5
"424",5
"425",8
"426",5
"427",5
"428",8
"429",5
"430",5
"431",5
"432",5
"433",8
"434",5
"435",5
"436",5
"437",5
"438",8
"439",5
"440",3
"441",8
"442",3
"443",8
"444",2
"445",5
"446",2
"447",5
"448",5
"449",5
"450",5
"451",5
"452",8
"453",5
"454",5
"455",5
"456",5
"457",5
"458",8
"459",5
"460",5
"461",5
"462",5
"463",8
"464",3
"465",5
"466",5
"467",8
"468",5
"469",5
"470",5
"471",8
"472",5
"473",5
"474",5
"475",8
"476",7
"477",5
"478",3
"479",7
"480",3
"481",5
"482",5
"483",5
"484",3
"485",5
"486",3
"487",8
"488",5
"489",8
"490",8
"491",5
"492",8
"493",8
"494",5
"495",5
"496",5
"497",8
"498",8
"499",8
"500",3
"501",5
"502",5
"503",8
"504",5
"505",8
"506",5
"507",8
"508",5
"509",8
"510",8
"511",5
"512",8
"513",5
"514",5
"515",5
"516",3
"517",8
"518",1
"519",5
"520",8
"521",8
"522",5
"523",8
"524",5
"525",1
"526",8
"527",5
"528",3
"529",8
"530",8
"531",3
"532",8
"533",2
"534",1
"535",3
"536",1
"537",5
"538",8
"539",5
"540",8
"541",5
"542",6
"543",5
"544",3
"545",3
"546",6
"547",3
"548",5
"549",5
"550",3
"551",8
"552",5
"553",2
"554",8
"555",5
"556",5
"557",8
"558",5
"559",8
"560",5
"561",5
"562",5
"563",8
"564",5
"565",5
"566",5
"567",8
"568",5
"569",8
"570",8
"571",8
"572",5
"573",5
"574",5
"575",8
"576",5
"577",5
"578",5
"579",5
"580",8
"581",3
"582",3
"583",5
"584",8
"585",5
"586",5
"587",5
"588",5
"589",5
"590",8
"591",5
"592",5
"593",8
"594",5
"595",5
"596",8
"597",8
"598",1
"599",5
"600",8
"601",8
"602",5
"603",8
"604",8
"605",8
"606",5
"607",8
"608",5
"609",8
"610",5
"611",5
"612",5
"613",8
"614",5
"615",5
"616",5
"617",5
"618",5
"619",5
"620",5
"621",8
"622",8
"623",8
"624",7
"625",3
"626",8
"627",2
"628",3
"629",6
"630",5
"631",8
"632",8
"633",5
"634",8
"635",5
"636",5
"637",5
"638",3
"639",5
"640",8
"641",5
"642",8
"643",5
"644",5
"645",8
"646",8
"647",5
"648",5
"649",8
"650",5
"651",5
"652",8
"653",4
"654",6
"655",5
"656",5
"657",8
"658",3
"659",5
"660",5
"661",5
"662",8
"663",5
"664",5
"665",5
"666",3
"667",8
"668",3
"669",5
"670",5
"671",8
"672",8
"673",5
"674",5
"675",5
"676",5
"677",8
"678",8
"679",5
"680",5
"681",3
"682",5
"683",5
"684",5
"685",3
"686",5
"687",5
"688",3
"689",8
"690",8
"691",3
"692",5
"693",5
"694",3
"695",3
"696",8
"697",8
"698",8
"699",3
"700",5
"701",3
"702",5
"703",5
"704",5
"705",5
"706",8
"707",5
"708",6
"709",5
"710",5
"711",5
"712",5
"713",5
"714",8
"715",5
"716",5
"717",5
"718",9
"719",5
"720",5
"721",5
"722",3
"723",5
"724",8
"725",8
"726",5
"727",7
"728",3
"729",5
"730",5
"731",5
"732",5
"733",8
"734",2
"735",5
"736",5
"737",5
"738",2
"739",3
"740",5
"741",3
"742",3
"743",8
"744",2
"745",5
"746",5
"747",3
"748",8
"749",3
"750",3
"751",5
"752",8
"753",5
"754",5
"755",8
"756",2
"757",8
"758",8
"759",3
"760",4
"761",5
"762",2
"763",8
"764",1
"765",5
"766",5
"767",4
"768",3
"769",1
"770",4
"771",1
"772",5
"773",9
"774",8
"775",5
"776",5
"777",4
"778",6
"779",2
"780",8
"781",5
"782",2
"783",5
"784",5
"785",8
"786",3
"787",5
"788",3
"789",2
"790",2
"791",7
"792",8
"793",2
"794",5
"795",5
"796",3
"797",8
"798",8
"799",8
"800",5
"801",2
"802",5
"803",3
"804",5
"805",5
"806",3
"807",5
"808",4
"809",4
"810",3
"811",8
"812",8
"813",8
"814",8
"815",5
"816",9
"817",5
"818",4
"819",5
"820",8
"821",5
"822",7
"823",2
"824",9
"825",5
"826",5
"827",3
"828",5
"829",8
"830",5
"831",5
"832",2
"833",8
"834",5
"835",5
"836",6
"837",8
"838",8
"839",4
"840",1
"841",4
"842",1
"843",1
"844",1
"845",5
"846",1
"847",4
"848",1
"849",1
"850",1
"851",3
"852",1
"853",3
"854",1
"855",1
"856",1
"857",3
"858",6
"859",5
"860",9
"861",3
"862",3
"863",3
"864",3
"865",3
"866",1
"867",2
"868",1
"869",2
"870",3
"871",2
"872",3
"873",6
"874",4
"875",6
"876",3
"877",4
"878",3
"879",1
"880",3
"881",3
"882",3
"883",2
"884",4
"885",3
"886",4
"887",3
"888",3
"889",6
"890",3
"891",2
"892",9
"893",9
"894",4
"895",8
"896",3
"897",1
"898",3
"899",1
"900",3
"901",1
"902",3
"903",1
"904",1
"905",2
"906",3
"907",4
"908",9
"909",1
"910",2
"911",5
"912",1
"913",1
"914",3
"915",3
"916",7
"917",1
"918",5
"919",3
"920",1
"921",3
"922",2
"923",8
"924",1
"925",9
"926",9
"927",1
"928",5
"929",8
"930",5
"931",3
"932",8
"933",8
"934",5
"935",5
"936",2
"937",8
"938",5
"939",4
"940",5
"941",5
"942",3
"943",8
"944",3
"945",5
"946",5
"947",5
"948",5
"949",5
"950",8
"951",5
"952",5
"953",2
"954",5
"955",5
"956",5
"957",8
"958",5
"959",8
"960",9
"961",5
"962",5
"963",5
"964",5
"965",3
"966",5
"967",4
"968",5
"969",5
"970",5
"971",2
"972",5
"973",5
"974",8
"975",8
"976",8
"977",8
"978",8
"979",3
"980",3
"981",8
"982",9
"983",9
"984",5
"985",9
"986",8
"987",6
"988",5
"989",5
"990",8
"991",5
"992",3
"993",9
"994",5
"995",8
"996",9
"997",3
"998",5
"999",5
"1000",3
"1001",8
"1002",8
"1003",5
"1004",2
"1005",5
"1006",8
"1007",3
"1008",2
"1009",5
"1010",3
"1011",5
"1012",3
"1013",8
"1014",2
"1015",4
"1016",5
"1017",5
"1018",7
"1019",3
"1020",7
"1021",1
"1022",1
"1023",2
"1024",3
"1025",8
"1026",2
"1027",3
"1028",4
"1029",5
"1030",8
"1031",1
"1032",5
"1033",3
"1034",4
"1035",5
"1036",1
"1037",3
"1038",2
"1039",8
"1040",5
"1041",5
"1042",9
"1043",2
"1044",3
"1045",8
"1046",3
"1047",9
"1048",1
"1049",5
"1050",7
"1051",1
"1052",3
"1053",5
"1054",2
"1055",5
"1056",2
"1057",2
"1058",1
"1059",3
"1060",5
"1061",3
"1062",5
"1063",1
"1064",5
"1065",2
"1066",1
"1067",9
"1068",8
"1069",5
"1070",1
"1071",3
"1072",4
"1073",3
"1074",9
"1075",2
"1076",3
"1077",3
"1078",1
"1079",1
"1080",2
"1081",8
"1082",1
"1083",1
"1084",5
"1085",8
"1086",1
"1087",9
"1088",3
"1089",8
"1090",3
"1091",6
"1092",6
"1093",8
"1094",5
"1095",1
"1096",5
"1097",5
"1098",8
"1099",3
"1100",2
"1101",2
"1102",7
"1103",1
"1104",5
"1105",3
"1106",3
"1107",5
"1108",5
"1109",9
"1110",8
"1111",3
"1112",5
"1113",8
"1114",8
"1115",5
"1116",5
"1117",5
"1118",5
"1119",5
"1120",9
"1121",9
"1122",2
"1123",8
"1124",5
"1125",7
"1126",3
"1127",4
"1128",5
"1129",2
"1130",5
"1131",9
"1132",8
"1133",2
"1134",2
"1135",5
"1136",2
"1137",4
"1138",2
"1139",5
"1140",8
"1141",2
"1142",2
"1143",5
"1144",5
"1145",5
"1146",5
"1147",8
"1148",8
"1149",2
"1150",9
"1151",2
"1152",1
"1153",5
"1154",7
"1155",5
"1156",5
"1157",5
"1158",3
"1159",8
"1160",5
"1161",5
"1162",9
"1163",5
"1164",5
"1165",5
"1166",5
"1167",2
"1168",4
"1169",5
"1170",9
"1171",2
"1172",3
"1173",5
"1174",5
"1175",3
"1176",5
"1177",6
"1178",2
"1179",9
"1180",3
"1181",5
"1182",5
"1183",5
"1184",5
"1185",9
"1186",8
"1187",7
"1188",3
"1189",8
"1190",8
"1191",5
"1192",9
"1193",8
"1194",5
"1195",5
"1196",7
"1197",8
"1198",5
"1199",9
"1200",5
"1201",2
"1202",5
"1203",9
"1204",7
"1205",9
"1206",5
"1207",5
"1208",5
"1209",5
"1210",2
"1211",8
"1212",5
"1213",4
"1214",8
"1215",5
"1216",5
"1217",6
"1218",5
"1219",5
"1220",4
"1221",1
"1222",5
"1223",8
"1224",2
"1225",8
"1226",4
"1227",5
"1228",5
"1229",2
"1230",3
"1231",8
"1232",5
"1233",8
"1234",2
"1235",3
"1236",8
"1237",3
"1238",8
"1239",7
"1240",5
"1241",5
"1242",2
"1243",5
"1244",5
"1245",1
"1246",8
"1247",2
"1248",5
"1249",5
"1250",5
"1251",5
"1252",5
"1253",5
"1254",8
"1255",2
"1256",2
"1257",8
"1258",4
"1259",5
"1260",5
"1261",8
"1262",9
"1263",5
"1264",2
"1265",5
"1266",5
"1267",5
"1268",5
"1269",5
"1270",1
"1271",3
"1272",9
"1273",8
"1274",4
"1275",1
"1276",6
"1277",1
