"","x"
"1",0.644079139366999
"2",0.805175983498742
"3",0.535301263290773
"4",16976.801311097
"5",4.26100380818049
"6",1
"7",2
"8",1
"9",3
"10",4
"11",4
"12",1
"13",5
"14",1
"15",6
"16",6
"17",1
"18",7
"19",3
"20",1
"21",8
"22",2
"23",6
"24",3
"25",2
"26",6
"27",5
"28",6
"29",1
"30",9
"31",2
"32",6
"33",6
"34",6
"35",3
"36",1
"37",10
"38",2
"39",2
"40",10
"41",6
"42",6
"43",3
"44",5
"45",2
"46",2
"47",6
"48",2
"49",6
"50",2
"51",2
"52",6
"53",1
"54",2
"55",3
"56",2
"57",3
"58",7
"59",6
"60",6
"61",2
"62",4
"63",6
"64",1
"65",6
"66",3
"67",1
"68",1
"69",6
"70",6
"71",10
"72",2
"73",1
"74",2
"75",3
"76",7
"77",6
"78",6
"79",3
"80",2
"81",8
"82",1
"83",6
"84",6
"85",6
"86",1
"87",10
"88",3
"89",10
"90",1
"91",5
"92",5
"93",10
"94",6
"95",6
"96",7
"97",6
"98",2
"99",3
"100",7
"101",6
"102",7
"103",1
"104",6
"105",6
"106",7
"107",1
"108",8
"109",6
"110",5
"111",1
"112",6
"113",6
"114",6
"115",2
"116",2
"117",1
"118",9
"119",5
"120",6
"121",2
"122",3
"123",6
"124",1
"125",1
"126",1
"127",2
"128",6
"129",1
"130",6
"131",5
"132",3
"133",3
"134",6
"135",2
"136",8
"137",1
"138",6
"139",6
"140",3
"141",8
"142",1
"143",4
"144",3
"145",6
"146",2
"147",10
"148",1
"149",6
"150",1
"151",5
"152",3
"153",7
"154",1
"155",10
"156",1
"157",6
"158",6
"159",1
"160",2
"161",6
"162",2
"163",6
"164",2
"165",6
"166",6
"167",2
"168",1
"169",6
"170",1
"171",6
"172",1
"173",6
"174",8
"175",2
"176",6
"177",1
"178",9
"179",2
"180",6
"181",6
"182",1
"183",1
"184",6
"185",10
"186",2
"187",3
"188",1
"189",10
"190",3
"191",10
"192",5
"193",3
"194",3
"195",3
"196",5
"197",3
"198",7
"199",7
"200",3
"201",3
"202",3
"203",5
"204",10
"205",3
"206",5
"207",1
"208",10
"209",7
"210",1
"211",3
"212",8
"213",3
"214",7
"215",1
"216",5
"217",3
"218",5
"219",3
"220",1
"221",9
"222",5
"223",3
"224",3
"225",7
"226",7
"227",2
"228",1
"229",5
"230",5
"231",10
"232",3
"233",3
"234",1
"235",4
"236",3
"237",2
"238",10
"239",10
"240",6
"241",1
"242",3
"243",9
"244",10
"245",10
"246",10
"247",5
"248",7
"249",3
"250",9
"251",7
"252",9
"253",5
"254",3
"255",7
"256",7
"257",5
"258",7
"259",10
"260",3
"261",7
"262",3
"263",10
"264",7
"265",5
"266",9
"267",4
"268",5
"269",7
"270",2
"271",3
"272",3
"273",5
"274",9
"275",10
"276",9
"277",1
"278",7
"279",1
"280",7
"281",9
"282",3
"283",3
"284",7
"285",3
"286",3
"287",5
"288",3
"289",3
"290",3
"291",3
"292",5
"293",1
"294",10
"295",10
"296",3
"297",5
