"","x"
"1",0.480342546648539
"2",0.626612653388503
"3",0.0274512880775744
"4",482.871820708536
"5",49.8273115158081
"6",9
"7",7
"8",9
"9",2
"10",7
"11",7
"12",9
"13",9
"14",9
"15",5
"16",5
"17",9
"18",6
"19",9
"20",9
"21",6
"22",7
"23",5
"24",9
"25",7
"26",7
"27",9
"28",5
"29",9
"30",6
"31",7
"32",5
"33",5
"34",7
"35",9
"36",9
"37",9
"38",7
"39",7
"40",9
"41",5
"42",5
"43",9
"44",9
"45",7
"46",7
"47",5
"48",5
"49",5
"50",7
"51",7
"52",5
"53",9
"54",7
"55",9
"56",7
"57",9
"58",3
"59",5
"60",5
"61",7
"62",8
"63",5
"64",9
"65",7
"66",2
"67",9
"68",9
"69",7
"70",5
"71",9
"72",7
"73",9
"74",5
"75",6
"76",6
"77",5
"78",5
"79",7
"80",7
"81",9
"82",9
"83",5
"84",5
"85",5
"86",9
"87",9
"88",2
"89",9
"90",9
"91",9
"92",5
"93",9
"94",5
"95",5
"96",6
"97",5
"98",7
"99",9
"100",6
"101",5
"102",3
"103",9
"104",7
"105",5
"106",6
"107",9
"108",7
"109",5
"110",7
"111",9
"112",7
"113",5
"114",5
"115",7
"116",7
"117",9
"118",3
"119",9
"120",5
"121",7
"122",9
"123",5
"124",9
"125",9
"126",9
"127",7
"128",5
"129",2
"130",5
"131",9
"132",2
"133",2
"134",5
"135",7
"136",5
"137",6
"138",5
"139",5
"140",9
"141",5
"142",9
"143",8
"144",9
"145",5
"146",5
"147",9
"148",2
"149",7
"150",9
"151",9
"152",9
"153",6
"154",2
"155",9
"156",9
"157",5
"158",5
"159",2
"160",7
"161",5
"162",7
"163",5
"164",7
"165",5
"166",5
"167",7
"168",9
"169",5
"170",9
"171",5
"172",2
"173",5
"174",7
"175",7
"176",7
"177",9
"178",6
"179",7
"180",5
"181",5
"182",9
"183",6
"184",7
"185",9
"186",7
"187",9
"188",9
"189",9
"190",9
"191",9
"192",9
"193",9
"194",9
"195",9
"196",7
"197",9
"198",3
"199",3
"200",9
"201",9
"202",9
"203",9
"204",9
"205",9
"206",9
"207",9
"208",9
"209",6
"210",9
"211",2
"212",6
"213",9
"214",3
"215",9
"216",9
"217",9
"218",9
"219",2
"220",9
"221",6
"222",9
"223",9
"224",9
"225",3
"226",3
"227",7
"228",9
"229",9
"230",9
"231",9
"232",9
"233",9
"234",6
"235",8
"236",9
"237",7
"238",9
"239",9
"240",5
"241",9
"242",9
"243",3
"244",9
"245",9
"246",9
"247",9
"248",6
"249",9
"250",3
"251",3
"252",3
"253",3
"254",9
"255",3
"256",3
"257",9
"258",3
"259",9
"260",9
"261",3
"262",9
"263",9
"264",3
"265",9
"266",3
"267",8
"268",9
"269",3
"270",7
"271",9
"272",9
"273",9
"274",3
"275",9
"276",3
"277",9
"278",3
"279",9
"280",3
"281",3
"282",9
"283",9
"284",3
"285",9
"286",9
"287",9
"288",9
"289",9
"290",9
"291",6
"292",9
"293",9
"294",9
"295",9
"296",9
"297",9
"298",9
"299",9
"300",2
"301",3
"302",6
"303",2
"304",9
"305",3
"306",6
"307",3
"308",7
"309",9
"310",9
"311",9
"312",3
"313",7
"314",3
"315",7
"316",9
"317",7
"318",3
"319",9
"320",9
"321",9
"322",7
"323",3
"324",9
"325",6
"326",2
"327",9
"328",9
"329",9
"330",3
"331",9
"332",3
"333",6
"334",9
"335",9
"336",9
"337",7
"338",3
"339",9
"340",9
"341",9
"342",9
"343",9
"344",2
"345",9
"346",9
"347",5
"348",9
"349",9
"350",9
"351",7
"352",2
"353",6
"354",9
"355",3
"356",3
"357",9
"358",3
"359",9
"360",9
"361",9
"362",9
"363",9
"364",9
"365",9
"366",6
"367",6
"368",9
"369",3
"370",9
"371",2
"372",9
"373",9
"374",9
"375",2
"376",6
"377",9
"378",6
"379",3
"380",3
"381",9
"382",9
"383",9
"384",9
"385",9
"386",3
"387",5
"388",9
"389",6
"390",3
"391",9
"392",6
"393",9
"394",3
"395",9
"396",9
"397",8
"398",9
"399",9
"400",9
"401",3
"402",9
"403",9
"404",9
"405",9
"406",4
"407",9
"408",9
"409",6
"410",3
"411",9
"412",9
"413",9
"414",3
"415",9
"416",9
"417",9
"418",9
"419",9
"420",9
"421",3
"422",9
"423",9
"424",9
"425",4
"426",9
"427",9
"428",3
"429",9
"430",9
"431",9
"432",6
"433",3
"434",9
"435",9
"436",2
"437",9
"438",3
"439",9
"440",9
"441",3
"442",9
"443",3
"444",7
"445",9
"446",7
"447",9
"448",9
"449",2
"450",9
"451",9
"452",3
"453",9
"454",9
"455",9
"456",9
"457",9
"458",6
"459",9
"460",9
"461",9
"462",9
"463",9
"464",9
"465",9
"466",9
"467",4
"468",9
"469",9
"470",9
"471",3
"472",9
"473",9
"474",9
"475",4
"476",8
"477",9
"478",9
"479",8
"480",9
"481",9
"482",9
"483",9
"484",3
"485",2
"486",9
"487",3
"488",9
"489",6
"490",3
"491",9
"492",3
"493",3
"494",9
"495",9
"496",6
"497",6
"498",6
"499",3
"500",3
"501",9
"502",9
"503",3
"504",9
"505",9
"506",2
"507",3
"508",9
"509",9
"510",3
"511",9
"512",3
"513",9
"514",9
"515",9
"516",9
"517",3
"518",9
"519",9
"520",3
"521",3
"522",9
"523",3
"524",9
"525",9
"526",3
"527",9
"528",9
"529",6
"530",3
"531",3
"532",6
"533",7
"534",9
"535",9
"536",9
"537",9
"538",6
"539",9
"540",3
"541",9
"542",7
"543",9
"544",9
"545",9
"546",7
"547",9
"548",9
"549",9
"550",9
"551",3
"552",9
"553",7
"554",3
"555",9
"556",9
"557",9
"558",9
"559",3
"560",9
"561",9
"562",9
"563",9
"564",9
"565",9
"566",9
"567",3
"568",9
"569",3
"570",9
"571",3
"572",9
"573",9
"574",9
"575",3
"576",9
"577",9
"578",9
"579",6
"580",3
"581",9
"582",9
"583",9
"584",3
"585",9
"586",9
"587",9
"588",9
"589",9
"590",3
"591",9
"592",9
"593",3
"594",9
"595",9
"596",6
"597",9
"598",9
"599",9
"600",9
"601",3
"602",9
"603",6
"604",3
"605",3
"606",9
"607",3
"608",9
"609",3
"610",9
"611",9
"612",9
"613",9
"614",9
"615",9
"616",9
"617",9
"618",9
"619",9
"620",9
"621",3
"622",3
"623",3
"624",7
"625",9
"626",3
"627",7
"628",9
"629",9
"630",9
"631",9
"632",3
"633",9
"634",3
"635",2
"636",2
"637",9
"638",9
"639",9
"640",3
"641",2
"642",3
"643",9
"644",9
"645",6
"646",3
"647",9
"648",9
"649",3
"650",9
"651",9
"652",3
"653",5
"654",5
"655",9
"656",9
"657",3
"658",9
"659",9
"660",9
"661",9
"662",6
"663",2
"664",9
"665",9
"666",9
"667",6
"668",9
"669",9
"670",9
"671",3
"672",3
"673",9
"674",9
"675",9
"676",9
"677",3
"678",3
"679",9
"680",9
"681",9
"682",9
"683",9
"684",9
"685",9
"686",9
"687",9
"688",3
"689",3
"690",6
"691",9
"692",9
"693",9
"694",9
"695",9
"696",9
"697",3
"698",6
"699",9
"700",9
"701",9
"702",9
"703",9
"704",9
"705",9
"706",3
"707",9
"708",9
"709",9
"710",9
"711",9
"712",9
"713",9
"714",3
"715",9
"716",9
"717",9
"718",8
"719",2
"720",9
"721",9
"722",9
"723",9
"724",3
"725",3
"726",9
"727",8
"728",9
"729",9
"730",9
"731",9
"732",9
"733",9
"734",7
"735",9
"736",9
"737",9
"738",5
"739",9
"740",9
"741",9
"742",9
"743",3
"744",7
"745",9
"746",9
"747",9
"748",3
"749",9
"750",9
"751",9
"752",9
"753",9
"754",6
"755",3
"756",7
"757",3
