"","x"
"1",0.169988481338145
"2",0.474945251760342
"3",0.189427560235914
"4",12287.9778267475
"5",8.23479119539261
"6",1
"7",2
"8",3
"9",4
"10",5
"11",6
"12",7
"13",8
"14",4
"15",9
"16",9
"17",10
"18",8
"19",3
"20",10
"21",2
"22",11
"23",12
"24",12
"25",7
"26",1
"27",1
"28",12
"29",8
"30",11
"31",12
"32",1
"33",4
"34",2
"35",12
"36",7
"37",8
"38",8
"39",12
"40",3
"41",13
"42",13
"43",4
"44",7
"45",11
"46",1
"47",12
"48",10
"49",9
"50",3
"51",5
"52",1
"53",1
"54",4
"55",12
"56",7
"57",14
"58",10
"59",3
"60",8
"61",15
"62",7
"63",16
"64",3
"65",7
"66",1
"67",7
"68",1
"69",9
"70",11
"71",3
"72",12
"73",10
"74",5
"75",8
"76",12
"77",8
"78",13
"79",7
"80",7
"81",7
"82",13
"83",1
"84",7
"85",4
"86",12
"87",11
"88",12
"89",2
"90",1
"91",12
"92",8
"93",4
"94",8
"95",3
"96",7
"97",7
"98",14
"99",10
"100",2
"101",16
"102",1
"103",5
"104",12
"105",12
"106",7
"107",12
"108",2
"109",9
"110",3
"111",13
"112",8
"113",8
"114",10
"115",2
"116",1
"117",3
"118",3
"119",10
"120",3
"121",13
"122",4
"123",6
"124",13
"125",13
"126",7
"127",13
"128",16
"129",1
"130",3
"131",3
"132",13
"133",1
"134",13
"135",8
"136",16
"137",3
"138",12
"139",14
"140",13
"141",5
"142",11
"143",9
"144",12
"145",8
"146",8
"147",6
"148",7
"149",7
"150",10
"151",4
"152",11
"153",7
"154",8
"155",16
"156",4
"157",16
"158",1
"159",11
"160",4
"161",1
"162",4
"163",12
"164",16
"165",1
"166",3
"167",4
"168",13
"169",10
"170",16
"171",1
"172",16
"173",1
"174",3
"175",3
"176",3
"177",4
"178",3
"179",4
"180",3
"181",16
"182",4
"183",4
"184",3
"185",8
"186",3
"187",7
"188",5
"189",4
"190",12
"191",3
"192",10
"193",4
"194",12
"195",7
"196",12
"197",16
"198",3
"199",10
"200",13
"201",9
"202",3
"203",10
"204",3
"205",11
"206",12
"207",3
"208",11
"209",4
"210",3
"211",3
"212",4
"213",9
"214",9
"215",14
"216",16
"217",4
"218",13
"219",4
"220",3
"221",4
"222",1
"223",10
"224",5
"225",12
"226",4
"227",5
"228",1
"229",10
"230",3
"231",10
"232",5
"233",12
"234",10
"235",1
"236",4
"237",9
"238",7
"239",7
"240",10
"241",12
"242",7
"243",4
"244",4
"245",1
"246",16
"247",11
"248",1
"249",6
"250",7
"251",3
"252",10
"253",5
"254",4
"255",16
"256",5
"257",4
"258",2
"259",13
"260",5
"261",10
"262",1
"263",4
"264",7
"265",13
"266",13
"267",13
"268",10
"269",16
"270",1
"271",9
"272",10
"273",10
"274",12
"275",8
"276",5
"277",13
"278",4
"279",8
"280",7
"281",7
"282",12
"283",8
"284",12
"285",6
"286",14
"287",5
"288",4
"289",3
"290",7
"291",4
"292",12
"293",12
"294",8
"295",13
"296",11
"297",7
"298",7
"299",5
"300",16
"301",5
"302",3
"303",8
"304",3
"305",4
"306",16
"307",2
"308",5
"309",5
"310",3
"311",7
"312",9
"313",10
"314",9
"315",9
"316",10
"317",1
"318",11
"319",7
"320",4
"321",10
"322",4
"323",12
"324",4
"325",6
"326",4
"327",8
"328",8
"329",1
"330",10
"331",10
"332",5
"333",7
"334",1
"335",12
"336",16
"337",13
"338",3
"339",4
"340",4
"341",3
"342",10
"343",4
"344",10
"345",17
"346",3
"347",10
"348",5
"349",16
"350",4
"351",4
"352",9
"353",10
"354",16
"355",6
"356",10
"357",9
"358",5
"359",5
"360",9
"361",9
"362",3
"363",13
"364",11
"365",3
"366",9
"367",3
"368",12
"369",9
"370",14
"371",13
"372",3
"373",7
"374",14
"375",17
"376",5
"377",16
"378",8
"379",1
"380",13
"381",16
"382",3
"383",7
"384",16
"385",14
"386",4
"387",10
"388",4
"389",7
"390",7
"391",5
"392",3
"393",9
"394",13
"395",3
"396",6
"397",10
"398",4
"399",8
"400",12
"401",7
"402",6
"403",1
"404",2
"405",4
"406",16
"407",4
"408",8
"409",1
"410",4
"411",8
"412",11
"413",4
"414",9
"415",10
"416",7
"417",9
"418",11
"419",3
"420",3
"421",1
"422",16
"423",5
"424",4
"425",7
"426",13
"427",10
"428",12
"429",1
"430",12
"431",2
"432",13
"433",12
"434",12
"435",4
"436",8
"437",11
"438",11
"439",4
"440",3
"441",10
"442",9
"443",13
"444",9
"445",5
"446",14
"447",10
"448",9
"449",14
"450",4
"451",5
"452",9
"453",16
"454",3
"455",3
"456",9
"457",4
"458",16
"459",8
"460",3
"461",3
"462",13
"463",12
"464",12
"465",11
"466",16
"467",12
"468",4
"469",14
"470",4
"471",16
"472",5
"473",10
"474",16
"475",6
"476",7
"477",4
"478",4
"479",4
