"","x"
"1",0.676672290582796
"2",0.734109726118598
"3",0.0759924712319757
"4",263.023539018877
"5",5.49366672833761
"6",1
"7",2
"8",3
"9",4
"10",5
"11",5
"12",3
"13",5
"14",1
"15",5
"16",5
"17",5
"18",1
"19",6
"20",4
"21",6
"22",2
"23",5
"24",4
"25",5
"26",5
"27",5
"28",1
"29",1
"30",4
"31",5
"32",5
"33",3
"34",5
"35",2
"36",1
"37",3
"38",1
"39",5
"40",4
"41",3
"42",5
"43",4
"44",1
"45",1
"46",5
"47",2
"48",3
"49",5
"50",4
"51",4
"52",3
"53",5
"54",3
"55",5
"56",3
"57",5
"58",5
"59",5
"60",6
"61",3
"62",5
"63",2
"64",6
"65",5
"66",5
"67",3
"68",5
"69",4
"70",5
"71",1
"72",4
"73",2
"74",5
"75",6
"76",5
"77",4
"78",1
"79",3
"80",1
"81",5
"82",1
"83",5
"84",5
"85",5
"86",5
"87",5
"88",2
"89",5
"90",3
"91",1
"92",4
"93",5
"94",5
"95",4
"96",5
"97",4
"98",4
"99",2
"100",6
"101",5
"102",6
"103",5
"104",5
"105",5
"106",1
"107",1
"108",5
"109",3
"110",1
"111",4
"112",3
"113",1
"114",4
"115",3
"116",2
"117",3
"118",2
"119",2
"120",5
"121",1
"122",3
"123",5
"124",5
"125",1
"126",4
"127",5
"128",6
"129",5
"130",5
"131",1
"132",5
"133",5
"134",1
"135",4
"136",2
"137",4
"138",4
"139",4
"140",1
"141",1
"142",1
"143",1
"144",5
"145",5
"146",4
"147",5
"148",4
"149",6
"150",1
"151",3
"152",1
"153",1
"154",5
"155",5
"156",4
"157",4
"158",4
"159",3
"160",3
"161",5
"162",4
"163",2
"164",2
"165",1
"166",3
"167",3
"168",6
"169",4
"170",3
"171",5
"172",2
"173",1
"174",2
"175",5
"176",1
"177",6
"178",3
"179",3
"180",4
"181",3
"182",2
"183",5
"184",5
"185",5
"186",1
"187",4
"188",5
"189",5
"190",4
"191",5
"192",1
"193",5
"194",1
"195",6
"196",2
"197",5
"198",4
"199",4
"200",2
"201",1
"202",4
"203",3
"204",3
"205",4
"206",6
"207",1
"208",1
"209",3
"210",1
"211",5
"212",5
"213",1
"214",3
"215",3
"216",3
"217",3
"218",6
"219",5
"220",1
"221",4
"222",4
"223",5
"224",5
"225",4
"226",2
"227",1
"228",5
"229",4
"230",3
"231",3
"232",3
"233",3
"234",5
"235",3
"236",4
"237",5
"238",3
"239",2
"240",4
"241",4
"242",1
"243",2
"244",4
"245",6
"246",1
"247",1
"248",1
"249",1
"250",3
"251",1
"252",1
"253",3
"254",5
"255",1
"256",2
"257",4
"258",2
"259",3
"260",3
"261",5
"262",4
"263",6
"264",5
"265",6
"266",3
"267",5
"268",5
"269",2
"270",5
"271",1
"272",1
"273",3
"274",4
"275",4
"276",5
"277",6
"278",3
"279",3
"280",1
"281",1
"282",3
"283",2
"284",1
"285",1
"286",3
"287",6
"288",3
"289",4
"290",1
"291",4
"292",6
"293",3
"294",5
"295",3
"296",5
"297",4
"298",1
"299",3
"300",3
"301",5
"302",6
"303",4
"304",6
"305",3
"306",4
"307",6
"308",3
"309",1
"310",6
"311",5
"312",4
"313",5
"314",4
"315",4
"316",5
"317",4
"318",2
"319",3
"320",4
"321",5
"322",2
"323",5
"324",1
"325",5
"326",4
"327",3
"328",4
"329",3
"330",5
"331",3
"332",5
"333",4
"334",2
"335",3
"336",5
"337",2
"338",5
"339",5
"340",4
"341",3
"342",3
"343",3
"344",1
"345",5
"346",2
"347",3
"348",2
"349",3
"350",5
"351",2
"352",5
"353",3
"354",4
"355",3
"356",4
"357",3
"358",5
"359",4
"360",1
"361",2
"362",2
"363",5
"364",5
"365",1
"366",5
"367",6
"368",2
"369",1
"370",5
"371",3
"372",3
"373",1
"374",3
"375",3
"376",6
"377",4
"378",4
"379",4
"380",5
"381",3
"382",5
"383",3
"384",1
"385",1
"386",3
"387",2
"388",4
"389",5
"390",3
"391",2
"392",5
"393",6
"394",4
"395",5
"396",3
"397",1
"398",5
"399",2
"400",4
"401",1
"402",6
"403",4
"404",5
"405",5
"406",3
"407",5
"408",4
"409",5
"410",5
"411",1
"412",3
"413",5
"414",6
"415",2
"416",1
"417",1
"418",4
"419",5
"420",5
"421",3
"422",3
"423",2
"424",2
"425",5
"426",3
"427",3
"428",2
"429",3
"430",1
"431",3
"432",4
"433",5
"434",1
"435",2
"436",5
"437",5
"438",5
"439",3
"440",2
"441",3
"442",2
"443",1
"444",3
"445",5
"446",5
"447",4
"448",1
"449",4
"450",5
"451",3
"452",5
"453",5
"454",4
"455",5
"456",3
"457",1
"458",3
"459",3
"460",3
"461",5
"462",1
"463",1
"464",5
"465",2
"466",1
"467",4
"468",5
"469",2
"470",1
"471",5
"472",5
"473",5
"474",4
"475",1
"476",5
"477",1
"478",2
"479",2
"480",1
"481",4
"482",5
"483",3
"484",3
"485",3
"486",2
"487",1
"488",1
"489",1
"490",4
"491",5
"492",5
"493",2
"494",3
"495",5
"496",1
"497",4
"498",5
"499",4
"500",1
"501",2
"502",5
"503",3
"504",5
"505",3
"506",1
"507",5
"508",4
"509",4
"510",2
"511",3
"512",2
"513",6
"514",4
"515",5
"516",1
"517",5
"518",5
"519",4
"520",5
"521",6
"522",4
"523",2
"524",2
"525",1
"526",6
"527",4
"528",3
"529",1
"530",4
"531",4
"532",5
"533",2
"534",4
"535",1
"536",1
"537",3
"538",4
"539",1
"540",3
"541",1
"542",5
"543",4
"544",3
"545",6
"546",5
"547",1
"548",5
"549",6
"550",6
"551",2
"552",5
"553",2
"554",6
"555",5
"556",3
"557",5
"558",5
"559",5
"560",4
"561",1
"562",2
"563",6
"564",5
"565",4
"566",4
"567",3
"568",1
"569",1
"570",2
"571",3
"572",5
"573",1
"574",4
"575",1
"576",5
"577",5
"578",1
"579",4
"580",5
"581",5
"582",1
"583",1
"584",2
"585",1
"586",6
"587",3
"588",2
"589",2
"590",5
"591",5
"592",2
"593",3
"594",1
"595",2
"596",6
"597",5
"598",3
"599",4
"600",6
"601",3
"602",4
"603",3
"604",5
"605",5
"606",5
"607",3
"608",2
"609",3
"610",3
"611",4
"612",5
"613",5
"614",1
"615",1
"616",5
"617",1
"618",1
"619",1
"620",3
"621",2
"622",1
"623",3
"624",1
"625",3
"626",4
"627",2
"628",3
"629",1
"630",5
"631",5
"632",1
"633",5
"634",5
"635",5
"636",3
"637",3
"638",5
"639",1
"640",5
"641",5
"642",1
"643",2
"644",5
"645",5
"646",3
"647",4
"648",4
"649",1
"650",5
"651",4
"652",5
"653",5
"654",5
"655",5
"656",5
"657",3
"658",3
"659",3
"660",5
"661",5
"662",5
"663",3
"664",5
"665",3
"666",2
"667",4
"668",4
"669",5
"670",3
"671",4
"672",4
"673",3
"674",1
"675",2
"676",5
"677",3
"678",3
"679",3
"680",1
"681",5
"682",4
"683",1
"684",5
"685",5
"686",1
"687",5
"688",1
"689",6
"690",5
"691",5
"692",1
"693",3
"694",2
"695",5
"696",3
"697",4
"698",5
"699",3
"700",4
"701",5
"702",5
"703",5
"704",3
"705",5
"706",3
"707",3
"708",4
"709",2
"710",5
"711",3
"712",2
"713",3
"714",1
"715",4
"716",3
"717",3
"718",4
"719",4
"720",1
"721",5
"722",5
"723",5
"724",1
"725",5
"726",3
"727",1
"728",2
"729",1
"730",3
"731",4
"732",3
"733",5
"734",3
"735",3
"736",5
"737",3
"738",1
"739",5
"740",5
