"","x"
"1",0.470589632099932
"2",0.643743260293038
"3",0.278691545430318
"4",11641.0235170256
"5",17.0456837534904
"6",1
"7",2
"8",3
"9",4
"10",5
"11",5
"12",4
"13",6
"14",1
"15",5
"16",5
"17",7
"18",1
"19",4
"20",4
"21",8
"22",9
"23",7
"24",4
"25",5
"26",6
"27",5
"28",1
"29",9
"30",4
"31",6
"32",6
"33",8
"34",5
"35",2
"36",1
"37",7
"38",1
"39",5
"40",4
"41",1
"42",5
"43",4
"44",10
"45",3
"46",5
"47",10
"48",3
"49",5
"50",4
"51",4
"52",7
"53",5
"54",7
"55",5
"56",3
"57",5
"58",6
"59",6
"60",8
"61",11
"62",5
"63",2
"64",8
"65",6
"66",6
"67",7
"68",6
"69",4
"70",5
"71",1
"72",4
"73",9
"74",6
"75",8
"76",5
"77",4
"78",10
"79",2
"80",10
"81",5
"82",10
"83",6
"84",5
"85",7
"86",5
"87",5
"88",2
"89",5
"90",2
"91",9
"92",4
"93",2
"94",5
"95",4
"96",6
"97",4
"98",4
"99",2
"100",4
"101",9
"102",8
"103",7
"104",6
"105",6
"106",7
"107",10
"108",5
"109",11
"110",10
"111",4
"112",3
"113",1
"114",4
"115",11
"116",9
"117",3
"118",9
"119",9
"120",6
"121",9
"122",7
"123",5
"124",6
"125",10
"126",2
"127",6
"128",8
"129",6
"130",5
"131",9
"132",5
"133",6
"134",1
"135",4
"136",2
"137",4
"138",4
"139",4
"140",1
"141",1
"142",10
"143",2
"144",7
"145",7
"146",4
"147",5
"148",4
"149",4
"150",9
"151",2
"152",10
"153",1
"154",5
"155",5
"156",11
"157",4
"158",4
"159",7
"160",7
"161",5
"162",4
"163",9
"164",9
"165",10
"166",1
"167",11
"168",8
"169",4
"170",1
"171",6
"172",10
"173",1
"174",2
"175",5
"176",9
"177",8
"178",7
"179",7
"180",7
"181",7
"182",2
"183",6
"184",7
"185",5
"186",1
"187",4
"188",5
"189",6
"190",4
"191",6
"192",1
"193",6
"194",3
"195",2
"196",2
"197",5
"198",4
"199",4
"200",2
"201",10
"202",4
"203",7
"204",3
"205",4
"206",4
"207",1
"208",1
"209",1
"210",10
"211",5
"212",5
"213",10
"214",7
"215",3
"216",7
"217",2
"218",4
"219",5
"220",10
"221",4
"222",4
"223",6
"224",5
"225",4
"226",10
"227",1
"228",5
"229",4
"230",4
"231",3
"232",5
"233",11
"234",5
"235",7
"236",4
"237",5
"238",7
"239",10
"240",4
"241",4
"242",1
"243",9
"244",4
"245",4
"246",10
"247",10
"248",10
"249",10
"250",7
"251",10
"252",1
"253",3
"254",6
"255",1
"256",10
"257",4
"258",2
"259",6
"260",3
"261",5
"262",4
"263",8
"264",2
"265",8
"266",2
"267",5
"268",5
"269",2
"270",6
"271",10
"272",10
"273",7
"274",4
"275",4
"276",6
"277",8
"278",11
"279",2
"280",10
"281",10
"282",2
"283",9
"284",1
"285",10
"286",3
"287",4
"288",3
"289",4
"290",10
"291",4
"292",8
"293",7
"294",5
"295",3
"296",6
"297",4
"298",1
"299",2
"300",7
"301",5
"302",4
"303",4
"304",8
"305",2
"306",4
"307",8
"308",11
"309",10
"310",4
"311",6
"312",4
"313",5
"314",4
"315",4
"316",5
"317",4
"318",2
"319",3
"320",4
"321",6
"322",2
"323",5
"324",10
"325",6
"326",4
"327",7
"328",4
"329",1
"330",6
"331",11
"332",5
"333",3
"334",2
"335",11
"336",5
"337",9
"338",5
"339",5
"340",4
"341",8
"342",5
"343",7
"344",10
"345",5
"346",2
"347",11
"348",10
"349",11
"350",6
"351",9
"352",5
"353",7
"354",4
"355",2
"356",4
"357",3
"358",5
"359",4
"360",11
"361",2
"362",2
"363",5
"364",6
"365",10
"366",5
"367",3
"368",2
"369",10
"370",5
"371",2
"372",3
"373",10
"374",11
"375",7
"376",8
"377",4
"378",4
"379",4
"380",6
"381",7
"382",6
"383",4
"384",10
"385",10
"386",8
"387",2
"388",4
"389",6
"390",7
"391",10
"392",6
"393",4
"394",4
"395",5
"396",7
"397",10
"398",5
"399",2
"400",4
"401",10
"402",4
"403",4
"404",5
"405",5
"406",3
"407",6
"408",4
"409",2
"410",5
"411",10
"412",7
"413",5
"414",4
"415",2
"416",10
"417",10
"418",4
"419",6
"420",5
"421",3
"422",2
"423",10
"424",2
"425",5
"426",3
"427",3
"428",2
"429",11
"430",9
"431",3
"432",4
"433",5
"434",1
"435",2
"436",6
"437",5
"438",6
"439",7
"440",2
"441",2
"442",2
"443",10
"444",2
"445",5
"446",5
"447",4
"448",10
"449",4
"450",6
"451",7
"452",5
"453",5
"454",4
"455",5
"456",8
"457",10
"458",7
"459",3
"460",3
"461",5
"462",1
"463",10
"464",5
"465",2
"466",10
"467",4
"468",5
"469",2
"470",10
"471",5
"472",5
"473",5
"474",4
"475",10
"476",6
"477",10
"478",9
"479",2
"480",10
"481",4
"482",6
"483",3
"484",2
"485",7
"486",9
"487",1
"488",10
"489",10
"490",4
"491",5
"492",5
"493",9
"494",3
"495",5
"496",1
"497",4
"498",5
"499",4
"500",10
"501",9
"502",5
"503",7
"504",5
"505",3
"506",1
"507",5
"508",4
"509",4
"510",2
"511",11
"512",10
"513",8
"514",4
"515",5
"516",10
"517",6
"518",6
"519",4
"520",5
"521",8
"522",4
"523",2
"524",2
"525",10
"526",8
"527",4
"528",9
"529",1
"530",4
"531",4
"532",6
"533",2
"534",4
"535",1
"536",1
"537",8
"538",4
"539",2
"540",7
"541",10
"542",5
"543",4
"544",11
"545",4
"546",5
"547",10
"548",5
"549",4
"550",4
"551",2
"552",5
"553",2
"554",4
"555",5
"556",2
"557",5
"558",6
"559",5
"560",4
"561",10
"562",2
"563",4
"564",6
"565",4
"566",4
"567",6
"568",10
"569",1
"570",9
"571",7
"572",6
"573",10
"574",4
"575",3
"576",6
"577",5
"578",10
"579",4
"580",6
"581",6
"582",3
"583",10
"584",2
"585",2
"586",4
"587",3
"588",2
"589",2
"590",7
"591",5
"592",2
"593",3
"594",1
"595",9
"596",8
"597",6
"598",7
"599",2
"600",8
"601",7
"602",4
"603",7
"604",5
"605",6
"606",6
"607",11
"608",2
"609",3
"610",1
"611",4
"612",6
"613",6
"614",10
"615",1
"616",5
"617",1
"618",1
"619",1
"620",3
"621",10
"622",10
"623",3
"624",10
"625",10
"626",4
"627",9
"628",3
"629",1
"630",6
"631",6
"632",10
"633",6
"634",5
"635",2
"636",3
"637",7
"638",6
"639",9
"640",6
"641",5
"642",10
"643",9
"644",5
"645",6
"646",5
"647",4
"648",4
"649",10
"650",6
"651",4
"652",5
"653",5
"654",6
"655",5
"656",5
"657",6
"658",7
"659",7
"660",6
"661",5
"662",5
"663",3
"664",5
"665",3
"666",2
"667",2
"668",4
"669",6
"670",1
"671",4
"672",4
"673",11
"674",10
"675",2
"676",5
"677",7
"678",7
"679",7
"680",9
"681",5
"682",4
"683",10
"684",6
"685",6
"686",10
"687",5
"688",1
"689",8
"690",6
"691",5
"692",10
"693",7
"694",2
"695",5
"696",11
"697",4
"698",7
"699",3
"700",4
"701",6
"702",6
"703",5
"704",3
"705",5
"706",1
"707",7
"708",4
"709",9
"710",5
"711",7
"712",10
"713",11
"714",9
"715",4
"716",2
"717",11
"718",4
"719",4
"720",1
"721",6
"722",5
"723",5
"724",10
"725",6
"726",11
"727",10
"728",2
"729",10
"730",11
"731",4
"732",11
"733",5
"734",2
"735",6
"736",6
"737",7
"738",10
"739",5
"740",5
"741",10
"742",7
"743",10
"744",5
"745",4
"746",5
"747",6
"748",4
"749",2
"750",8
"751",9
"752",10
"753",3
"754",10
"755",4
"756",6
"757",11
"758",10
"759",6
"760",10
"761",2
"762",5
"763",2
"764",6
"765",11
"766",6
"767",3
"768",4
"769",10
"770",10
"771",9
"772",10
"773",9
"774",4
"775",2
"776",4
"777",7
"778",11
"779",7
"780",10
"781",2
"782",10
"783",10
"784",10
"785",5
"786",2
"787",4
"788",5
"789",10
"790",4
"791",4
"792",11
"793",4
"794",5
"795",6
"796",6
"797",4
"798",6
"799",2
"800",11
"801",2
"802",7
"803",6
"804",2
"805",6
"806",4
"807",10
"808",1
"809",5
"810",6
"811",6
"812",2
"813",5
"814",5
"815",5
"816",8
"817",6
"818",5
"819",2
"820",6
"821",4
"822",6
"823",4
"824",4
"825",4
"826",10
"827",10
"828",2
"829",2
"830",10
"831",6
"832",6
"833",4
"834",5
"835",11
"836",11
"837",6
"838",4
"839",2
"840",5
"841",5
"842",5
"843",9
"844",2
"845",2
"846",3
"847",4
"848",11
"849",5
"850",4
"851",8
"852",7
"853",10
"854",4
"855",6
"856",1
"857",5
"858",6
"859",11
"860",6
"861",5
"862",7
"863",4
"864",5
"865",9
"866",5
"867",2
"868",3
"869",6
"870",5
"871",6
"872",10
"873",9
"874",6
"875",4
"876",5
"877",2
"878",5
"879",4
"880",10
"881",7
"882",4
"883",6
"884",10
"885",6
"886",8
"887",9
"888",4
"889",4
"890",8
"891",4
"892",7
"893",4
"894",4
"895",5
"896",3
"897",4
"898",4
"899",1
"900",2
"901",5
"902",10
"903",10
"904",2
"905",10
"906",3
"907",11
"908",5
"909",1
"910",5
"911",10
"912",10
"913",5
"914",4
"915",2
"916",9
"917",5
"918",10
"919",10
"920",3
"921",4
"922",5
"923",1
"924",7
"925",1
"926",9
"927",6
"928",2
"929",5
"930",3
"931",6
"932",5
"933",5
"934",4
"935",7
"936",5
"937",4
"938",10
"939",11
"940",5
"941",2
"942",2
"943",7
"944",5
"945",5
"946",5
"947",11
"948",6
"949",5
"950",10
"951",4
"952",10
"953",3
"954",4
"955",4
"956",6
"957",10
"958",6
"959",2
"960",6
"961",2
"962",5
"963",6
"964",5
"965",5
"966",6
"967",2
"968",10
"969",6
"970",6
"971",10
"972",5
"973",5
"974",3
"975",4
"976",10
"977",7
"978",6
"979",11
"980",11
"981",3
"982",11
"983",4
"984",4
"985",10
"986",10
"987",10
"988",2
"989",5
"990",9
"991",4
"992",6
"993",5
"994",7
"995",5
"996",6
"997",7
"998",7
"999",5
"1000",2
"1001",5
"1002",11
"1003",4
"1004",7
"1005",9
"1006",4
"1007",8
"1008",5
"1009",6
"1010",6
"1011",2
"1012",3
"1013",10
"1014",7
"1015",4
"1016",4
"1017",3
"1018",7
"1019",2
"1020",7
"1021",6
"1022",11
"1023",2
"1024",8
"1025",4
"1026",10
"1027",10
"1028",2
"1029",4
"1030",8
"1031",5
"1032",4
"1033",2
"1034",7
"1035",10
"1036",7
"1037",3
"1038",9
"1039",8
"1040",9
"1041",8
"1042",4
"1043",7
"1044",1
"1045",3
"1046",4
"1047",10
"1048",4
"1049",7
"1050",1
"1051",4
"1052",10
"1053",5
"1054",4
"1055",4
"1056",5
"1057",7
"1058",7
"1059",1
"1060",2
"1061",5
"1062",6
"1063",11
"1064",8
"1065",9
"1066",11
"1067",10
"1068",8
"1069",9
"1070",10
"1071",6
"1072",5
"1073",4
"1074",4
"1075",3
"1076",5
"1077",7
"1078",7
"1079",6
"1080",4
"1081",10
"1082",11
"1083",1
"1084",5
"1085",5
"1086",2
"1087",9
"1088",10
"1089",10
"1090",2
"1091",5
"1092",1
"1093",5
"1094",4
"1095",6
"1096",5
"1097",11
"1098",2
"1099",10
"1100",2
"1101",5
"1102",10
"1103",1
"1104",6
"1105",5
"1106",10
"1107",5
"1108",4
"1109",4
"1110",2
"1111",10
"1112",2
"1113",2
"1114",5
"1115",7
"1116",4
"1117",6
"1118",5
"1119",5
"1120",5
"1121",2
"1122",7
"1123",4
"1124",4
"1125",4
"1126",10
"1127",8
"1128",6
"1129",7
"1130",11
"1131",2
"1132",7
"1133",8
"1134",4
"1135",5
"1136",7
"1137",4
"1138",11
"1139",5
"1140",7
"1141",5
"1142",10
"1143",9
"1144",9
"1145",7
"1146",6
"1147",6
"1148",10
"1149",5
"1150",10
"1151",3
"1152",6
"1153",3
"1154",3
"1155",3
"1156",5
"1157",3
"1158",1
"1159",5
"1160",7
"1161",6
"1162",2
"1163",2
"1164",9
"1165",10
"1166",9
"1167",2
"1168",7
"1169",4
"1170",3
"1171",10
"1172",10
"1173",10
"1174",4
"1175",4
"1176",2
"1177",4
"1178",5
"1179",4
"1180",5
"1181",5
"1182",10
"1183",10
"1184",5
"1185",7
"1186",10
"1187",1
"1188",7
"1189",3
"1190",3
"1191",5
"1192",4
"1193",4
"1194",7
"1195",4
"1196",10
"1197",5
"1198",4
"1199",4
"1200",2
"1201",6
"1202",5
"1203",10
"1204",3
"1205",5
"1206",5
"1207",5
"1208",5
"1209",3
"1210",4
"1211",2
"1212",5
"1213",2
"1214",4
"1215",4
"1216",10
"1217",4
"1218",2
"1219",11
"1220",5
"1221",4
"1222",9
"1223",10
"1224",4
"1225",4
"1226",2
"1227",11
"1228",7
"1229",4
"1230",5
"1231",2
"1232",4
"1233",4
"1234",5
"1235",4
"1236",11
"1237",6
"1238",4
"1239",5
"1240",11
"1241",4
"1242",10
"1243",1
"1244",7
"1245",2
"1246",8
"1247",5
"1248",2
"1249",1
"1250",7
"1251",5
"1252",7
"1253",1
"1254",9
"1255",7
"1256",5
"1257",10
"1258",6
"1259",7
"1260",5
"1261",10
"1262",11
"1263",5
"1264",7
"1265",3
"1266",4
"1267",5
"1268",3
"1269",10
"1270",5
"1271",10
"1272",2
"1273",10
"1274",5
"1275",10
"1276",9
"1277",6
"1278",3
"1279",11
"1280",4
"1281",6
"1282",2
"1283",4
"1284",7
"1285",5
"1286",7
"1287",5
"1288",7
"1289",8
"1290",5
"1291",7
"1292",5
"1293",4
"1294",10
"1295",10
"1296",4
"1297",5
"1298",7
"1299",4
"1300",4
"1301",7
"1302",10
"1303",5
"1304",2
"1305",10
"1306",5
"1307",5
"1308",5
"1309",4
"1310",3
"1311",6
"1312",2
"1313",2
"1314",4
"1315",10
"1316",5
"1317",5
"1318",10
"1319",6
"1320",10
"1321",11
"1322",5
"1323",4
"1324",4
"1325",4
"1326",5
