"","x"
"1",0.531977941836899
"2",0.699877131518033
"3",0.211133826536648
"4",1413.89592611441
"5",2.31827269792557
"6",6
"7",5
"8",1
"9",1
"10",4
"11",3
"12",1
"13",4
"14",6
"15",3
"16",4
"17",4
"18",6
"19",1
"20",1
"21",2
"22",5
"23",1
"24",1
"25",4
"26",4
"27",4
"28",6
"29",6
"30",1
"31",4
"32",4
"33",2
"34",3
"35",6
"36",6
"37",1
"38",6
"39",3
"40",1
"41",6
"42",3
"43",1
"44",6
"45",6
"46",4
"47",6
"48",1
"49",3
"50",1
"51",1
"52",1
"53",4
"54",1
"55",4
"56",1
"57",3
"58",4
"59",4
"60",2
"61",1
"62",3
"63",6
"64",2
"65",4
"66",3
"67",1
"68",4
"69",1
"70",4
"71",6
"72",1
"73",6
"74",3
"75",2
"76",3
"77",1
"78",5
"79",1
"80",5
"81",4
"82",6
"83",3
"84",4
"85",3
"86",4
"87",4
"88",5
"89",3
"90",1
"91",6
"92",1
"93",1
"94",3
"95",1
"96",4
"97",1
"98",1
"99",5
"100",1
"101",1
"102",2
"103",4
"104",4
"105",4
"106",6
"107",6
"108",3
"109",1
"110",6
"111",1
"112",1
"113",6
"114",1
"115",1
"116",6
"117",1
"118",6
"119",5
"120",4
"121",6
"122",1
"123",4
"124",4
"125",5
"126",1
"127",4
"128",2
"129",3
"130",4
"131",6
"132",3
"133",3
"134",6
"135",1
"136",1
"137",1
"138",1
"139",1
"140",6
"141",6
"142",5
"143",5
"144",2
"145",1
"146",1
"147",3
"148",1
"149",1
"150",6
"151",1
"152",6
"153",6
"154",4
"155",4
"156",1
"157",1
"158",1
"159",1
"160",1
"161",3
"162",1
"163",6
"164",6
"165",5
"166",6
"167",1
"168",2
"169",1
"170",6
"171",4
"172",6
"173",6
"174",6
"175",4
"176",6
"177",2
"178",1
"179",1
"180",1
"181",1
"182",6
"183",3
"184",1
"185",4
"186",6
"187",1
"188",4
"189",4
"190",1
"191",4
"192",6
"193",3
"194",6
"195",2
"196",6
"197",4
"198",1
"199",1
"200",6
"201",6
"202",1
"203",6
"204",1
"205",1
"206",2
"207",6
"208",5
"209",6
"210",5
"211",4
"212",3
"213",6
"214",1
"215",1
"216",6
"217",1
"218",1
"219",4
"220",6
"221",1
"222",1
"223",4
"224",4
"225",1
"226",5
"227",6
"228",4
"229",1
"230",1
"231",1
"232",3
"233",1
"234",4
"235",1
"236",1
"237",4
"238",1
"239",5
"240",1
"241",1
"242",6
"243",6
"244",1
"245",2
"246",6
"247",6
"248",6
"249",6
"250",1
"251",5
"252",6
"253",1
"254",4
"255",6
"256",6
"257",1
"258",6
"259",3
"260",2
"261",3
"262",1
"263",2
"264",1
"265",2
"266",1
"267",3
"268",4
"269",5
"270",4
"271",6
"272",6
"273",1
"274",1
"275",1
"276",3
"277",2
"278",1
"279",1
"280",6
"281",5
"282",1
"283",6
"284",6
"285",6
"286",1
"287",1
"288",6
"289",1
"290",6
"291",1
"292",2
"293",1
"294",3
"295",1
"296",4
"297",1
"298",6
"299",1
"300",1
"301",4
"302",2
"303",1
"304",2
"305",1
"306",1
"307",2
"308",1
"309",5
"310",1
"311",4
"312",1
"313",4
"314",1
"315",1
"316",4
"317",1
"318",6
"319",1
"320",1
"321",4
"322",5
"323",4
"324",5
"325",4
"326",1
"327",1
"328",1
"329",6
"330",4
"331",1
"332",4
"333",1
"334",5
"335",1
"336",4
"337",6
"338",4
"339",4
"340",1
"341",2
"342",2
"343",2
"344",6
"345",4
"346",6
"347",1
"348",6
"349",1
"350",4
"351",6
"352",4
"353",1
"354",1
"355",1
"356",1
"357",1
"358",4
"359",1
"360",2
"361",6
"362",5
"363",4
"364",4
"365",5
"366",4
"367",2
"368",6
"369",5
"370",4
"371",1
"372",1
"373",6
"374",1
"375",1
"376",2
"377",1
"378",1
"379",1
"380",4
"381",1
"382",4
"383",4
"384",6
"385",5
"386",1
"387",1
"388",1
"389",4
"390",1
"391",6
"392",4
"393",1
"394",1
"395",4
"396",6
"397",6
"398",3
"399",5
"400",1
"401",5
"402",1
"403",1
"404",4
"405",4
"406",1
"407",4
"408",1
"409",1
"410",4
"411",6
"412",1
"413",4
"414",1
"415",5
"416",5
"417",6
"418",1
"419",4
"420",4
"421",1
"422",6
"423",6
"424",6
"425",4
"426",1
"427",6
"428",5
"429",1
"430",6
"431",1
"432",1
"433",4
"434",6
"435",5
"436",4
"437",4
"438",4
"439",1
"440",6
"441",1
"442",6
"443",6
"444",1
"445",4
"446",4
"447",1
"448",6
"449",1
"450",4
"451",1
"452",4
"453",4
"454",1
"455",3
"456",2
"457",5
"458",1
"459",1
"460",1
"461",4
"462",6
"463",5
"464",4
"465",5
"466",5
"467",1
"468",4
"469",6
"470",5
"471",3
"472",4
"473",3
"474",1
"475",6
"476",4
"477",6
"478",6
"479",6
"480",6
"481",1
"482",4
"483",1
"484",1
"485",1
"486",6
"487",6
"488",5
"489",5
"490",1
"491",4
