"","x"
"1",0.648425703066443
"2",0.676655834393829
"3",0.0282173176927394
"4",629.073347815394
"5",40.1594549934069
"6",1
"7",2
"8",1
"9",3
"10",1
"11",1
"12",1
"13",4
"14",4
"15",3
"16",1
"17",1
"18",5
"19",1
"20",1
"21",1
"22",1
"23",1
"24",4
"25",4
"26",4
"27",4
"28",1
"29",5
"30",1
"31",3
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",4
"39",1
"40",1
"41",1
"42",3
"43",1
"44",4
"45",4
"46",1
"47",1
"48",1
"49",1
"50",4
"51",3
"52",1
"53",2
"54",4
"55",4
"56",1
"57",1
"58",1
"59",1
"60",4
"61",1
"62",3
"63",1
"64",4
"65",4
"66",4
"67",4
"68",1
"69",1
"70",1
"71",5
"72",1
"73",1
"74",4
"75",1
"76",5
"77",4
"78",1
"79",1
"80",1
"81",1
"82",4
"83",1
"84",1
"85",3
"86",1
"87",1
"88",4
"89",1
"90",1
"91",1
"92",4
"93",4
"94",1
"95",1
"96",5
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",4
"105",5
"106",1
"107",1
"108",4
"109",3
"110",1
"111",1
"112",1
"113",4
"114",4
"115",1
"116",1
"117",3
"118",1
"119",1
"120",4
"121",1
"122",1
"123",4
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",3
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",3
"139",4
"140",1
"141",1
"142",4
"143",1
"144",1
"145",1
"146",3
"147",1
"148",5
"149",1
"150",4
"151",1
"152",1
"153",3
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",4
"166",4
"167",1
"168",1
"169",1
"170",3
"171",1
"172",3
"173",4
"174",1
"175",3
"176",5
"177",5
"178",1
"179",5
"180",4
"181",4
"182",1
"183",1
"184",1
"185",4
"186",5
"187",1
"188",1
"189",1
"190",4
"191",4
"192",1
"193",1
"194",4
"195",1
"196",5
"197",5
"198",4
"199",3
"200",1
"201",3
"202",1
"203",3
"204",1
"205",1
"206",2
"207",4
"208",1
"209",4
"210",1
"211",2
"212",1
"213",1
"214",1
"215",1
"216",2
"217",2
"218",3
"219",5
"220",1
"221",1
"222",4
"223",5
"224",1
"225",1
"226",1
"227",5
"228",1
"229",1
"230",4
"231",1
