"","x"
"1",0.235149606869426
"2",0.420588730934507
"3",0.219747559787567
"4",3734.46360201801
"5",1.52550921698411
"6",1
"7",2
"8",3
"9",4
"10",1
"11",3
"12",1
"13",5
"14",6
"15",4
"16",3
"17",3
"18",7
"19",3
"20",3
"21",1
"22",1
"23",4
"24",8
"25",6
"26",5
"27",2
"28",9
"29",1
"30",1
"31",8
"32",4
"33",1
"34",1
"35",3
"36",3
"37",3
"38",6
"39",4
"40",3
"41",3
"42",8
"43",4
"44",5
"45",8
"46",4
"47",3
"48",3
"49",1
"50",6
"51",1
"52",3
"53",5
"54",6
"55",6
"56",3
"57",3
"58",3
"59",4
"60",5
"61",3
"62",4
"63",3
"64",5
"65",6
"66",9
"67",6
"68",1
"69",3
"70",1
"71",8
"72",3
"73",4
"74",5
"75",4
"76",9
"77",5
"78",4
"79",3
"80",4
"81",3
"82",6
"83",3
"84",4
"85",4
"86",1
"87",4
"88",5
"89",3
"90",3
"91",1
"92",6
"93",5
"94",9
"95",1
"96",3
"97",4
"98",9
"99",1
"100",3
"101",3
"102",1
"103",3
"104",6
"105",8
"106",1
"107",9
"108",5
"109",4
"110",1
"111",9
"112",3
"113",6
"114",5
"115",4
"116",3
"117",8
"118",3
"119",3
"120",6
"121",9
"122",3
"123",6
"124",1
"125",4
"126",1
"127",4
"128",1
"129",1
"130",3
"131",1
"132",1
"133",3
"134",1
"135",3
"136",4
"137",3
"138",8
"139",6
"140",3
"141",1
"142",5
"143",3
"144",1
"145",3
"146",4
"147",3
"148",8
"149",3
"150",6
"151",3
"152",3
"153",1
"154",3
"155",9
"156",3
"157",3
"158",3
"159",1
"160",4
"161",3
"162",3
"163",4
"164",4
"165",5
"166",5
"167",4
"168",4
"169",4
"170",4
"171",4
"172",4
"173",6
"174",1
"175",8
"176",8
"177",7
"178",3
"179",4
"180",6
"181",8
"182",4
"183",4
"184",3
"185",5
"186",3
"187",3
"188",3
"189",3
"190",5
"191",5
"192",1
"193",3
"194",5
"195",4
"196",8
"197",3
"198",6
"199",8
"200",4
"201",4
"202",4
"203",8
"204",4
"205",1
"206",2
"207",5
"208",4
"209",6
"210",4
"211",2
"212",1
"213",3
"214",9
"215",10
"216",2
"217",2
"218",1
"219",7
"220",3
"221",1
"222",6
"223",9
"224",3
"225",3
"226",3
"227",9
