"","x"
"1",0.969341089481125
"2",0.924951413822951
"3",0.107944563819309
"4",49.5124379426582
"5",51.6171269416809
"6",1
"7",2
"8",2
"9",3
"10",3
"11",4
"12",4
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",2
"25",3
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",2
"34",1
"35",2
"36",2
"37",4
"38",2
"39",2
"40",2
"41",3
"42",3
"43",1
"44",1
"45",1
"46",2
"47",2
"48",2
"49",3
"50",4
"51",3
"52",1
"53",5
"54",1
"55",1
"56",1
"57",1
"58",1
"59",2
"60",3
"61",3
"62",5
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",2
"76",2
"77",2
"78",2
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",2
"87",2
"88",2
"89",2
"90",2
"91",3
"92",2
"93",2
"94",3
"95",3
"96",4
"97",5
"98",1
"99",1
"100",1
"101",4
"102",2
"103",2
"104",3
"105",4
"106",5
"107",4
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",2
"115",3
"116",4
"117",4
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",2
"130",2
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",2
"140",2
"141",2
"142",2
"143",3
"144",3
"145",2
"146",2
"147",3
"148",4
"149",5
"150",5
"151",1
"152",1
"153",2
"154",2
"155",3
"156",3
"157",5
"158",5
"159",4
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",2
"168",3
"169",4
"170",5
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",2
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",2
"192",2
"193",2
"194",3
"195",3
"196",2
"197",2
"198",3
"199",3
"200",4
"201",5
"202",4
"203",1
"204",1
"205",1
"206",2
"207",2
"208",3
"209",3
"210",4
"211",4
"212",1
"213",1
"214",1
"215",1
"216",2
"217",1
"218",3
"219",3
"220",5
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",2
"233",2
"234",1
"235",1
"236",1
"237",1
"238",1
"239",1
"240",1
"241",1
"242",1
"243",2
"244",2
"245",2
"246",3
"247",3
"248",2
"249",2
"250",3
"251",3
"252",4
"253",5
"254",4
"255",1
"256",1
"257",2
"258",2
"259",3
"260",3
"261",4
"262",4
"263",1
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",3
"274",5
"275",5
"276",1
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",1
"284",2
"285",1
"286",1
"287",1
"288",2
"289",2
"290",2
"291",3
"292",5
"293",2
"294",1
"295",3
"296",3
"297",1
"298",2
"299",2
"300",2
"301",1
"302",4
"303",1
"304",1
"305",1
"306",1
"307",3
"308",1
"309",1
"310",1
"311",5
"312",1
"313",2
"314",5
"315",1
"316",1
"317",1
"318",2
"319",3
"320",4
"321",5
"322",2
"323",1
"324",3
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",1
"338",1
"339",1
"340",1
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",1
"362",1
"363",1
"364",1
"365",1
"366",2
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",2
"380",2
"381",5
"382",2
"383",2
"384",3
"385",5
"386",2
"387",2
"388",2
"389",2
"390",2
"391",5
"392",2
"393",2
"394",2
"395",2
"396",3
"397",4
"398",2
"399",2
"400",5
"401",4
"402",4
"403",2
"404",2
"405",2
"406",2
"407",2
"408",5
"409",4
"410",2
"411",5
"412",2
"413",2
"414",4
"415",2
"416",2
"417",2
"418",2
"419",2
"420",2
"421",5
"422",4
"423",5
"424",2
"425",5
"426",2
"427",2
"428",3
"429",5
"430",5
"431",2
"432",2
"433",3
"434",5
"435",4
"436",4
"437",2
"438",2
"439",3
"440",5
"441",4
"442",2
"443",2
"444",2
"445",4
"446",2
"447",2
"448",2
"449",5
"450",4
"451",2
"452",2
"453",1
"454",1
"455",1
"456",1
"457",1
"458",1
"459",2
"460",2
"461",2
"462",2
"463",1
"464",1
"465",1
"466",2
"467",2
"468",2
"469",2
"470",2
"471",1
"472",1
"473",1
"474",2
"475",2
"476",2
"477",2
"478",2
"479",2
"480",1
"481",1
"482",1
"483",2
"484",2
"485",1
"486",1
"487",1
"488",2
"489",2
"490",2
"491",2
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",2
"499",2
"500",2
"501",1
"502",2
"503",2
"504",2
"505",1
"506",1
"507",1
"508",1
"509",1
"510",2
"511",2
"512",3
"513",1
"514",2
"515",2
"516",3
"517",1
"518",1
"519",1
"520",1
"521",1
"522",2
"523",5
"524",2
"525",1
"526",1
"527",1
"528",2
