"","x"
"1",0.40310192882406
"2",0.594293851789077
"3",0.310562030386668
"4",75783.4541219731
"5",33.67138671875
"6",1
"7",2
"8",3
"9",4
"10",5
"11",4
"12",6
"13",7
"14",1
"15",7
"16",7
"17",7
"18",4
"19",4
"20",7
"21",7
"22",7
"23",4
"24",3
"25",4
"26",7
"27",7
"28",7
"29",1
"30",7
"31",7
"32",4
"33",3
"34",7
"35",2
"36",2
"37",4
"38",3
"39",3
"40",4
"41",5
"42",5
"43",7
"44",4
"45",4
"46",3
"47",2
"48",3
"49",5
"50",6
"51",5
"52",7
"53",8
"54",7
"55",7
"56",7
"57",7
"58",1
"59",2
"60",1
"61",5
"62",8
"63",7
"64",7
"65",7
"66",4
"67",7
"68",1
"69",7
"70",7
"71",7
"72",7
"73",7
"74",7
"75",3
"76",3
"77",1
"78",3
"79",7
"80",7
"81",4
"82",7
"83",7
"84",7
"85",7
"86",1
"87",3
"88",2
"89",3
"90",3
"91",5
"92",2
"93",3
"94",5
"95",5
"96",9
"97",8
"98",4
"99",7
"100",4
"101",4
"102",3
"103",3
"104",5
"105",4
"106",8
"107",4
"108",7
"109",7
"110",7
"111",7
"112",7
"113",4
"114",2
"115",5
"116",9
"117",4
"118",7
"119",7
"120",7
"121",7
"122",4
"123",4
"124",4
"125",7
"126",7
"127",4
"128",7
"129",2
"130",2
"131",1
"132",7
"133",7
"134",1
"135",7
"136",7
"137",7
"138",7
"139",3
"140",2
"141",3
"142",2
"143",5
"144",5
"145",3
"146",3
"147",5
"148",9
"149",8
"150",8
"151",4
"152",7
"153",3
"154",3
"155",5
"156",5
"157",8
"158",8
"159",6
"160",7
"161",7
"162",7
"163",7
"164",7
"165",7
"166",7
"167",3
"168",4
"169",6
"170",8
"171",4
"172",7
"173",7
"174",7
"175",7
"176",4
"177",7
"178",7
"179",7
"180",7
"181",4
"182",3
"183",7
"184",1
"185",7
"186",4
"187",7
"188",4
"189",7
"190",4
"191",2
"192",3
"193",3
"194",5
"195",5
"196",3
"197",2
"198",5
"199",5
"200",9
"201",8
"202",9
"203",4
"204",1
"205",7
"206",2
"207",2
"208",5
"209",5
"210",9
"211",6
"212",1
"213",7
"214",7
"215",4
"216",7
"217",7
"218",5
"219",5
"220",8
"221",7
"222",7
"223",4
"224",7
"225",7
"226",7
"227",7
"228",7
"229",4
"230",5
"231",7
"232",3
"233",3
"234",4
"235",4
"236",7
"237",5
"238",7
"239",4
"240",4
"241",7
"242",5
"243",3
"244",3
"245",3
"246",5
"247",5
"248",3
"249",3
"250",5
"251",5
"252",6
"253",4
"254",4
"255",7
"256",7
"257",3
"258",3
"259",5
"260",5
"261",6
"262",9
"263",7
"264",7
"265",7
"266",7
"267",4
"268",7
"269",7
"270",7
"271",4
"272",7
"273",4
"274",8
"275",8
"276",7
"277",7
"278",7
"279",7
"280",4
"281",7
"282",4
"283",7
"284",3
"285",7
"286",7
"287",7
"288",3
"289",3
"290",2
"291",5
"292",8
"293",3
"294",4
"295",5
"296",5
"297",7
"298",3
"299",3
"300",3
"301",7
"302",4
"303",1
"304",7
"305",7
"306",7
"307",5
"308",7
"309",7
"310",7
"311",8
"312",4
"313",3
"314",8
"315",7
"316",1
"317",7
"318",3
"319",4
"320",9
"321",8
"322",3
"323",4
"324",1
"325",4
"326",4
"327",4
"328",4
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",4
"338",4
"339",4
"340",4
"341",4
"342",4
"343",4
"344",4
"345",4
"346",4
"347",4
"348",4
"349",4
"350",4
"351",4
"352",4
"353",4
"354",4
"355",4
"356",4
