"","x"
"1",0.781047658358155
"2",0.840069693615717
"3",0.0743691245866943
"4",57.6430377352702
"5",1.1598598798116
"6",1
"7",2
"8",3
"9",4
"10",4
"11",2
"12",5
"13",1
"14",2
"15",4
"16",4
"17",4
"18",1
"19",3
"20",1
"21",4
"22",3
"23",1
"24",4
"25",3
"26",1
"27",4
"28",5
"29",5
"30",1
"31",4
"32",2
"33",3
"34",2
"35",3
"36",2
"37",4
"38",5
"39",1
"40",4
"41",1
"42",4
"43",6
"44",2
"45",3
"46",4
"47",2
"48",3
"49",4
"50",4
"51",5
"52",4
"53",4
"54",5
"55",4
"56",4
"57",2
"58",1
"59",4
"60",4
"61",3
"62",4
"63",4
"64",1
"65",4
"66",4
"67",3
"68",4
"69",1
"70",4
"71",3
"72",2
"73",1
"74",4
"75",5
"76",4
"77",3
"78",4
"79",5
"80",4
"81",4
"82",2
"83",4
"84",4
"85",1
"86",4
"87",2
"88",1
"89",2
"90",4
"91",4
"92",1
"93",4
"94",4
"95",4
"96",2
"97",1
"98",2
"99",4
"100",1
"101",4
"102",4
"103",4
"104",2
"105",2
"106",2
"107",1
"108",4
"109",2
"110",4
"111",1
"112",4
"113",1
"114",4
"115",4
"116",1
"117",4
"118",2
"119",1
"120",4
"121",4
"122",4
"123",4
"124",1
"125",2
"126",1
"127",4
"128",2
"129",4
"130",1
"131",4
"132",1
"133",2
"134",3
"135",5
"136",3
"137",5
"138",3
"139",3
"140",3
"141",3
"142",5
"143",5
"144",5
"145",5
"146",1
"147",1
"148",1
"149",6
"150",1
"151",5
"152",3
"153",5
"154",3
"155",3
"156",5
"157",5
"158",3
"159",5
"160",3
"161",5
"162",5
"163",3
"164",3
"165",5
"166",5
"167",3
"168",6
"169",4
"170",4
"171",4
"172",4
"173",4
"174",1
"175",1
"176",1
"177",2
"178",4
"179",3
"180",4
"181",2
"182",3
"183",5
"184",4
"185",1
"186",1
"187",1
"188",3
"189",3
"190",4
"191",4
"192",4
"193",4
"194",5
"195",2
"196",4
"197",4
"198",4
"199",4
"200",2
"201",5
"202",4
"203",4
"204",4
"205",4
"206",4
"207",4
"208",4
"209",4
"210",4
"211",1
"212",1
"213",1
"214",3
"215",3
"216",1
