"","x"
"1",0.459622570212311
"2",0.662727969752503
"3",0.431901115885441
"4",59695.8351050934
"5",46.6331069469452
"6",1
"7",2
"8",3
"9",4
"10",2
"11",5
"12",6
"13",1
"14",2
"15",4
"16",7
"17",2
"18",1
"19",5
"20",1
"21",2
"22",8
"23",1
"24",4
"25",8
"26",1
"27",2
"28",6
"29",3
"30",1
"31",7
"32",2
"33",8
"34",2
"35",8
"36",2
"37",4
"38",6
"39",1
"40",7
"41",1
"42",4
"43",6
"44",5
"45",8
"46",2
"47",5
"48",3
"49",4
"50",4
"51",6
"52",4
"53",7
"54",3
"55",4
"56",2
"57",5
"58",1
"59",2
"60",4
"61",8
"62",4
"63",2
"64",1
"65",2
"66",4
"67",8
"68",4
"69",1
"70",4
"71",8
"72",5
"73",1
"74",2
"75",6
"76",4
"77",8
"78",7
"79",6
"80",2
"81",2
"82",5
"83",2
"84",2
"85",1
"86",2
"87",5
"88",1
"89",5
"90",2
"91",2
"92",1
"93",2
"94",7
"95",7
"96",5
"97",1
"98",5
"99",2
"100",1
"101",4
"102",2
"103",2
"104",5
"105",3
"106",5
"107",4
"108",7
"109",2
"110",4
"111",1
"112",4
"113",1
"114",7
"115",2
"116",1
"117",2
"118",7
"119",1
"120",7
"121",2
"122",5
"123",7
"124",1
"125",7
"126",5
"127",7
"128",5
"129",7
"130",1
"131",7
"132",1
"133",5
"134",8
"135",6
"136",5
"137",6
"138",5
"139",8
"140",8
"141",8
"142",6
"143",6
"144",3
"145",3
"146",1
"147",1
"148",1
"149",6
"150",1
"151",3
"152",8
"153",8
"154",8
"155",8
"156",3
"157",6
"158",8
"159",6
"160",8
"161",3
"162",6
"163",8
"164",8
"165",3
"166",6
"167",8
"168",6
"169",7
"170",2
"171",2
"172",2
"173",2
"174",1
"175",1
"176",1
"177",5
"178",7
"179",8
"180",7
"181",4
"182",8
"183",6
"184",2
"185",1
"186",1
"187",1
"188",8
"189",8
"190",7
"191",2
"192",7
"193",2
"194",3
"195",5
"196",7
"197",7
"198",7
"199",4
"200",5
"201",3
"202",7
"203",7
"204",7
"205",2
"206",4
"207",2
"208",2
"209",7
"210",7
"211",1
"212",1
"213",1
"214",8
"215",8
"216",5
"217",5
"218",8
"219",5
"220",3
"221",6
"222",3
"223",7
"224",2
"225",1
"226",1
"227",5
"228",8
"229",8
"230",6
"231",2
"232",2
"233",2
"234",2
"235",1
"236",7
"237",7
"238",7
"239",2
"240",5
"241",8
"242",6
"243",2
"244",7
"245",5
"246",7
"247",2
"248",7
"249",7
"250",4
"251",7
"252",2
"253",2
"254",7
"255",1
"256",1
"257",1
"258",8
"259",1
"260",7
"261",7
"262",2
"263",5
"264",2
"265",7
"266",2
"267",1
"268",1
"269",1
"270",8
"271",8
"272",6
"273",1
"274",8
"275",8
"276",9
"277",7
"278",4
"279",1
"280",1
"281",8
"282",8
"283",3
"284",2
"285",7
"286",2
"287",2
"288",7
"289",5
"290",7
"291",2
"292",7
"293",2
"294",7
"295",2
"296",6
"297",7
"298",7
"299",2
"300",4
"301",5
"302",3
"303",7
"304",1
"305",1
"306",1
"307",5
"308",1
"309",8
"310",6
"311",7
"312",2
"313",3
"314",7
"315",2
"316",1
"317",1
"318",1
"319",8
"320",8
"321",3
"322",6
"323",3
"324",3
"325",2
"326",7
"327",1
"328",1
"329",1
"330",5
"331",3
"332",6
"333",3
"334",3
"335",2
"336",7
"337",2
"338",7
"339",2
"340",2
"341",1
"342",2
"343",7
"344",2
"345",3
"346",5
"347",2
"348",7
"349",7
"350",7
"351",4
"352",7
"353",7
"354",5
"355",1
"356",1
"357",7
"358",1
"359",1
"360",1
"361",1
"362",8
"363",3
"364",1
"365",2
"366",5
"367",5
"368",5
"369",1
"370",1
"371",1
"372",1
"373",5
"374",8
"375",3
"376",6
"377",6
"378",6
"379",2
"380",5
"381",2
"382",1
"383",1
"384",1
"385",1
"386",8
"387",6
"388",7
"389",3
"390",4
"391",7
"392",7
"393",7
"394",2
"395",7
"396",2
"397",7
"398",8
"399",6
"400",3
"401",2
"402",2
"403",7
"404",7
"405",7
"406",2
"407",2
"408",7
"409",2
"410",7
"411",1
"412",1
"413",1
"414",1
"415",4
"416",2
"417",4
"418",7
"419",7
"420",5
"421",1
"422",4
"423",2
"424",1
"425",1
"426",1
"427",8
"428",6
"429",5
"430",1
"431",2
"432",7
"433",7
"434",2
"435",2
"436",2
"437",5
"438",1
"439",1
"440",1
"441",8
"442",5
"443",1
"444",1
"445",8
"446",8
"447",3
"448",3
"449",6
"450",8
"451",2
"452",1
"453",1
"454",8
"455",8
"456",8
"457",9
"458",6
"459",6
"460",5
"461",2
"462",7
"463",2
"464",7
"465",7
"466",7
"467",8
"468",5
"469",3
"470",6
"471",7
"472",7
"473",2
"474",2
"475",5
"476",7
"477",7
"478",7
"479",7
"480",2
"481",2
"482",1
"483",1
"484",1
"485",2
"486",1
"487",5
"488",1
"489",1
"490",8
"491",7
"492",4
"493",2
"494",7
"495",1
"496",1
"497",1
"498",8
"499",6
"500",6
"501",4
"502",4
"503",2
"504",2
"505",4
"506",2
"507",4
"508",1
"509",8
"510",6
"511",7
"512",4
"513",4
"514",2
"515",5
"516",4
"517",2
"518",4
"519",4
"520",4
"521",2
"522",4
"523",1
"524",1
"525",1
"526",1
"527",4
"528",7
"529",4
"530",2
"531",7
"532",7
"533",2
"534",1
"535",1
"536",1
"537",1
"538",5
"539",8
"540",3
"541",1
"542",1
"543",5
"544",8
"545",9
"546",4
"547",5
"548",1
"549",1
"550",7
"551",5
"552",6
"553",9
"554",7
"555",8
"556",2
"557",4
"558",2
"559",2
"560",4
"561",5
"562",2
"563",8
"564",9
"565",6
"566",5
"567",2
"568",4
"569",4
"570",7
"571",7
"572",4
"573",4
"574",2
"575",2
"576",1
"577",1
"578",1
"579",5
"580",1
"581",2
"582",7
"583",5
"584",4
"585",4
"586",2
"587",2
"588",1
"589",1
"590",1
"591",1
"592",1
"593",8
"594",8
"595",1
"596",1
"597",8
"598",3
"599",9
"600",9
"601",4
"602",1
"603",1
"604",1
"605",8
"606",8
"607",9
"608",9
"609",7
"610",2
"611",2
"612",2
"613",7
"614",5
"615",2
"616",2
"617",4
"618",4
"619",6
"620",9
"621",7
"622",2
"623",4
"624",4
"625",2
"626",4
"627",2
"628",4
"629",1
"630",1
"631",4
"632",7
"633",1
"634",1
"635",1
"636",5
"637",8
"638",1
"639",4
"640",4
"641",5
"642",4
"643",4
"644",1
"645",1
"646",3
"647",8
"648",8
"649",8
"650",9
"651",9
"652",4
"653",2
"654",8
"655",4
"656",4
"657",1
"658",1
"659",1
"660",8
"661",8
"662",9
"663",4
"664",4
"665",4
"666",4
"667",4
"668",2
"669",4
"670",8
"671",8
"672",9
"673",4
"674",4
"675",4
"676",4
"677",4
"678",4
"679",2
"680",4
"681",7
"682",4
"683",8
"684",4
"685",1
"686",1
"687",1
"688",1
"689",2
"690",4
"691",4
"692",4
"693",7
"694",4
"695",4
"696",1
"697",1
"698",1
"699",8
"700",8
"701",9
"702",8
"703",5
"704",6
"705",4
"706",4
"707",1
"708",8
"709",1
"710",3
"711",8
"712",9
"713",4
"714",2
"715",4
"716",2
"717",4
"718",4
"719",1
"720",8
"721",8
"722",9
"723",2
"724",4
"725",4
"726",8
"727",4
"728",2
"729",4
"730",4
"731",2
"732",2
"733",1
"734",5
"735",4
"736",2
"737",4
"738",4
"739",7
"740",4
"741",7
"742",4
"743",1
"744",1
"745",1
"746",5
"747",5
"748",9
"749",4
"750",2
"751",4
"752",4
"753",7
"754",4
"755",7
"756",2
"757",4
"758",1
"759",1
"760",1
"761",1
"762",8
"763",9
"764",1
"765",8
"766",8
"767",9
"768",4
"769",2
"770",4
"771",4
"772",1
"773",1
"774",2
"775",1
"776",1
"777",1
"778",1
"779",8
"780",8
"781",6
"782",2
"783",2
"784",4
"785",7
"786",4
"787",4
"788",2
"789",1
"790",1
"791",1
"792",1
"793",5
"794",8
"795",9
"796",2
"797",2
"798",4
"799",7
"800",7
"801",4
"802",4
"803",1
"804",1
"805",1
"806",1
"807",8
"808",6
"809",2
"810",4
"811",2
"812",2
"813",2
"814",2
"815",2
"816",2
"817",2
"818",2
"819",2
"820",7
"821",2
"822",4
"823",4
"824",2
