"","x"
"1",0.792267908143247
"2",0.748091645335356
"3",0.271761481505585
"4",306.782461443833
"5",17.3659191131592
"6",6
"7",2
"8",1
"9",2
"10",2
"11",2
"12",5
"13",3
"14",2
"15",2
"16",2
"17",2
"18",6
"19",2
"20",4
"21",2
"22",1
"23",6
"24",2
"25",1
"26",3
"27",2
"28",5
"29",5
"30",4
"31",2
"32",2
"33",1
"34",2
"35",1
"36",2
"37",2
"38",5
"39",4
"40",2
"41",4
"42",2
"43",5
"44",5
"45",1
"46",2
"47",2
"48",1
"49",2
"50",2
"51",5
"52",2
"53",2
"54",5
"55",2
"56",2
"57",2
"58",6
"59",2
"60",2
"61",1
"62",2
"63",2
"64",6
"65",2
"66",4
"67",1
"68",2
"69",6
"70",2
"71",1
"72",2
"73",6
"74",2
"75",5
"76",2
"77",1
"78",2
"79",5
"80",2
"81",2
"82",2
"83",2
"84",2
"85",3
"86",2
"87",2
"88",3
"89",2
"90",2
"91",2
"92",6
"93",2
"94",2
"95",2
"96",2
"97",6
"98",2
"99",2
"100",3
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",6
"112",2
"113",3
"114",2
"115",2
"116",3
"117",2
"118",2
"119",3
"120",2
"121",2
"122",2
"123",2
"124",1
"125",2
"126",6
"127",2
"128",2
"129",2
"130",3
"131",2
"132",6
"133",2
"134",1
"135",5
"136",1
"137",5
"138",1
"139",1
"140",1
"141",1
"142",5
"143",5
"144",5
"145",5
"146",6
"147",4
"148",3
"149",5
"150",6
"151",5
"152",5
"153",5
"154",1
"155",1
"156",5
"157",5
"158",1
"159",5
"160",1
"161",5
"162",5
"163",1
"164",1
"165",5
"166",5
"167",1
"168",5
"169",2
"170",2
"171",2
"172",2
"173",2
"174",6
"175",3
"176",3
"177",2
"178",2
"179",1
"180",2
"181",2
"182",1
"183",5
"184",2
"185",3
"186",3
"187",3
"188",1
"189",1
"190",2
"191",2
"192",2
"193",2
"194",5
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",5
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",2
"210",2
"211",6
"212",3
"213",6
"214",1
"215",1
"216",3
"217",6
"218",1
"219",1
"220",5
"221",5
"222",5
"223",2
"224",2
"225",6
"226",6
"227",3
"228",1
"229",1
"230",5
"231",2
"232",2
"233",2
"234",2
"235",2
"236",2
"237",2
"238",2
"239",2
"240",2
"241",1
"242",5
"243",3
"244",2
"245",2
"246",2
"247",2
"248",2
"249",2
"250",2
"251",2
"252",2
"253",2
"254",2
"255",6
"256",6
"257",3
"258",1
"259",3
"260",2
"261",2
"262",2
"263",2
"264",2
"265",2
"266",2
"267",3
"268",6
"269",3
"270",1
"271",1
"272",5
"273",6
"274",1
"275",1
"276",5
"277",2
"278",2
"279",3
"280",6
"281",1
"282",1
"283",5
"284",2
"285",2
"286",2
"287",2
"288",2
"289",2
"290",2
"291",2
"292",2
"293",2
"294",2
"295",2
"296",5
"297",2
"298",2
"299",2
"300",2
"301",2
"302",2
"303",2
"304",6
"305",3
"306",6
"307",2
"308",6
"309",1
"310",5
"311",2
"312",2
"313",2
"314",2
"315",2
"316",3
"317",3
"318",3
"319",1
"320",1
"321",5
"322",5
"323",5
"324",5
"325",2
"326",2
"327",6
"328",3
"329",3
"330",1
"331",5
"332",5
"333",2
"334",2
"335",2
"336",2
"337",2
"338",2
"339",2
"340",2
"341",3
"342",2
"343",2
"344",2
"345",5
"346",2
"347",2
"348",2
"349",2
"350",2
"351",2
"352",2
"353",2
"354",1
"355",3
"356",3
"357",2
"358",3
"359",3
"360",6
"361",6
"362",1
"363",5
"364",4
"365",2
"366",2
"367",2
"368",2
"369",3
"370",6
"371",3
"372",3
"373",1
"374",1
"375",5
"376",5
"377",5
"378",5
"379",3
"380",2
"381",2
"382",3
"383",3
"384",3
"385",3
"386",1
"387",5
"388",2
"389",2
"390",2
"391",2
"392",2
"393",2
"394",2
"395",2
"396",2
"397",2
"398",1
"399",5
"400",5
"401",2
"402",2
"403",2
"404",2
"405",2
"406",2
"407",2
"408",2
"409",2
"410",2
"411",3
"412",3
"413",3
"414",6
"415",2
"416",2
"417",2
"418",2
"419",2
"420",2
"421",3
"422",2
"423",2
"424",3
"425",3
"426",3
"427",1
"428",5
"429",5
"430",6
"431",2
"432",2
"433",2
"434",2
"435",2
"436",2
"437",2
"438",3
"439",3
"440",6
"441",1
"442",1
"443",3
"444",3
"445",1
"446",1
"447",5
"448",5
"449",5
"450",2
"451",2
"452",3
"453",3
"454",1
"455",1
"456",1
"457",5
"458",5
"459",5
"460",2
"461",2
"462",2
"463",2
"464",2
"465",2
"466",2
"467",1
"468",1
"469",5
"470",5
"471",2
"472",2
"473",2
"474",2
"475",2
"476",2
"477",2
"478",2
"479",2
"480",2
"481",2
"482",3
"483",3
"484",6
"485",2
"486",3
"487",1
"488",3
"489",3
"490",1
"491",2
"492",2
"493",2
"494",2
"495",4
"496",4
"497",4
"498",1
"499",5
"500",5
"501",2
"502",2
"503",2
"504",2
"505",2
"506",2
"507",2
"508",4
"509",1
"510",5
"511",2
"512",2
"513",2
"514",2
"515",5
"516",2
"517",2
"518",2
"519",2
"520",2
"521",2
"522",2
"523",4
"524",4
"525",4
"526",6
"527",2
"528",2
"529",2
"530",2
"531",2
"532",2
"533",2
"534",4
"535",3
"536",4
"537",4
"538",4
"539",1
"540",5
"541",4
"542",4
"543",1
"544",5
"545",5
"546",2
"547",4
"548",3
"549",4
"550",4
"551",5
"552",5
"553",5
"554",2
"555",1
"556",2
"557",2
"558",2
"559",2
"560",2
"561",5
"562",2
"563",1
"564",5
"565",5
"566",4
"567",2
"568",2
"569",2
"570",2
"571",2
"572",2
"573",2
"574",2
"575",2
"576",6
"577",4
"578",4
"579",4
"580",4
"581",2
"582",2
"583",4
"584",2
"585",2
"586",2
"587",2
"588",4
"589",6
"590",4
"591",4
"592",4
"593",1
"594",4
"595",4
"596",4
"597",1
"598",5
"599",5
"600",5
"601",2
"602",4
"603",4
"604",4
"605",1
"606",1
"607",5
"608",5
"609",2
"610",2
"611",2
"612",2
"613",2
"614",4
"615",2
"616",2
"617",2
"618",2
"619",5
"620",5
"621",2
"622",5
"623",2
"624",2
"625",2
"626",2
"627",2
"628",2
"629",4
"630",4
"631",2
"632",2
"633",4
"634",3
"635",4
"636",1
"637",1
"638",6
"639",2
"640",2
"641",5
"642",2
"643",2
"644",4
"645",4
"646",1
"647",1
"648",5
"649",1
"650",5
"651",5
"652",2
"653",2
"654",1
"655",2
"656",2
"657",3
"658",4
"659",4
"660",1
"661",1
"662",5
"663",2
"664",2
"665",2
"666",2
"667",2
"668",2
"669",2
"670",1
"671",1
"672",5
"673",2
"674",2
"675",2
"676",2
"677",2
"678",2
"679",2
"680",2
"681",2
"682",2
"683",1
"684",2
"685",4
"686",4
"687",4
"688",6
"689",2
"690",2
"691",2
"692",2
"693",2
"694",2
"695",2
"696",4
"697",4
"698",4
"699",1
"700",1
"701",5
"702",1
"703",1
"704",5
"705",2
"706",2
"707",4
"708",1
"709",4
"710",5
"711",1
"712",4
"713",2
"714",2
"715",2
"716",2
"717",2
"718",2
"719",4
"720",1
"721",1
"722",5
"723",2
"724",2
"725",2
"726",2
"727",2
"728",2
"729",2
"730",2
"731",2
"732",2
"733",4
"734",4
"735",2
"736",2
"737",2
"738",2
"739",2
"740",2
"741",2
"742",2
"743",4
"744",4
"745",6
"746",1
"747",1
"748",5
"749",2
"750",2
"751",2
"752",2
"753",2
"754",2
"755",2
"756",2
"757",2
"758",3
"759",4
"760",4
"761",6
"762",1
"763",5
"764",4
"765",1
"766",1
"767",5
"768",2
"769",2
"770",2
"771",2
"772",4
"773",4
"774",2
"775",6
"776",4
"777",4
"778",4
"779",1
"780",1
"781",5
"782",2
"783",2
"784",2
"785",2
"786",2
"787",2
"788",2
"789",3
"790",4
"791",4
"792",3
"793",1
"794",1
"795",5
"796",2
"797",2
"798",2
"799",2
"800",2
"801",2
"802",2
"803",4
"804",4
"805",4
"806",4
"807",5
"808",5
"809",2
"810",4
"811",2
"812",2
"813",5
"814",2
"815",2
"816",5
"817",2
"818",2
"819",2
"820",2
"821",2
"822",2
"823",2
"824",2
"825",2
"826",2
"827",5
"828",2
"829",2
"830",2
"831",2
"832",2
"833",2
"834",2
"835",2
"836",5
"837",2
"838",2
"839",2
"840",2
"841",2
"842",2
"843",2
"844",2
"845",1
"846",2
"847",4
"848",2
"849",2
"850",4
"851",2
"852",2
"853",2
"854",2
"855",2
"856",2
"857",2
"858",2
"859",2
"860",2
"861",4
"862",4
"863",1
"864",5
"865",2
"866",2
"867",2
"868",2
"869",4
"870",3
"871",1
"872",5
"873",2
"874",2
"875",2
"876",6
"877",4
"878",1
"879",5
"880",2
"881",5
"882",2
"883",4
"884",3
"885",1
"886",5
"887",2
"888",2
"889",1
"890",4
"891",4
"892",1
"893",5
"894",4
"895",1
"896",2
"897",2
"898",4
"899",4
"900",6
"901",4
"902",6
"903",5
"904",5
"905",2
"906",2
"907",2
"908",3
"909",4
"910",4
"911",5
"912",2
"913",2
"914",1
"915",5
"916",4
"917",4
"918",2
"919",2
"920",4
"921",4
"922",1
"923",5
"924",2
"925",2
"926",4
"927",4
"928",1
"929",5
"930",2
"931",2
"932",4
"933",4
"934",1
"935",5
"936",2
"937",2
"938",6
"939",1
"940",5
"941",2
"942",6
"943",6
"944",2
"945",1
"946",5
"947",2
"948",2
"949",6
"950",4
"951",1
"952",5
"953",4
"954",1
"955",5
"956",2
"957",2
"958",4
"959",2
"960",4
"961",4
"962",2
"963",1
"964",5
"965",2
"966",2
"967",6
"968",2
"969",2
"970",3
"971",4
"972",4
"973",1
"974",5
"975",1
"976",5
"977",2
"978",2
"979",4
"980",4
"981",1
"982",5
"983",1
"984",5
"985",2
"986",2
"987",2
"988",6
"989",4
"990",2
"991",2
"992",5
"993",2
"994",4
"995",4
"996",1
"997",2
"998",2
"999",2
"1000",3
"1001",6
"1002",5
"1003",4
"1004",5
"1005",4
"1006",2
"1007",3
"1008",6
"1009",1
"1010",2
"1011",2
"1012",2
"1013",2
"1014",2
"1015",3
"1016",1
"1017",5
"1018",5
"1019",5
"1020",4
"1021",1
"1022",3
"1023",1
"1024",5
"1025",4
"1026",1
"1027",5
"1028",6
"1029",1
"1030",4
"1031",5
"1032",5
"1033",4
"1034",1
"1035",5
"1036",6
"1037",1
"1038",5
"1039",1
"1040",5
"1041",3
"1042",5
"1043",4
"1044",1
"1045",4
"1046",1
"1047",5
"1048",4
"1049",5
"1050",6
"1051",3
"1052",5
"1053",5
"1054",5
"1055",2
"1056",3
"1057",5
"1058",2
"1059",3
"1060",5
"1061",5
"1062",2
"1063",3
"1064",2
"1065",6
"1066",5
"1067",5
"1068",5
"1069",5
"1070",2
"1071",3
"1072",5
"1073",2
"1074",6
"1075",5
"1076",5
"1077",2
"1078",4
"1079",5
"1080",5
"1081",2
"1082",3
"1083",5
"1084",5
"1085",4
"1086",6
"1087",5
"1088",5
"1089",3
"1090",3
"1091",5
"1092",5
"1093",3
"1094",1
