"","x"
"1",0.316195437317099
"2",0.562831973529238
"3",0.012897966452875
"4",46.0188183125692
"5",1.99467096328735
"6",1
"7",2
"8",3
"9",4
"10",3
"11",5
"12",6
"13",1
"14",7
"15",3
"16",8
"17",1
"18",9
"19",7
"20",5
"21",10
"22",9
"23",3
"24",3
"25",4
"26",3
"27",11
"28",10
"29",7
"30",1
"31",3
"32",5
"33",5
"34",11
"35",4
"36",11
"37",10
"38",11
"39",4
"40",3
"41",5
"42",1
"43",3
"44",5
"45",4
"46",3
"47",11
"48",1
"49",9
"50",3
"51",1
"52",1
"53",10
"54",1
"55",1
"56",3
"57",11
"58",10
"59",3
"60",7
"61",11
"62",2
"63",1
"64",2
"65",3
"66",1
"67",3
"68",3
"69",3
"70",3
"71",10
"72",7
"73",2
"74",9
"75",3
"76",6
"77",5
"78",2
"79",5
"80",1
"81",2
"82",11
"83",1
"84",4
"85",1
"86",1
"87",11
"88",4
"89",3
"90",2
"91",9
"92",8
"93",10
"94",10
"95",9
"96",11
"97",7
"98",10
"99",11
"100",3
"101",11
"102",10
"103",7
"104",10
"105",1
"106",11
"107",2
"108",3
"109",7
"110",10
"111",11
"112",7
"113",3
"114",6
"115",11
"116",9
"117",10
"118",4
"119",10
"120",11
"121",5
"122",3
"123",3
"124",10
"125",4
"126",10
"127",3
"128",10
"129",11
"130",2
"131",1
"132",3
"133",5
"134",5
"135",1
"136",10
"137",1
"138",5
"139",3
"140",6
"141",1
"142",3
"143",5
"144",3
"145",5
"146",4
"147",5
"148",3
"149",2
"150",10
"151",3
"152",5
"153",7
"154",4
"155",10
"156",8
"157",11
"158",5
"159",3
"160",1
"161",1
"162",10
"163",11
"164",1
"165",7
"166",7
"167",2
"168",7
"169",2
"170",4
"171",10
"172",3
"173",11
"174",11
"175",3
"176",10
"177",2
"178",3
"179",4
"180",5
"181",10
"182",4
"183",7
"184",10
"185",11
"186",5
"187",1
"188",5
"189",6
"190",11
"191",4
"192",9
"193",6
"194",10
"195",3
"196",3
"197",8
"198",3
"199",5
"200",11
"201",6
"202",4
"203",7
"204",3
"205",11
"206",10
"207",5
"208",3
"209",5
"210",11
"211",1
"212",5
"213",1
"214",9
"215",3
"216",1
"217",9
"218",5
"219",4
"220",10
"221",2
"222",5
"223",9
"224",8
"225",5
"226",1
"227",4
"228",11
"229",10
"230",5
"231",11
"232",3
"233",1
"234",2
"235",11
"236",7
"237",7
"238",7
"239",1
"240",10
"241",3
"242",2
"243",1
"244",10
"245",3
"246",1
"247",8
"248",5
"249",10
"250",10
"251",10
"252",4
"253",4
"254",10
"255",5
"256",9
"257",7
"258",9
"259",2
"260",3
"261",5
"262",7
"263",1
"264",5
"265",3
"266",7
"267",1
"268",2
"269",1
"270",11
"271",3
"272",2
"273",3
"274",1
"275",7
"276",2
"277",4
"278",1
"279",7
"280",1
"281",11
"282",1
"283",8
"284",11
"285",10
"286",8
"287",1
"288",6
"289",1
"290",2
"291",10
"292",11
"293",4
"294",3
"295",9
"296",4
"297",3
"298",9
"299",11
"300",11
"301",1
"302",10
"303",7
"304",3
"305",9
"306",1
"307",9
"308",10
"309",3
"310",4
"311",1
"312",2
"313",5
"314",10
"315",4
"316",9
"317",10
"318",11
"319",2
"320",2
"321",2
"322",7
"323",4
"324",9
"325",4
"326",9
"327",3
"328",6
"329",4
"330",1
"331",10
"332",7
"333",7
"334",1
"335",10
"336",1
"337",10
"338",7
"339",1
"340",9
"341",1
"342",10
"343",4
"344",4
"345",11
"346",1
"347",10
"348",11
"349",7
"350",5
"351",10
"352",5
"353",11
"354",3
"355",9
"356",1
"357",10
"358",7
"359",6
"360",4
"361",11
"362",3
"363",8
"364",7
"365",11
"366",3
"367",10
"368",3
"369",2
"370",1
"371",9
"372",3
"373",1
"374",4
"375",11
"376",9
"377",1
"378",10
"379",9
"380",10
"381",1
"382",9
"383",3
"384",11
"385",3
"386",5
"387",11
"388",5
"389",5
"390",3
"391",10
"392",4
"393",1
"394",9
"395",6
"396",11
"397",1
"398",11
"399",4
"400",9
"401",3
"402",6
"403",9
"404",11
"405",2
"406",1
"407",3
"408",4
"409",10
"410",9
"411",11
"412",4
"413",3
"414",10
"415",4
"416",4
"417",3
"418",2
"419",11
"420",3
"421",8
"422",10
"423",2
"424",9
"425",7
"426",4
"427",1
"428",11
"429",1
"430",10
"431",6
"432",11
"433",3
"434",11
"435",1
"436",10
"437",2
"438",6
"439",7
"440",11
"441",10
"442",2
"443",10
"444",9
"445",10
"446",4
"447",11
"448",7
"449",3
"450",6
"451",1
"452",6
"453",2
"454",10
"455",4
"456",6
"457",9
"458",5
"459",6
"460",4
"461",3
"462",6
"463",10
"464",4
"465",3
"466",9
"467",7
"468",1
"469",7
"470",6
"471",2
"472",4
"473",10
"474",6
"475",5
"476",4
"477",1
"478",10
"479",8
"480",1
"481",11
"482",9
"483",1
"484",9
"485",5
"486",1
"487",9
"488",4
"489",10
"490",5
"491",11
"492",11
"493",1
"494",10
"495",2
"496",11
"497",5
"498",10
"499",9
"500",1
"501",9
"502",11
"503",10
"504",10
"505",7
"506",11
"507",2
"508",3
"509",7
"510",10
"511",4
"512",1
"513",10
"514",7
"515",5
"516",9
"517",3
"518",1
"519",5
"520",9
"521",8
"522",7
"523",2
"524",7
"525",3
"526",3
"527",3
"528",10
"529",3
"530",3
"531",3
"532",10
"533",1
"534",2
"535",7
"536",1
"537",3
"538",4
"539",3
"540",8
"541",7
"542",3
"543",4
"544",3
"545",3
"546",3
"547",3
"548",3
"549",1
"550",10
"551",3
"552",3
"553",5
"554",3
"555",7
"556",4
"557",6
"558",2
"559",3
"560",3
"561",5
"562",3
"563",5
"564",1
"565",10
"566",4
"567",2
"568",7
"569",11
"570",3
"571",4
"572",3
"573",3
"574",3
"575",4
"576",7
"577",2
"578",4
"579",9
"580",4
"581",5
"582",2
"583",11
"584",9
"585",2
"586",3
"587",3
"588",7
"589",7
"590",3
"591",2
"592",1
"593",9
"594",4
"595",3
"596",7
"597",3
"598",3
"599",2
"600",4
"601",10
"602",4
"603",1
"604",1
"605",10
"606",10
"607",5
"608",3
"609",2
"610",9
"611",2
"612",4
"613",7
"614",4
"615",5
"616",4
"617",4
"618",8
"619",4
"620",4
"621",7
"622",4
"623",4
"624",7
"625",4
"626",7
"627",3
"628",3
"629",3
"630",3
"631",3
"632",3
"633",3
"634",3
"635",11
"636",3
"637",3
"638",3
"639",5
"640",3
"641",3
