"","x"
"1",0.237009250730607
"2",0.502941037643339
"3",0.255404407655991
"4",21782.1578572451
"5",2.45205173889796
"6",1
"7",2
"8",1
"9",3
"10",1
"11",2
"12",4
"13",1
"14",4
"15",4
"16",4
"17",5
"18",3
"19",4
"20",2
"21",4
"22",3
"23",5
"24",5
"25",3
"26",1
"27",4
"28",6
"29",3
"30",1
"31",1
"32",7
"33",4
"34",4
"35",3
"36",4
"37",4
"38",4
"39",3
"40",4
"41",2
"42",1
"43",5
"44",4
"45",4
"46",5
"47",4
"48",1
"49",3
"50",5
"51",1
"52",5
"53",4
"54",1
"55",1
"56",5
"57",4
"58",4
"59",5
"60",3
"61",4
"62",4
"63",1
"64",4
"65",4
"66",1
"67",5
"68",1
"69",2
"70",1
"71",7
"72",3
"73",5
"74",3
"75",1
"76",4
"77",4
"78",4
"79",7
"80",1
"81",4
"82",4
"83",1
"84",3
"85",1
"86",5
"87",4
"88",3
"89",1
"90",4
"91",3
"92",3
"93",4
"94",4
"95",3
"96",4
"97",3
"98",4
"99",3
"100",1
"101",4
"102",4
"103",4
"104",4
"105",1
"106",4
"107",4
"108",5
"109",3
"110",4
"111",4
"112",3
"113",1
"114",4
"115",4
"116",3
"117",4
"118",4
"119",4
"120",4
"121",4
"122",5
"123",5
"124",6
"125",3
"126",4
"127",1
"128",4
"129",4
"130",4
"131",1
"132",5
"133",7
"134",2
"135",1
"136",6
"137",1
"138",4
"139",1
"140",8
"141",1
"142",5
"143",2
"144",9
"145",7
"146",4
"147",4
"148",5
"149",4
"150",10
"151",5
"152",7
"153",3
"154",3
"155",8
"156",4
"157",4
"158",2
"159",5
"160",5
"161",1
"162",6
"163",4
"164",5
"165",4
"166",3
"167",4
"168",4
"169",4
"170",4
"171",6
"172",5
"173",4
"174",4
"175",4
"176",4
"177",2
"178",5
"179",3
"180",4
"181",4
"182",4
"183",4
"184",4
"185",4
"186",7
"187",1
"188",4
"189",4
"190",4
"191",4
"192",3
"193",4
"194",4
"195",5
"196",1
"197",3
"198",5
"199",2
"200",4
"201",4
"202",4
"203",3
"204",5
"205",4
"206",4
"207",7
"208",1
"209",2
"210",4
"211",1
"212",7
"213",1
"214",3
"215",1
"216",5
"217",3
"218",4
"219",4
"220",4
"221",5
"222",2
"223",3
"224",3
"225",7
"226",1
"227",3
"228",4
"229",4
"230",2
"231",4
"232",5
"233",1
"234",4
"235",4
"236",3
"237",3
"238",3
"239",1
"240",2
"241",1
"242",4
"243",1
"244",4
"245",1
"246",1
"247",3
"248",4
"249",6
"250",4
"251",8
"252",3
"253",3
"254",4
"255",7
"256",3
"257",4
"258",3
"259",4
"260",1
"261",2
"262",3
"263",1
"264",2
"265",5
"266",4
"267",1
"268",5
"269",5
"270",4
"271",5
"272",4
"273",1
"274",1
"275",3
"276",5
"277",3
"278",1
"279",3
"280",1
"281",4
"282",1
"283",4
"284",4
"285",4
"286",3
"287",1
"288",6
"289",5
"290",4
"291",4
"292",4
"293",3
"294",5
"295",3
"296",3
"297",1
"298",3
"299",4
"300",4
"301",1
"302",4
"303",3
"304",5
"305",3
"306",1
"307",3
"308",4
"309",1
"310",3
"311",1
"312",4
"313",4
"314",4
"315",3
"316",3
"317",4
"318",4
"319",4
"320",5
"321",4
"322",3
"323",3
"324",3
"325",3
"326",3
"327",1
"328",4
"329",3
"330",1
"331",4
"332",3
"333",3
"334",1
"335",4
"336",1
"337",4
"338",3
"339",1
"340",3
"341",1
"342",4
"343",3
"344",3
"345",3
"346",5
"347",4
"348",4
"349",3
"350",7
"351",4
"352",7
"353",4
"354",1
"355",3
"356",1
"357",4
"358",4
"359",4
"360",3
"361",3
"362",5
"363",3
"364",3
"365",4
"366",1
"367",6
"368",5
"369",4
"370",5
"371",3
"372",5
"373",1
"374",3
"375",4
"376",3
"377",1
"378",4
"379",3
"380",4
"381",1
"382",3
"383",5
"384",4
"385",5
"386",6
"387",4
"388",7
"389",4
"390",5
"391",4
"392",3
"393",1
"394",3
"395",4
"396",3
"397",5
"398",4
"399",4
"400",3
"401",1
"402",4
"403",3
"404",4
"405",4
"406",1
"407",4
"408",3
"409",4
"410",3
"411",4
"412",3
"413",5
"414",8
"415",3
"416",3
"417",5
"418",2
"419",4
"420",1
"421",4
"422",4
"423",4
"424",3
"425",4
"426",3
"427",1
"428",3
"429",1
"430",6
"431",4
"432",3
"433",5
"434",4
"435",1
"436",4
"437",4
"438",4
"439",3
"440",4
"441",4
"442",4
"443",4
"444",3
"445",6
"446",3
"447",4
"448",3
"449",1
"450",4
"451",1
"452",4
"453",4
"454",4
"455",4
"456",4
"457",3
"458",2
"459",6
"460",4
"461",1
"462",6
"463",6
"464",4
"465",4
"466",3
"467",3
"468",5
"469",4
"470",4
"471",4
"472",3
"473",4
"474",4
"475",6
"476",4
"477",1
"478",4
"479",4
"480",1
"481",3
"482",3
"483",11
"484",3
"485",7
"486",5
"487",3
"488",3
"489",4
"490",7
"491",4
"492",4
"493",1
"494",6
"495",4
"496",3
"497",6
"498",12
"499",3
"500",1
"501",3
"502",4
"503",4
"504",4
"505",3
"506",4
"507",2
"508",1
"509",4
"510",4
"511",3
"512",1
"513",6
"514",3
"515",4
"516",3
"517",1
"518",5
"519",4
"520",4
"521",4
"522",4
"523",4
"524",3
"525",5
"526",5
"527",5
"528",6
"529",5
"530",5
"531",5
"532",6
"533",5
"534",4
"535",4
"536",5
"537",4
"538",4
"539",5
"540",4
"541",4
"542",4
"543",4
"544",5
"545",5
"546",5
"547",4
"548",4
"549",5
"550",4
"551",5
"552",5
"553",2
"554",4
"555",4
"556",4
"557",4
"558",4
"559",4
"560",4
"561",2
"562",5
"563",2
"564",5
"565",4
"566",4
"567",3
"568",3
"569",4
"570",5
"571",3
"572",5
"573",5
"574",5
"575",3
"576",3
"577",4
"578",4
"579",3
"580",4
"581",2
"582",4
"583",4
"584",3
"585",4
"586",5
"587",4
"588",3
"589",4
"590",1
"591",4
"592",1
"593",3
"594",3
"595",1
"596",3
"597",5
"598",5
"599",4
"600",4
"601",6
"602",3
"603",5
"604",5
"605",4
"606",4
"607",4
"608",5
"609",4
"610",3
"611",4
"612",3
"613",3
"614",3
"615",2
"616",4
"617",3
"618",4
"619",4
"620",3
"621",3
"622",3
"623",3
"624",4
"625",3
"626",4
"627",4
"628",1
"629",5
"630",5
"631",4
"632",4
"633",4
"634",5
"635",4
"636",5
"637",5
"638",1
"639",4
"640",5
"641",4
"642",4
"643",6
"644",3
"645",4
"646",5
"647",5
"648",9
"649",5
"650",3
"651",4
"652",5
"653",4
"654",5
"655",4
"656",4
"657",4
"658",6
"659",5
"660",4
"661",1
"662",4
"663",4
"664",5
"665",4
"666",5
"667",4
"668",4
"669",5
"670",6
"671",6
"672",5
"673",4
"674",3
"675",5
"676",3
"677",6
"678",6
"679",4
"680",5
"681",4
"682",4
"683",4
"684",4
"685",4
"686",5
"687",5
"688",5
"689",5
"690",6
"691",4
"692",6
"693",4
"694",3
"695",4
"696",1
"697",5
"698",6
"699",4
"700",4
"701",5
"702",4
"703",4
"704",4
"705",1
"706",4
"707",6
"708",1
"709",4
"710",4
"711",5
"712",6
"713",6
"714",6
"715",6
"716",6
"717",6
"718",5
"719",4
"720",6
"721",3
"722",6
"723",4
"724",4
"725",6
"726",5
"727",4
"728",4
"729",10
"730",6
"731",5
"732",4
"733",2
"734",4
"735",2
"736",3
"737",4
"738",4
"739",4
"740",2
"741",4
"742",3
"743",5
"744",4
"745",5
"746",5
"747",3
"748",5
"749",5
"750",4
"751",4
"752",4
"753",6
"754",5
"755",6
"756",4
"757",5
"758",4
"759",6
"760",4
"761",5
"762",4
"763",4
"764",4
"765",4
"766",6
"767",5
"768",4
"769",6
"770",6
"771",5
"772",5
"773",4
"774",4
"775",2
"776",6
"777",5
"778",3
"779",5
"780",4
"781",5
"782",4
"783",4
"784",5
"785",5
"786",5
"787",5
"788",4
"789",5
"790",4
"791",4
"792",3
"793",6
"794",4
"795",4
"796",4
"797",2
"798",2
"799",2
"800",2
"801",4
"802",2
"803",5
"804",2
"805",5
"806",2
"807",4
"808",5
"809",2
"810",4
"811",2
"812",2
"813",5
"814",4
"815",4
"816",4
"817",5
"818",6
"819",4
"820",5
"821",4
"822",6
"823",4
"824",4
"825",4
"826",4
"827",4
"828",4
"829",2
"830",4
"831",2
"832",2
"833",4
"834",4
"835",4
"836",4
"837",5
"838",4
"839",2
"840",5
"841",4
"842",4
"843",5
"844",4
"845",5
"846",5
"847",2
"848",4
"849",5
"850",4
"851",4
"852",4
"853",5
"854",4
"855",2
"856",5
"857",2
"858",5
"859",5
"860",4
"861",4
"862",5
"863",2
"864",5
"865",4
"866",5
"867",4
"868",6
"869",4
"870",2
"871",4
"872",5
"873",4
"874",2
"875",3
"876",4
"877",5
"878",2
"879",4
"880",4
"881",5
"882",4
"883",4
"884",4
"885",2
"886",6
"887",4
"888",5
"889",2
"890",2
"891",2
"892",4
"893",4
"894",4
"895",4
"896",5
"897",5
"898",2
"899",4
"900",4
"901",5
"902",5
"903",4
"904",4
"905",1
"906",4
"907",4
"908",4
"909",5
"910",5
"911",5
"912",5
"913",4
"914",5
"915",5
"916",5
"917",5
"918",5
"919",4
"920",5
"921",5
"922",5
"923",2
"924",4
"925",6
"926",4
"927",5
"928",4
"929",2
"930",4
"931",4
"932",5
"933",5
"934",5
"935",4
"936",4
"937",4
"938",4
"939",5
"940",5
"941",2
"942",4
"943",2
"944",4
"945",5
"946",4
"947",4
"948",5
"949",5
"950",4
"951",4
"952",4
"953",5
"954",4
"955",4
"956",5
"957",4
"958",5
"959",2
"960",4
"961",4
"962",4
"963",4
"964",2
"965",4
"966",4
"967",5
"968",4
"969",4
"970",5
"971",5
"972",4
"973",4
"974",5
"975",2
"976",5
"977",5
"978",4
"979",4
"980",5
"981",5
"982",5
"983",4
"984",4
"985",5
"986",5
"987",4
"988",7
"989",5
"990",4
"991",5
"992",4
"993",13
"994",13
"995",13
"996",13
"997",8
"998",14
"999",9
"1000",14
"1001",7
"1002",14
"1003",7
"1004",14
"1005",14
"1006",8
"1007",14
"1008",14
"1009",9
"1010",11
"1011",11
"1012",11
"1013",11
"1014",11
"1015",11
"1016",11
"1017",8
"1018",5
"1019",8
"1020",14
"1021",5
"1022",4
"1023",8
"1024",14
"1025",8
"1026",7
"1027",11
"1028",12
"1029",10
"1030",11
"1031",11
"1032",11
"1033",7
"1034",11
"1035",11
"1036",8
"1037",11
"1038",8
"1039",9
"1040",9
"1041",14
"1042",10
"1043",5
"1044",14
"1045",11
"1046",9
"1047",13
"1048",4
"1049",11
"1050",14
"1051",10
"1052",14
"1053",13
"1054",7
"1055",1
"1056",7
"1057",11
"1058",8
"1059",13
"1060",6
"1061",11
"1062",14
"1063",13
"1064",8
"1065",7
"1066",13
"1067",7
"1068",11
"1069",3
"1070",12
"1071",7
"1072",12
"1073",12
"1074",5
"1075",13
"1076",8
"1077",13
"1078",10
"1079",4
"1080",11
"1081",8
"1082",14
"1083",14
"1084",7
"1085",4
"1086",13
"1087",12
"1088",4
"1089",14
"1090",14
"1091",14
"1092",9
"1093",4
"1094",8
"1095",12
"1096",7
"1097",13
"1098",14
"1099",11
"1100",4
"1101",11
"1102",12
"1103",6
"1104",14
"1105",7
"1106",11
"1107",11
"1108",11
"1109",14
"1110",8
"1111",8
"1112",11
"1113",1
"1114",5
"1115",11
"1116",8
"1117",9
"1118",4
"1119",8
"1120",9
"1121",9
"1122",7
"1123",11
"1124",7
"1125",14
"1126",11
"1127",1
"1128",3
"1129",14
"1130",11
"1131",11
"1132",9
"1133",14
"1134",8
"1135",11
"1136",14
"1137",11
"1138",4
"1139",12
"1140",6
"1141",11
"1142",11
"1143",11
"1144",8
"1145",11
"1146",13
"1147",11
"1148",8
"1149",14
"1150",12
"1151",7
"1152",12
"1153",14
"1154",10
"1155",2
"1156",11
"1157",11
"1158",8
"1159",8
"1160",7
"1161",11
"1162",8
"1163",14
"1164",8
"1165",11
"1166",7
"1167",14
"1168",11
"1169",8
"1170",8
"1171",14
"1172",8
"1173",7
"1174",14
"1175",6
"1176",11
"1177",11
"1178",11
"1179",14
"1180",14
"1181",11
"1182",11
"1183",12
"1184",12
"1185",13
"1186",8
"1187",4
"1188",8
"1189",12
"1190",14
"1191",9
"1192",7
"1193",14
"1194",11
"1195",5
"1196",8
"1197",14
"1198",14
"1199",8
"1200",3
"1201",13
"1202",12
"1203",3
"1204",11
"1205",14
"1206",11
"1207",11
"1208",12
"1209",14
"1210",11
"1211",14
"1212",1
"1213",11
"1214",12
"1215",7
"1216",14
"1217",11
"1218",13
"1219",5
"1220",13
"1221",13
"1222",3
"1223",13
"1224",9
"1225",13
"1226",13
"1227",13
"1228",12
"1229",13
"1230",15
"1231",9
"1232",8
"1233",13
"1234",13
"1235",13
"1236",13
"1237",13
"1238",13
"1239",15
"1240",13
"1241",13
"1242",13
"1243",13
"1244",15
"1245",15
"1246",15
"1247",13
"1248",13
"1249",13
"1250",13
"1251",15
"1252",13
"1253",9
"1254",9
"1255",13
"1256",15
"1257",8
"1258",13
"1259",13
"1260",14
"1261",13
"1262",13
"1263",13
"1264",13
"1265",13
"1266",13
"1267",13
"1268",13
"1269",15
"1270",9
"1271",13
"1272",15
"1273",9
"1274",13
"1275",13
"1276",9
"1277",9
"1278",8
"1279",11
"1280",13
"1281",9
"1282",13
"1283",12
"1284",13
"1285",13
"1286",9
"1287",13
"1288",9
"1289",15
"1290",15
"1291",13
"1292",15
"1293",15
"1294",9
"1295",13
"1296",14
"1297",3
"1298",13
"1299",13
"1300",10
"1301",13
"1302",13
"1303",13
"1304",13
"1305",13
"1306",13
"1307",9
"1308",13
"1309",13
"1310",13
"1311",13
"1312",13
"1313",15
"1314",15
"1315",13
"1316",9
"1317",13
"1318",13
"1319",15
"1320",13
"1321",13
"1322",13
"1323",15
"1324",15
"1325",12
"1326",13
"1327",9
"1328",13
"1329",3
"1330",9
"1331",13
"1332",15
"1333",13
"1334",9
"1335",9
"1336",13
"1337",13
"1338",13
"1339",13
"1340",13
"1341",9
"1342",15
"1343",13
"1344",13
"1345",13
"1346",13
"1347",13
"1348",13
"1349",13
"1350",13
"1351",13
"1352",13
"1353",9
"1354",13
"1355",14
"1356",13
"1357",13
"1358",13
"1359",13
"1360",13
"1361",12
"1362",13
"1363",13
"1364",13
"1365",13
"1366",13
"1367",13
"1368",9
"1369",10
"1370",13
"1371",13
"1372",14
"1373",9
"1374",9
"1375",13
"1376",13
"1377",13
"1378",6
"1379",13
"1380",9
"1381",3
"1382",13
"1383",13
"1384",9
"1385",13
"1386",13
"1387",13
"1388",13
"1389",13
"1390",13
"1391",15
"1392",13
"1393",13
"1394",9
"1395",13
"1396",12
"1397",13
"1398",13
"1399",8
"1400",13
"1401",13
"1402",13
"1403",13
"1404",13
"1405",9
"1406",13
"1407",13
"1408",9
"1409",13
"1410",13
"1411",13
"1412",11
"1413",13
"1414",9
"1415",13
"1416",9
"1417",15
"1418",13
"1419",9
"1420",13
"1421",15
"1422",13
"1423",13
"1424",13
"1425",10
"1426",9
"1427",13
"1428",3
"1429",9
"1430",13
"1431",13
"1432",13
"1433",13
"1434",12
"1435",13
"1436",9
"1437",13
"1438",15
"1439",15
"1440",9
"1441",9
"1442",15
"1443",13
"1444",9
"1445",15
"1446",9
"1447",9
"1448",13
"1449",8
"1450",9
"1451",15
"1452",13
"1453",8
"1454",13
"1455",13
"1456",8
"1457",13
"1458",13
"1459",10
"1460",15
"1461",13
"1462",13
"1463",13
"1464",8
"1465",9
"1466",3
"1467",4
"1468",3
"1469",3
"1470",3
"1471",3
"1472",3
"1473",9
"1474",3
"1475",3
"1476",4
"1477",3
"1478",3
"1479",3
"1480",4
"1481",3
"1482",4
"1483",4
"1484",4
"1485",3
"1486",4
"1487",3
"1488",3
"1489",4
"1490",3
"1491",4
"1492",3
"1493",3
"1494",3
