"","x"
"1",0.210542706833766
"2",0.517969527669148
"3",0.222105984057051
"4",344.52229929539
"5",31.822580575943
"6",6
"7",4
"8",6
"9",11
"10",7
"11",8
"12",8
"13",7
"14",9
"15",7
"16",9
"17",2
"18",9
"19",9
"20",8
"21",8
"22",9
"23",6
"24",7
"25",11
"26",5
"27",1
"28",8
"29",9
"30",2
"31",6
"32",8
"33",1
"34",10
"35",9
"36",10
"37",8
"38",11
"39",9
"40",7
"41",8
"42",6
"43",7
"44",8
"45",10
"46",7
"47",10
"48",7
"49",9
"50",7
"51",7
"52",7
"53",8
"54",6
"55",2
"56",2
"57",10
"58",8
"59",6
"60",9
"61",8
"62",11
"63",6
"64",8
"65",7
"66",6
"67",6
"68",7
"69",2
"70",7
"71",8
"72",9
"73",7
"74",9
"75",6
"76",8
"77",8
"78",7
"79",8
"80",5
"81",1
"82",10
"83",5
"84",11
"85",6
"86",2
"87",10
"88",9
"89",6
"90",1
"91",9
"92",9
"93",8
"94",8
"95",9
"96",11
"97",9
"98",8
"99",9
"100",6
"101",10
"102",6
"103",9
"104",8
"105",2
"106",8
"107",1
"108",7
"109",9
"110",8
"111",1
"112",9
"113",6
"114",8
"115",10
"116",9
"117",8
"118",9
"119",8
"120",10
"121",8
"122",7
"123",7
"124",8
"125",11
"126",8
"127",6
"128",8
"129",10
"130",7
"131",6
"132",6
"133",8
"134",8
"135",2
"136",8
"137",7
"138",8
"139",7
"140",8
"141",5
"142",2
"143",8
"144",2
"145",8
"146",9
"147",8
"148",7
"149",7
"150",8
"151",7
"152",8
"153",9
"154",11
"155",8
"156",9
"157",10
"158",8
"159",7
"160",2
"161",6
"162",8
"163",10
"164",5
"165",9
"166",9
"167",7
"168",9
"169",1
"170",9
"171",8
"172",7
"173",11
"174",1
"175",7
"176",8
"177",8
"178",2
"179",9
"180",8
"181",8
"182",9
"183",9
"184",8
"185",8
"186",8
"187",6
"188",8
"189",9
"190",11
"191",9
"192",9
"193",8
"194",8
"195",2
"196",7
"197",9
"198",9
"199",8
"200",10
"201",6
"202",9
"203",9
"204",7
"205",10
"206",8
"207",8
"208",6
"209",8
"210",11
"211",6
"212",8
"213",6
"214",9
"215",6
"216",2
"217",9
"218",8
"219",9
"220",8
"221",1
"222",8
"223",9
"224",9
"225",8
"226",6
"227",9
"228",10
"229",8
"230",9
"231",10
"232",7
"233",6
"234",1
"235",10
"236",9
"237",9
"238",9
"239",6
"240",8
"241",6
"242",7
"243",6
"244",8
"245",6
"246",6
"247",9
"248",8
"249",8
"250",8
"251",8
"252",11
"253",9
"254",8
"255",8
"256",9
"257",9
"258",9
"259",9
"260",6
"261",8
"262",9
"263",6
"264",8
"265",7
"266",9
"267",6
"268",11
"269",2
"270",10
"271",6
"272",10
"273",6
"274",7
"275",9
"276",1
"277",11
"278",5
"279",9
"280",2
"281",9
"282",6
"283",9
"284",8
"285",8
"286",9
"287",6
"288",8
"289",2
"290",8
"291",8
"292",9
"293",10
"294",7
"295",11
"296",9
"297",6
"298",9
"299",10
"300",10
"301",6
"302",8
"303",9
"304",7
"305",9
"306",6
"307",9
"308",8
"309",6
"310",11
"311",7
"312",7
"313",8
"314",8
"315",9
"316",9
"317",8
"318",3
"319",7
"320",1
"321",7
"322",9
"323",11
"324",9
"325",11
"326",9
"327",6
"328",8
"329",11
"330",6
"331",8
"332",9
"333",9
"334",6
"335",8
"336",6
"337",8
"338",9
"339",5
"340",9
"341",6
"342",8
"343",11
"344",11
"345",9
"346",2
"347",8
"348",10
"349",9
"350",8
"351",8
"352",8
"353",10
"354",7
"355",9
"356",6
"357",8
"358",9
"359",8
"360",11
"361",10
"362",7
"363",9
"364",9
"365",10
"366",7
"367",8
"368",7
"369",7
"370",2
"371",9
"372",6
"373",2
"374",10
"375",10
"376",9
"377",6
"378",8
"379",9
"380",8
"381",7
"382",9
"383",7
"384",10
"385",6
"386",8
"387",10
"388",8
"389",8
"390",6
"391",8
"392",11
"393",6
"394",9
"395",8
"396",11
"397",7
"398",10
"399",9
"400",9
"401",6
"402",8
"403",9
"404",11
"405",7
"406",6
"407",7
"408",9
"409",8
"410",9
"411",10
"412",11
"413",7
"414",8
"415",11
"416",9
"417",5
"418",8
"419",10
"420",6
"421",9
"422",8
"423",1
"424",9
"425",9
"426",11
"427",6
"428",10
"429",6
"430",8
"431",8
"432",10
"433",7
"434",3
"435",6
"436",8
"437",7
"438",9
"439",9
"440",10
"441",8
"442",8
"443",8
"444",9
"445",8
"446",11
"447",10
"448",9
"449",6
"450",8
"451",6
"452",8
"453",7
"454",8
"455",9
"456",8
"457",9
"458",8
"459",8
"460",11
"461",7
"462",8
"463",8
"464",9
"465",7
"466",9
"467",9
"468",7
"469",9
"470",8
"471",7
"472",11
"473",8
"474",8
"475",8
"476",9
"477",7
"478",8
"479",9
"480",6
"481",11
"482",9
"483",2
"484",9
"485",8
"486",7
"487",9
"488",9
"489",8
"490",8
"491",8
"492",11
"493",6
"494",8
"495",1
"496",10
"497",8
"498",8
"499",9
"500",6
"501",9
"502",9
"503",8
"504",8
"505",9
"506",1
"507",8
"508",6
"509",9
"510",8
"511",9
"512",6
"513",8
"514",9
"515",8
"516",9
"517",6
"518",6
"519",8
"520",9
"521",9
"522",9
"523",1
"524",9
"525",6
"526",6
"527",6
"528",8
"529",6
"530",2
"531",6
"532",8
"533",2
"534",7
"535",9
"536",2
"537",2
"538",9
"539",6
"540",9
"541",9
"542",7
"543",11
"544",2
"545",6
"546",6
"547",7
"548",2
"549",6
"550",8
"551",2
"552",2
"553",11
"554",7
"555",9
"556",9
"557",8
"558",8
"559",7
"560",7
"561",8
"562",2
"563",8
"564",6
"565",6
"566",9
"567",4
"568",9
"569",10
"570",2
"571",9
"572",2
"573",2
"574",7
"575",11
"576",9
"577",8
"578",9
"579",9
"580",11
"581",8
"582",7
"583",9
"584",9
"585",7
"586",7
"587",7
"588",9
"589",9
"590",6
"591",1
"592",6
"593",9
"594",10
"595",6
"596",9
"597",6
"598",6
"599",8
"600",9
"601",8
"602",9
"603",6
"604",2
"605",8
"606",8
"607",8
"608",2
"609",7
"610",9
"611",7
"612",9
"613",9
"614",9
"615",8
"616",11
"617",11
"618",9
"619",11
"620",9
"621",9
"622",9
"623",9
"624",9
"625",9
"626",9
"627",8
"628",9
"629",2
"630",6
"631",7
"632",7
"633",7
"634",2
"635",11
"636",2
"637",2
"638",6
"639",8
"640",2
"641",2
"642",8
"643",8
"644",9
"645",4
"646",2
"647",2
"648",9
"649",2
"650",9
"651",8
"652",6
"653",8
"654",2
"655",8
"656",10
"657",10
"658",8
"659",6
"660",8
"661",6
"662",7
"663",8
"664",6
"665",6
"666",2
"667",8
"668",7
"669",7
"670",8
"671",8
"672",6
"673",8
"674",9
"675",2
"676",10
"677",8
"678",8
"679",8
"680",2
"681",8
"682",8
"683",6
"684",8
"685",1
"686",2
"687",6
"688",7
"689",6
"690",8
"691",8
"692",8
"693",11
"694",9
"695",6
"696",6
"697",6
"698",8
"699",11
"700",7
"701",6
"702",8
"703",7
"704",9
"705",6
"706",8
"707",8
"708",6
"709",11
"710",8
"711",2
"712",8
"713",8
"714",8
"715",8
"716",8
"717",8
"718",2
"719",8
"720",8
"721",9
"722",8
"723",8
"724",8
"725",8
"726",2
"727",8
"728",3
"729",8
"730",8
"731",2
"732",8
"733",8
"734",8
"735",8
"736",9
"737",8
"738",11
"739",10
"740",11
"741",9
"742",1
"743",6
"744",11
"745",6
"746",6
"747",11
"748",6
"749",6
"750",8
"751",8
"752",10
"753",8
"754",7
"755",8
"756",8
"757",6
"758",8
"759",8
"760",8
"761",7
"762",8
"763",8
"764",8
"765",8
"766",8
"767",2
"768",8
"769",8
"770",8
"771",2
"772",2
"773",8
"774",8
"775",8
"776",8
"777",2
"778",3
"779",6
"780",7
"781",2
"782",1
"783",8
"784",2
"785",2
"786",2
"787",2
"788",6
"789",2
"790",8
"791",9
"792",9
"793",8
"794",8
"795",8
"796",8
"797",8
"798",8
"799",8
"800",8
"801",10
"802",8
"803",2
"804",8
"805",2
"806",8
"807",8
"808",2
"809",8
"810",7
"811",8
"812",8
"813",2
"814",8
"815",7
"816",2
"817",2
"818",8
"819",11
"820",7
"821",8
"822",8
"823",8
"824",8
"825",8
"826",7
"827",8
"828",9
"829",8
"830",8
"831",8
"832",8
"833",8
"834",8
"835",8
"836",1
"837",2
"838",8
"839",8
"840",2
"841",1
"842",8
"843",2
"844",8
"845",2
"846",2
"847",8
"848",1
"849",2
"850",8
"851",8
"852",7
"853",2
"854",8
"855",8
"856",2
"857",8
"858",2
"859",2
"860",9
"861",8
"862",2
"863",8
"864",2
"865",1
"866",2
"867",8
"868",8
"869",8
"870",8
"871",8
"872",2
"873",1
"874",8
"875",9
"876",8
"877",2
"878",8
"879",2
"880",8
"881",2
"882",8
"883",8
"884",9
"885",8
"886",8
"887",8
"888",2
"889",9
"890",8
"891",8
"892",8
"893",8
"894",8
"895",8
"896",2
"897",2
"898",8
"899",8
"900",8
"901",2
"902",2
"903",8
"904",8
"905",6
"906",8
"907",8
"908",8
"909",2
"910",2
"911",2
"912",2
"913",8
"914",6
"915",2
"916",2
"917",2
"918",2
"919",8
"920",2
"921",2
"922",2
"923",8
"924",8
"925",8
"926",8
"927",6
"928",9
"929",8
"930",8
"931",8
"932",2
"933",2
"934",2
"935",1
"936",8
"937",8
"938",8
"939",2
"940",2
"941",8
"942",8
"943",8
"944",9
"945",2
"946",8
"947",8
"948",2
"949",2
"950",8
"951",8
"952",8
"953",2
"954",8
"955",1
"956",2
"957",8
"958",2
"959",8
"960",8
"961",7
"962",8
"963",8
"964",8
"965",8
"966",8
"967",2
"968",8
"969",8
"970",2
"971",2
"972",8
"973",8
"974",2
"975",8
"976",2
"977",2
"978",1
"979",9
"980",2
"981",2
"982",2
"983",8
"984",6
"985",2
"986",2
"987",8
"988",8
"989",2
"990",8
"991",2
"992",8
"993",3
"994",3
"995",3
"996",3
"997",8
"998",8
"999",7
"1000",8
"1001",8
"1002",8
"1003",8
"1004",8
"1005",8
"1006",8
"1007",8
"1008",8
"1009",7
"1010",2
"1011",2
"1012",2
"1013",4
"1014",2
"1015",2
"1016",2
"1017",8
"1018",2
"1019",8
"1020",6
"1021",2
"1022",8
"1023",8
"1024",8
"1025",8
"1026",8
"1027",2
"1028",8
"1029",8
"1030",2
"1031",2
"1032",2
"1033",8
"1034",6
"1035",2
"1036",8
"1037",2
"1038",8
"1039",7
"1040",9
"1041",8
"1042",8
"1043",1
"1044",8
"1045",4
"1046",3
"1047",1
"1048",8
"1049",2
"1050",8
"1051",8
"1052",8
"1053",3
"1054",8
"1055",2
"1056",8
"1057",2
"1058",8
"1059",9
"1060",8
"1061",2
"1062",8
"1063",3
"1064",3
"1065",8
"1066",3
"1067",8
"1068",2
"1069",9
"1070",8
"1071",8
"1072",8
"1073",8
"1074",1
"1075",3
"1076",8
"1077",3
"1078",8
"1079",8
"1080",2
"1081",8
"1082",8
"1083",8
"1084",8
"1085",1
"1086",3
"1087",8
"1088",8
"1089",8
"1090",8
"1091",8
"1092",8
"1093",8
"1094",8
"1095",8
"1096",8
"1097",3
"1098",8
"1099",2
"1100",8
"1101",2
"1102",8
"1103",8
"1104",8
"1105",8
"1106",2
