"","x"
"1",0.53865186591393
"2",0.610287179835687
"3",0.084260326653259
"4",90.7551051584591
"5",1.51537200609843
"6",1
"7",1
"8",2
"9",1
"10",1
"11",3
"12",2
"13",1
"14",1
"15",3
"16",3
"17",2
"18",3
"19",3
"20",3
"21",2
"22",3
"23",3
"24",1
"25",2
"26",1
"27",1
"28",3
"29",2
"30",3
"31",3
"32",1
"33",1
"34",2
"35",3
"36",3
"37",2
"38",3
"39",3
"40",1
"41",2
"42",1
"43",3
"44",2
"45",3
"46",3
"47",3
"48",1
"49",1
"50",3
"51",2
"52",3
"53",2
"54",3
"55",3
"56",3
"57",1
"58",1
"59",3
"60",2
"61",4
"62",2
"63",1
"64",1
"65",3
"66",3
"67",3
"68",3
"69",3
"70",1
"71",3
"72",3
"73",1
"74",2
"75",1
"76",2
"77",3
"78",3
"79",3
"80",3
"81",3
"82",3
"83",1
"84",1
"85",3
"86",3
"87",3
"88",3
"89",3
"90",3
"91",3
"92",4
"93",2
"94",1
"95",4
"96",2
"97",3
"98",2
"99",3
"100",2
"101",3
"102",3
"103",3
"104",1
"105",3
"106",3
"107",1
"108",3
"109",1
"110",1
"111",1
"112",1
"113",3
"114",3
"115",3
"116",1
"117",2
"118",3
"119",3
"120",3
"121",3
"122",3
"123",2
"124",3
"125",2
"126",3
"127",2
"128",3
"129",1
"130",1
"131",3
"132",1
"133",3
"134",3
"135",1
"136",1
"137",3
"138",1
"139",2
"140",1
"141",3
"142",3
"143",2
"144",3
"145",1
"146",1
"147",3
"148",1
"149",3
"150",1
"151",3
"152",3
"153",4
"154",2
"155",3
"156",3
"157",1
"158",1
"159",3
"160",3
"161",1
"162",3
"163",3
"164",1
"165",2
"166",1
"167",3
"168",1
"169",1
"170",3
"171",3
"172",3
"173",1
"174",3
"175",3
"176",1
"177",2
"178",1
"179",1
"180",2
"181",1
"182",1
"183",3
"184",1
"185",1
"186",3
"187",1
"188",3
"189",2
"190",3
"191",3
"192",4
"193",3
"194",3
"195",1
"196",4
"197",1
"198",3
"199",1
"200",3
"201",1
"202",3
"203",1
"204",3
"205",2
"206",2
"207",3
"208",3
"209",4
"210",2
"211",2
"212",1
"213",1
"214",3
"215",3
"216",1
"217",3
"218",2
"219",2
