"","x"
"1",0.288958575402584
"2",0.552942222022815
"3",0.31458887419756
"4",38504.0932690873
"5",1.52462380727132
"6",1
"7",2
"8",3
"9",2
"10",2
"11",4
"12",3
"13",2
"14",5
"15",4
"16",6
"17",3
"18",6
"19",6
"20",6
"21",7
"22",4
"23",4
"24",2
"25",3
"26",2
"27",1
"28",6
"29",7
"30",4
"31",4
"32",1
"33",1
"34",3
"35",6
"36",1
"37",3
"38",6
"39",6
"40",1
"41",3
"42",2
"43",4
"44",7
"45",6
"46",8
"47",6
"48",2
"49",1
"50",4
"51",7
"52",4
"53",3
"54",4
"55",4
"56",6
"57",1
"58",3
"59",6
"60",7
"61",9
"62",7
"63",2
"64",1
"65",6
"66",8
"67",6
"68",4
"69",4
"70",2
"71",4
"72",6
"73",10
"74",3
"75",2
"76",7
"77",4
"78",8
"79",6
"80",6
"81",4
"82",6
"83",1
"84",2
"85",8
"86",4
"87",4
"88",4
"89",6
"90",4
"91",8
"92",9
"93",3
"94",2
"95",9
"96",3
"97",6
"98",3
"99",8
"100",7
"101",4
"102",4
"103",6
"104",1
"105",6
"106",6
"107",2
"108",4
"109",2
"110",1
"111",1
"112",2
"113",4
"114",4
"115",4
"116",2
"117",3
"118",4
"119",6
"120",4
"121",4
"122",6
"123",3
"124",6
"125",3
"126",4
"127",3
"128",6
"129",1
"130",1
"131",6
"132",10
"133",4
"134",4
"135",2
"136",1
"137",6
"138",1
"139",3
"140",2
"141",8
"142",4
"143",3
"144",4
"145",1
"146",3
"147",4
"148",2
"149",6
"150",2
"151",6
"152",4
"153",9
"154",7
"155",6
"156",4
"157",2
"158",1
"159",6
"160",6
"161",1
"162",4
"163",4
"164",2
"165",7
"166",1
"167",4
"168",2
"169",2
"170",4
"171",4
"172",4
"173",1
"174",4
"175",6
"176",11
"177",3
"178",11
"179",10
"180",3
"181",1
"182",2
"183",4
"184",1
"185",7
"186",6
"187",10
"188",4
"189",3
"190",6
"191",4
"192",9
"193",4
"194",4
"195",2
"196",9
"197",2
"198",4
"199",1
"200",4
"201",2
"202",6
"203",5
"204",6
"205",3
"206",7
"207",6
"208",4
"209",6
"210",3
"211",3
"212",2
"213",2
"214",4
"215",4
"216",2
"217",4
"218",3
"219",3
"220",4
"221",4
"222",6
"223",4
"224",4
"225",8
"226",6
"227",1
"228",4
"229",6
"230",4
"231",6
"232",1
"233",4
"234",2
"235",2
"236",6
"237",6
"238",1
"239",6
"240",4
"241",1
"242",4
"243",6
"244",6
"245",2
"246",1
"247",10
"248",10
"249",5
"250",10
"251",3
"252",6
"253",1
"254",3
"255",2
"256",3
"257",3
"258",10
"259",1
"260",1
"261",10
"262",6
"263",6
"264",6
"265",6
"266",2
"267",4
"268",6
"269",2
"270",4
"271",6
"272",4
"273",4
"274",4
"275",2
"276",2
"277",2
"278",6
"279",7
"280",4
"281",3
"282",6
"283",2
"284",4
"285",3
"286",5
"287",1
"288",6
"289",6
"290",2
"291",6
"292",6
"293",1
"294",9
"295",2
"296",6
"297",4
"298",1
"299",1
"300",3
"301",6
"302",8
"303",1
"304",1
"305",4
"306",1
"307",4
"308",6
"309",6
"310",6
"311",1
"312",2
"313",6
"314",6
"315",2
"316",6
"317",1
"318",2
"319",1
"320",5
"321",2
"322",10
"323",4
"324",4
"325",6
"326",1
"327",2
"328",7
"329",3
"330",1
"331",6
"332",4
"333",1
"334",6
"335",2
"336",6
"337",2
"338",6
"339",6
"340",6
"341",3
"342",6
"343",4
"344",2
"345",1
"346",1
"347",2
"348",3
"349",10
"350",3
"351",6
"352",1
"353",1
"354",4
"355",5
"356",2
"357",3
"358",1
"359",2
"360",8
"361",6
"362",1
"363",1
"364",7
"365",1
"366",1
"367",1
"368",6
"369",6
"370",2
"371",6
"372",3
"373",6
"374",2
"375",6
"376",1
"377",4
"378",6
"379",1
"380",3
"381",6
"382",4
"383",4
"384",6
"385",11
"386",1
"387",2
"388",1
"389",2
"390",7
"391",6
"392",6
"393",6
"394",1
"395",6
"396",2
"397",6
"398",2
"399",6
"400",1
"401",2
"402",2
"403",6
"404",4
"405",6
"406",6
"407",6
"408",4
"409",2
"410",6
"411",6
"412",1
"413",1
"414",3
"415",3
"416",7
"417",7
"418",2
"419",6
"420",4
"421",1
"422",3
"423",5
"424",6
"425",3
"426",6
"427",6
"428",10
"429",6
"430",6
"431",6
"432",3
"433",6
"434",2
"435",4
"436",2
"437",6
"438",6
"439",4
"440",2
"441",6
"442",1
"443",1
"444",2
"445",6
"446",1
"447",6
"448",5
"449",7
"450",3
"451",4
"452",1
"453",4
"454",1
"455",3
"456",11
"457",4
"458",6
"459",6
"460",4
"461",1
"462",4
"463",6
"464",1
"465",4
"466",3
"467",6
"468",6
"469",2
"470",6
"471",6
"472",2
"473",1
"474",5
"475",6
"476",6
"477",6
"478",6
"479",7
"480",1
"481",4
"482",6
"483",6
"484",3
"485",6
"486",6
"487",4
"488",2
"489",2
"490",6
"491",6
"492",1
"493",1
"494",3
"495",6
"496",6
"497",6
"498",2
"499",1
"500",2
"501",6
"502",2
"503",4
"504",9
"505",6
"506",6
"507",9
"508",6
"509",4
"510",6
"511",6
"512",4
"513",3
"514",8
"515",8
"516",4
"517",6
"518",9
"519",1
"520",9
"521",4
"522",8
"523",6
"524",10
"525",9
"526",8
"527",8
"528",8
"529",7
"530",6
"531",4
"532",9
"533",9
"534",9
"535",9
"536",10
"537",6
"538",9
"539",9
"540",6
"541",1
"542",8
"543",4
"544",6
"545",6
"546",6
"547",9
"548",2
"549",8
"550",8
"551",8
"552",1
"553",4
"554",2
"555",8
"556",8
"557",5
"558",7
"559",9
"560",6
"561",8
"562",11
"563",2
"564",2
"565",6
"566",8
"567",9
"568",4
"569",4
"570",4
"571",2
"572",3
"573",4
"574",6
"575",8
"576",8
"577",6
"578",4
"579",8
"580",4
"581",6
"582",11
"583",4
"584",10
"585",10
"586",4
"587",8
"588",9
"589",4
"590",9
"591",7
"592",4
"593",10
"594",8
"595",8
"596",4
"597",9
"598",8
"599",1
"600",7
"601",9
"602",8
"603",10
"604",9
"605",1
"606",8
"607",11
"608",6
"609",8
"610",8
"611",4
"612",8
"613",6
"614",4
"615",6
"616",4
"617",10
"618",6
"619",11
"620",2
"621",2
"622",6
"623",11
"624",5
"625",9
"626",4
"627",8
"628",9
"629",9
"630",6
"631",1
"632",6
"633",8
"634",11
"635",8
"636",9
"637",9
"638",4
"639",8
"640",8
"641",9
"642",7
"643",8
"644",8
"645",8
"646",7
"647",6
"648",6
"649",4
"650",9
"651",2
"652",1
"653",8
"654",11
"655",4
"656",9
"657",8
"658",9
"659",4
"660",4
"661",11
"662",4
"663",4
"664",1
"665",9
"666",9
"667",8
"668",2
"669",2
"670",8
"671",4
"672",6
"673",8
"674",6
"675",1
"676",3
"677",6
"678",2
"679",8
"680",8
"681",10
"682",9
"683",8
"684",8
"685",2
"686",6
"687",1
"688",6
"689",4
"690",1
"691",9
"692",6
"693",6
"694",8
"695",11
"696",2
"697",6
"698",8
"699",4
"700",4
"701",11
"702",9
"703",9
"704",6
"705",1
"706",8
"707",4
"708",9
"709",8
"710",9
"711",6
"712",9
"713",4
"714",2
"715",3
"716",8
"717",8
"718",9
"719",4
"720",6
"721",1
"722",11
"723",7
"724",2
"725",8
"726",9
"727",6
"728",6
"729",11
"730",9
"731",3
"732",8
"733",8
"734",9
"735",10
"736",6
"737",4
"738",11
"739",9
"740",11
"741",4
"742",9
"743",6
"744",4
"745",11
"746",9
"747",2
"748",6
"749",8
"750",6
"751",6
"752",6
"753",4
"754",8
"755",8
"756",9
"757",10
"758",9
"759",8
"760",6
"761",9
"762",6
"763",1
"764",4
"765",2
"766",8
"767",8
"768",1
"769",11
"770",6
"771",5
"772",2
"773",9
"774",8
"775",10
"776",9
"777",4
"778",5
"779",4
"780",1
"781",6
"782",9
"783",6
"784",1
"785",8
"786",1
"787",4
"788",8
"789",1
"790",4
"791",8
"792",8
"793",1
"794",10
"795",2
"796",8
"797",6
"798",6
"799",6
"800",8
"801",1
"802",9
"803",5
"804",10
"805",8
"806",8
"807",6
"808",9
"809",4
"810",10
"811",8
"812",9
"813",6
"814",3
"815",6
"816",6
"817",6
"818",9
"819",6
"820",9
"821",9
"822",11
"823",8
"824",6
"825",6
"826",6
"827",10
"828",1
"829",3
"830",1
"831",10
"832",8
"833",1
"834",5
"835",5
"836",6
"837",5
"838",1
"839",6
"840",6
"841",10
"842",2
"843",9
"844",6
"845",9
"846",2
"847",7
"848",1
"849",9
"850",4
"851",9
"852",8
"853",8
"854",1
"855",9
"856",6
"857",6
"858",1
"859",4
"860",7
"861",9
"862",4
"863",1
"864",4
"865",9
"866",1
"867",9
"868",9
"869",10
"870",8
"871",1
"872",9
"873",11
"874",9
"875",1
"876",8
"877",10
"878",9
"879",6
"880",8
"881",6
"882",8
"883",5
"884",1
"885",3
"886",1
"887",10
"888",8
"889",6
"890",1
"891",7
"892",1
"893",6
"894",1
"895",6
"896",9
"897",6
"898",6
"899",10
"900",8
"901",1
"902",1
"903",5
"904",9
"905",11
"906",1
"907",9
"908",1
"909",9
"910",6
"911",8
"912",2
"913",9
"914",1
"915",1
"916",2
"917",3
"918",6
"919",1
"920",6
"921",6
"922",1
"923",7
"924",1
"925",7
"926",9
"927",3
"928",8
"929",6
"930",4
"931",1
"932",6
"933",1
"934",4
"935",6
"936",8
"937",1
"938",6
"939",8
"940",10
"941",6
"942",3
"943",4
"944",6
"945",10
"946",8
"947",10
"948",5
"949",7
"950",3
"951",9
"952",1
"953",7
"954",4
"955",10
"956",6
"957",9
"958",4
"959",1
"960",4
"961",9
"962",9
"963",10
"964",6
"965",2
"966",3
"967",5
"968",6
"969",6
"970",9
"971",9
"972",10
"973",9
"974",9
"975",6
"976",6
"977",9
"978",1
"979",1
"980",1
"981",6
"982",8
"983",6
"984",7
"985",6
"986",9
"987",10
"988",3
"989",6
"990",9
"991",8
"992",8
"993",1
"994",4
"995",8
"996",6
"997",10
"998",7
"999",10
"1000",5
"1001",9
"1002",6
"1003",8
"1004",4
"1005",6
"1006",6
"1007",4
"1008",10
"1009",3
"1010",9
"1011",10
"1012",7
"1013",6
"1014",1
"1015",3
"1016",7
"1017",8
"1018",3
"1019",1
"1020",6
"1021",10
"1022",1
"1023",6
"1024",1
"1025",6
"1026",9
"1027",8
"1028",6
"1029",10
"1030",1
"1031",3
"1032",8
"1033",10
"1034",9
"1035",3
"1036",3
"1037",1
"1038",1
"1039",4
"1040",6
"1041",6
"1042",2
"1043",6
"1044",10
"1045",6
"1046",1
"1047",6
"1048",1
"1049",9
"1050",8
"1051",1
"1052",7
"1053",9
"1054",2
"1055",9
"1056",8
"1057",6
"1058",4
"1059",8
"1060",4
"1061",10
"1062",8
"1063",7
"1064",11
"1065",6
"1066",10
"1067",6
"1068",2
"1069",9
"1070",1
"1071",1
"1072",8
"1073",2
"1074",6
"1075",9
"1076",3
"1077",4
"1078",8
"1079",9
"1080",7
"1081",6
"1082",9
"1083",10
"1084",7
"1085",4
"1086",9
"1087",8
"1088",3
"1089",9
"1090",4
"1091",6
"1092",9
"1093",9
"1094",6
"1095",8
"1096",6
"1097",4
"1098",7
"1099",6
"1100",4
"1101",9
"1102",6
"1103",6
"1104",8
"1105",8
"1106",8
"1107",8
"1108",1
"1109",8
"1110",6
"1111",2
"1112",6
"1113",4
"1114",4
"1115",4
"1116",8
"1117",8
"1118",9
"1119",1
"1120",1
"1121",8
"1122",1
"1123",9
"1124",9
"1125",4
"1126",9
"1127",6
"1128",8
"1129",8
"1130",9
"1131",6
"1132",4
"1133",4
"1134",1
"1135",9
"1136",5
"1137",8
"1138",6
"1139",11
"1140",6
"1141",6
"1142",9
"1143",1
"1144",9
"1145",10
"1146",6
"1147",3
"1148",6
"1149",9
"1150",7
"1151",5
"1152",3
"1153",4
"1154",4
"1155",3
"1156",8
"1157",9
"1158",8
"1159",8
"1160",9
"1161",9
"1162",2
"1163",11
"1164",8
"1165",9
"1166",2
"1167",6
"1168",6
"1169",6
"1170",8
"1171",8
"1172",9
"1173",3
"1174",3
"1175",11
"1176",4
"1177",9
"1178",7
"1179",8
"1180",8
"1181",3
"1182",3
"1183",4
"1184",7
"1185",3
"1186",2
"1187",10
"1188",6
"1189",6
"1190",6
"1191",6
"1192",4
"1193",4
"1194",3
"1195",1
"1196",6
"1197",10
"1198",4
"1199",4
"1200",8
"1201",6
"1202",6
"1203",9
"1204",1
"1205",9
"1206",1
"1207",6
"1208",3
"1209",8
"1210",8
"1211",9
"1212",4
"1213",2
"1214",8
"1215",8
"1216",4
"1217",6
"1218",9
"1219",3
"1220",10
"1221",3
"1222",6
"1223",9
"1224",7
"1225",3
"1226",4
"1227",6
"1228",9
"1229",8
"1230",1
"1231",9
"1232",9
"1233",3
"1234",11
"1235",6
"1236",9
"1237",9
"1238",9
"1239",9
"1240",9
"1241",8
"1242",6
"1243",4
"1244",6
"1245",1
"1246",8
"1247",8
"1248",1
"1249",11
"1250",1
"1251",6
"1252",7
"1253",1
"1254",10
"1255",8
"1256",4
"1257",1
"1258",6
"1259",4
"1260",11
"1261",6
"1262",1
"1263",6
"1264",8
"1265",10
"1266",9
"1267",6
"1268",8
"1269",6
"1270",9
"1271",4
"1272",6
"1273",1
"1274",10
"1275",9
"1276",9
"1277",3
"1278",4
"1279",1
"1280",6
"1281",8
"1282",4
"1283",1
"1284",5
"1285",2
"1286",1
"1287",6
"1288",1
"1289",9
"1290",10
"1291",6
"1292",8
"1293",6
"1294",6
"1295",6
"1296",2
"1297",6
"1298",5
"1299",4
"1300",8
"1301",6
"1302",6
"1303",8
"1304",1
"1305",9
"1306",8
"1307",1
"1308",1
"1309",8
"1310",1
"1311",6
"1312",8
"1313",8
"1314",6
"1315",4
"1316",2
"1317",8
"1318",4
"1319",1
"1320",8
"1321",6
"1322",9
"1323",6
"1324",7
"1325",3
"1326",10
"1327",8
"1328",3
"1329",8
"1330",6
"1331",9
"1332",6
"1333",9
"1334",6
"1335",8
"1336",8
"1337",1
"1338",8
"1339",8
"1340",9
"1341",6
"1342",8
"1343",8
"1344",6
"1345",9
"1346",9
"1347",8
"1348",4
"1349",9
"1350",4
"1351",6
"1352",8
"1353",1
"1354",9
"1355",4
