"","x"
"1",0.393197579527751
"2",0.476168370596116
"3",0.178710800515056
"4",512.143086993568
"5",22.8381168842316
"6",1
"7",1
"8",4
"9",2
"10",1
"11",3
"12",4
"13",1
"14",1
"15",3
"16",3
"17",4
"18",3
"19",3
"20",3
"21",4
"22",3
"23",3
"24",2
"25",4
"26",2
"27",1
"28",3
"29",4
"30",3
"31",3
"32",1
"33",1
"34",4
"35",3
"36",1
"37",4
"38",3
"39",3
"40",1
"41",4
"42",1
"43",3
"44",4
"45",3
"46",3
"47",3
"48",2
"49",1
"50",3
"51",4
"52",3
"53",4
"54",3
"55",3
"56",3
"57",1
"58",4
"59",1
"60",4
"61",1
"62",4
"63",1
"64",1
"65",3
"66",1
"67",3
"68",3
"69",3
"70",1
"71",3
"72",3
"73",1
"74",4
"75",2
"76",4
"77",3
"78",3
"79",3
"80",3
"81",3
"82",3
"83",1
"84",2
"85",3
"86",3
"87",3
"88",3
"89",3
"90",3
"91",3
"92",3
"93",4
"94",2
"95",1
"96",4
"97",3
"98",4
"99",3
"100",4
"101",3
"102",3
"103",3
"104",3
"105",3
"106",3
"107",2
"108",3
"109",1
"110",1
"111",1
"112",2
"113",3
"114",3
"115",3
"116",2
"117",4
"118",3
"119",3
"120",3
"121",3
"122",3
"123",4
"124",3
"125",4
"126",3
"127",4
"128",3
"129",1
"130",1
"131",3
"132",1
"133",3
"134",3
"135",2
"136",1
"137",3
"138",1
"139",4
"140",1
"141",3
"142",3
"143",4
"144",3
"145",1
"146",4
"147",3
"148",1
"149",3
"150",2
"151",3
"152",3
"153",1
"154",4
"155",3
"156",3
"157",1
"158",1
"159",3
"160",3
"161",1
"162",3
"163",3
"164",1
"165",4
"166",1
"167",3
"168",1
"169",1
"170",3
"171",3
"172",3
"173",1
"174",3
"175",3
"176",1
"177",4
"178",1
"179",1
"180",4
"181",1
"182",1
"183",3
"184",1
"185",1
"186",3
"187",1
"188",3
"189",4
"190",3
"191",3
"192",1
"193",3
"194",3
"195",1
"196",1
"197",2
"198",3
"199",1
"200",3
"201",1
"202",3
"203",1
"204",3
"205",4
"206",4
"207",3
"208",3
"209",1
"210",4
"211",4
"212",1
"213",2
"214",3
"215",3
"216",1
"217",3
"218",4
"219",4
"220",3
"221",3
"222",3
"223",3
"224",3
"225",3
"226",3
"227",1
"228",3
"229",3
"230",3
"231",3
"232",1
"233",3
"234",1
"235",1
"236",3
"237",3
"238",1
"239",3
"240",3
"241",2
"242",3
"243",3
"244",3
"245",1
"246",1
"247",1
"248",1
"249",1
"250",4
"251",4
"252",3
"253",1
"254",4
"255",2
"256",4
"257",4
"258",1
"259",1
"260",1
"261",1
"262",3
"263",3
"264",3
"265",3
"266",1
"267",3
"268",3
"269",1
"270",3
"271",3
"272",3
"273",3
"274",3
"275",2
"276",1
"277",2
"278",3
"279",1
"280",3
"281",4
"282",3
"283",1
"284",3
"285",4
"286",1
"287",1
"288",3
"289",3
"290",2
"291",3
"292",3
"293",1
"294",1
"295",1
"296",3
"297",3
"298",1
"299",4
"300",4
"301",3
"302",1
"303",1
"304",1
"305",3
"306",1
"307",3
"308",3
"309",3
"310",3
"311",1
"312",1
"313",3
"314",3
"315",2
"316",3
"317",1
"318",1
"319",1
"320",1
"321",1
"322",1
"323",3
"324",3
"325",3
"326",1
"327",1
"328",4
"329",4
"330",1
"331",3
"332",3
"333",1
"334",3
"335",1
"336",3
"337",1
"338",3
"339",3
"340",3
"341",4
"342",3
"343",3
"344",1
"345",1
"346",2
"347",1
"348",4
"349",1
"350",4
"351",1
"352",1
"353",1
"354",3
"355",1
"356",1
"357",4
"358",4
"359",1
"360",3
"361",3
"362",1
"363",1
"364",4
"365",1
"366",1
"367",1
"368",3
"369",3
"370",2
"371",3
"372",4
"373",3
"374",1
"375",3
"376",1
"377",3
"378",3
"379",1
"380",4
"381",3
"382",3
"383",3
"384",3
"385",1
"386",1
"387",1
"388",1
"389",1
"390",4
"391",3
"392",3
"393",3
"394",1
"395",3
"396",1
"397",3
"398",1
"399",3
"400",1
"401",2
"402",1
"403",3
"404",3
"405",3
"406",3
"407",3
"408",3
"409",1
"410",3
"411",3
"412",4
"413",1
"414",4
"415",4
"416",4
"417",4
"418",1
"419",3
"420",3
"421",1
"422",4
"423",1
"424",3
"425",4
"426",3
"427",3
"428",1
"429",3
"430",3
"431",3
"432",4
"433",3
"434",1
"435",3
"436",2
"437",3
"438",3
"439",3
"440",2
"441",3
"442",1
"443",3
"444",2
"445",3
"446",1
"447",3
"448",1
"449",4
"450",4
"451",3
"452",1
"453",3
"454",1
"455",4
"456",1
"457",3
"458",3
"459",3
"460",3
"461",1
"462",3
"463",3
"464",1
"465",3
"466",4
"467",3
"468",3
"469",2
"470",3
"471",3
"472",1
"473",1
"474",1
"475",3
"476",3
"477",3
"478",3
"479",4
"480",1
"481",1
"482",1
"483",3
"484",4
"485",3
"486",3
"487",3
"488",1
"489",2
"490",3
"491",3
"492",1
"493",1
"494",4
"495",3
"496",3
"497",3
"498",1
"499",1
"500",1
