"","x"
"1",0.403365741519084
"2",0.482889548402498
"3",0.370711703357772
"4",12860.6412691422
"5",4.65567202568054
"6",1
"7",1
"8",2
"9",1
"10",3
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",3
"21",1
"22",1
"23",3
"24",3
"25",4
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",3
"45",4
"46",1
"47",1
"48",1
"49",4
"50",1
"51",1
"52",4
"53",1
"54",1
"55",1
"56",4
"57",1
"58",1
"59",1
"60",1
"61",2
"62",1
"63",1
"64",3
"65",1
"66",1
"67",4
"68",1
"69",2
"70",3
"71",3
"72",1
"73",1
"74",1
"75",1
"76",5
"77",4
"78",1
"79",1
"80",1
"81",5
"82",3
"83",3
"84",1
"85",3
"86",5
"87",1
"88",1
"89",5
"90",1
"91",2
"92",1
"93",1
"94",1
"95",1
"96",1
"97",3
"98",1
"99",1
"100",4
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",3
"111",1
"112",2
"113",2
"114",5
"115",3
"116",1
"117",1
"118",1
"119",5
"120",1
"121",4
"122",1
"123",1
"124",1
"125",2
"126",1
"127",1
"128",3
"129",2
"130",6
"131",2
"132",5
"133",3
"134",3
"135",1
"136",1
"137",1
"138",3
"139",2
"140",1
"141",7
"142",1
"143",1
"144",1
"145",4
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",4
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",3
"163",5
"164",1
"165",1
"166",1
"167",1
"168",1
"169",3
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",5
"179",1
"180",5
"181",1
"182",3
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",3
"192",1
"193",1
"194",1
"195",1
"196",5
"197",1
"198",1
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",3
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
"213",1
"214",1
"215",8
"216",1
"217",1
"218",1
"219",1
"220",1
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",1
"233",1
"234",1
"235",2
"236",1
"237",1
"238",1
"239",1
"240",1
"241",5
"242",1
"243",1
"244",1
"245",1
"246",1
"247",1
"248",1
"249",1
"250",1
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",3
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",1
"265",1
"266",1
"267",5
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",3
"276",1
"277",1
"278",3
"279",1
"280",1
"281",1
"282",3
"283",1
"284",3
"285",1
"286",3
"287",1
"288",5
"289",1
"290",3
"291",2
"292",3
"293",1
"294",3
"295",1
"296",1
"297",3
"298",1
"299",3
"300",3
"301",3
"302",1
"303",1
"304",1
"305",1
"306",3
"307",1
"308",3
"309",1
"310",1
"311",3
"312",1
"313",3
"314",3
"315",1
"316",3
"317",1
"318",1
"319",3
"320",1
"321",1
"322",1
"323",1
"324",3
"325",1
"326",3
"327",3
"328",1
"329",1
"330",3
"331",1
"332",3
"333",3
"334",1
"335",3
"336",3
"337",3
"338",1
"339",1
"340",3
"341",1
"342",2
"343",1
"344",1
"345",3
"346",1
"347",3
"348",3
"349",3
"350",3
"351",3
"352",1
"353",3
"354",3
"355",2
"356",1
"357",1
"358",1
"359",3
"360",1
"361",1
"362",3
"363",1
"364",3
"365",3
"366",1
"367",3
"368",3
"369",1
"370",5
"371",3
"372",3
"373",1
"374",1
"375",1
"376",1
"377",3
"378",3
"379",3
"380",1
"381",3
"382",3
"383",3
"384",1
"385",3
"386",3
"387",3
"388",3
"389",5
"390",3
"391",4
"392",4
"393",3
"394",4
"395",4
"396",4
"397",3
"398",3
"399",3
"400",3
"401",3
"402",3
"403",3
"404",4
"405",3
"406",3
"407",5
"408",5
"409",4
"410",3
"411",3
"412",3
"413",3
"414",3
"415",4
"416",3
"417",3
"418",3
"419",3
"420",4
"421",4
"422",4
"423",3
"424",4
"425",4
"426",4
"427",4
"428",4
"429",3
"430",3
"431",4
"432",3
"433",4
"434",3
"435",3
"436",5
"437",5
"438",3
"439",2
"440",3
"441",6
"442",3
"443",6
"444",3
"445",3
"446",3
"447",4
"448",3
"449",3
"450",3
"451",4
"452",4
"453",3
"454",3
"455",3
"456",4
"457",4
"458",4
"459",4
"460",4
"461",4
"462",3
"463",4
"464",3
"465",3
"466",3
"467",4
"468",3
"469",3
"470",3
"471",3
"472",3
"473",4
"474",3
"475",4
"476",3
"477",4
"478",3
"479",3
"480",3
"481",3
"482",3
"483",3
"484",3
"485",4
"486",4
"487",3
"488",4
"489",4
"490",3
"491",3
"492",4
"493",3
"494",3
"495",3
"496",9
"497",3
"498",4
"499",4
"500",4
"501",4
"502",3
"503",4
"504",3
"505",4
"506",3
"507",4
"508",3
"509",4
"510",4
"511",3
"512",5
"513",4
"514",4
"515",3
"516",3
"517",4
"518",4
"519",4
"520",3
"521",4
"522",3
"523",4
"524",3
"525",3
"526",4
"527",4
"528",3
"529",3
"530",3
"531",3
"532",3
"533",4
"534",4
"535",3
"536",3
"537",7
"538",4
"539",4
"540",4
"541",4
"542",4
"543",4
"544",3
"545",3
"546",3
"547",3
"548",3
"549",4
"550",4
"551",4
"552",3
"553",4
"554",3
"555",4
"556",3
"557",3
"558",4
"559",4
"560",4
"561",3
"562",4
"563",4
"564",3
"565",5
"566",4
"567",3
"568",4
"569",4
"570",4
"571",3
"572",3
"573",2
"574",4
"575",3
"576",6
"577",4
"578",3
"579",4
"580",3
"581",3
"582",4
"583",3
"584",3
"585",5
"586",3
"587",4
"588",4
"589",5
"590",4
"591",4
"592",5
"593",3
"594",4
"595",5
"596",5
"597",3
"598",3
"599",3
"600",3
"601",5
"602",3
"603",3
"604",3
"605",3
"606",3
"607",4
"608",3
"609",3
"610",4
"611",3
"612",4
"613",3
"614",3
"615",4
"616",4
"617",4
"618",3
"619",4
"620",4
"621",5
"622",3
"623",4
"624",4
"625",4
"626",3
"627",3
"628",4
"629",3
"630",4
"631",4
"632",4
"633",4
"634",3
"635",4
"636",3
"637",4
"638",3
"639",4
"640",4
"641",4
"642",4
"643",4
"644",4
"645",4
"646",4
"647",4
"648",4
"649",3
"650",3
"651",3
"652",4
"653",4
"654",4
"655",4
"656",4
"657",4
"658",3
"659",4
"660",3
"661",3
"662",4
"663",4
"664",3
"665",4
"666",3
"667",4
"668",5
"669",4
"670",4
"671",4
"672",4
"673",4
"674",4
"675",4
"676",4
"677",4
"678",3
"679",4
"680",3
"681",5
"682",3
"683",4
"684",4
"685",3
"686",3
"687",4
"688",4
"689",4
"690",4
"691",4
"692",4
"693",4
"694",4
"695",4
"696",4
"697",4
"698",4
"699",4
"700",4
"701",4
"702",4
"703",4
"704",4
"705",5
"706",4
"707",4
"708",4
"709",4
"710",4
"711",4
"712",4
"713",4
"714",4
"715",4
"716",4
"717",4
"718",4
"719",4
"720",4
"721",4
"722",4
"723",4
"724",4
"725",4
"726",4
"727",4
"728",4
"729",4
"730",4
"731",4
"732",4
"733",4
"734",4
"735",4
"736",4
"737",4
"738",4
"739",4
"740",4
"741",4
"742",4
"743",4
"744",4
"745",4
"746",4
"747",4
"748",4
"749",4
"750",4
"751",4
"752",4
"753",4
"754",4
"755",4
"756",4
"757",4
"758",4
"759",4
"760",4
"761",4
"762",4
"763",4
"764",4
"765",4
"766",6
"767",4
"768",4
"769",4
"770",4
"771",4
"772",4
"773",4
"774",4
"775",4
"776",4
"777",4
"778",4
"779",4
"780",4
"781",4
"782",4
"783",4
"784",7
"785",4
"786",4
"787",4
"788",4
"789",4
"790",4
"791",4
"792",4
"793",4
"794",3
"795",4
"796",4
"797",4
"798",4
"799",4
"800",4
"801",4
"802",4
"803",4
"804",4
"805",4
"806",4
"807",4
"808",4
"809",4
"810",4
"811",5
"812",4
"813",4
"814",4
"815",4
"816",4
"817",4
"818",3
"819",4
"820",4
"821",5
"822",4
"823",4
"824",4
"825",2
"826",4
"827",4
"828",4
"829",4
"830",4
"831",4
"832",4
"833",4
"834",4
"835",4
"836",4
"837",3
"838",4
"839",4
"840",4
"841",4
"842",4
"843",4
"844",4
"845",4
"846",4
"847",4
"848",4
"849",4
"850",4
"851",4
"852",4
"853",4
"854",4
"855",4
"856",5
"857",2
"858",4
"859",4
"860",4
"861",4
"862",5
"863",5
"864",4
"865",4
"866",4
"867",4
"868",4
"869",4
"870",4
"871",4
"872",4
"873",4
"874",4
"875",4
"876",4
"877",4
"878",4
"879",4
"880",4
"881",4
"882",5
"883",4
"884",4
"885",4
"886",4
"887",4
"888",3
"889",4
"890",4
"891",2
"892",4
"893",4
"894",4
"895",4
"896",4
"897",4
"898",4
"899",4
"900",4
"901",4
"902",4
"903",4
"904",4
"905",4
"906",4
"907",4
"908",4
"909",3
"910",4
"911",4
"912",4
"913",4
"914",4
"915",4
"916",4
"917",4
"918",4
"919",4
"920",4
"921",4
"922",4
"923",4
"924",4
"925",4
"926",4
"927",4
"928",4
"929",4
"930",4
"931",4
"932",4
"933",4
"934",4
"935",4
"936",4
"937",4
"938",4
"939",4
"940",4
"941",4
"942",4
"943",4
"944",4
"945",4
"946",4
"947",4
"948",4
"949",4
"950",4
"951",4
"952",4
"953",4
"954",4
"955",4
"956",4
"957",4
"958",4
"959",4
"960",4
"961",4
"962",5
"963",5
"964",4
"965",2
"966",6
"967",4
"968",4
"969",4
"970",4
"971",4
"972",4
"973",4
"974",4
"975",3
"976",4
"977",4
"978",6
"979",4
"980",4
"981",4
"982",4
"983",4
"984",4
"985",4
"986",5
"987",4
"988",6
"989",6
"990",4
