"","x"
"1",0.325840482034984
"2",0.39590243425144
"3",0.139131911950902
"4",417.318860915841
"5",1.19432825644811
"6",3
"7",6
"8",5
"9",6
"10",6
"11",3
"12",6
"13",3
"14",6
"15",6
"16",1
"17",3
"18",6
"19",6
"20",6
"21",6
"22",6
"23",6
"24",6
"25",5
"26",6
"27",1
"28",6
"29",3
"30",1
"31",6
"32",6
"33",5
"34",3
"35",6
"36",6
"37",6
"38",5
"39",6
"40",6
"41",6
"42",6
"43",6
"44",6
"45",5
"46",6
"47",5
"48",6
"49",5
"50",6
"51",6
"52",5
"53",3
"54",6
"55",3
"56",6
"57",6
"58",6
"59",6
"60",6
"61",5
"62",5
"63",3
"64",6
"65",5
"66",3
"67",6
"68",5
"69",5
"70",6
"71",6
"72",6
"73",6
"74",3
"75",6
"76",3
"77",3
"78",3
"79",6
"80",6
"81",3
"82",1
"83",6
"84",5
"85",6
"86",3
"87",6
"88",1
"89",3
"90",3
"91",5
"92",3
"93",6
"94",6
"95",1
"96",1
"97",3
"98",5
"99",6
"100",6
"101",6
"102",6
"103",6
"104",3
"105",6
"106",6
"107",6
"108",5
"109",6
"110",3
"111",6
"112",5
"113",3
"114",3
"115",3
"116",6
"117",6
"118",6
"119",3
"120",6
"121",5
"122",5
"123",6
"124",6
"125",1
"126",6
"127",5
"128",5
"129",5
"130",5
"131",3
"132",3
"133",6
"134",6
"135",6
"136",1
"137",3
"138",1
"139",5
"140",6
"141",5
"142",6
"143",6
"144",1
"145",6
"146",6
"147",5
"148",6
"149",6
"150",6
"151",5
"152",3
"153",5
"154",6
"155",5
"156",3
"157",6
"158",6
"159",3
"160",1
"161",6
"162",3
"163",3
"164",6
"165",6
"166",6
"167",6
"168",6
"169",6
"170",5
"171",3
"172",6
"173",6
"174",6
"175",6
"176",5
"177",6
"178",3
"179",5
"180",5
"181",6
"182",6
"183",6
"184",6
"185",6
"186",6
"187",6
"188",6
"189",6
"190",6
"191",6
"192",6
"193",6
"194",6
"195",5
"196",3
"197",6
"198",6
"199",6
"200",2
"201",6
"202",6
"203",6
"204",3
"205",5
"206",6
"207",6
"208",6
"209",5
"210",6
"211",6
"212",6
"213",3
"214",3
"215",5
"216",6
"217",3
"218",6
"219",5
"220",6
"221",6
"222",3
"223",5
"224",6
"225",2
"226",3
"227",6
"228",6
"229",6
"230",6
"231",6
"232",6
"233",5
"234",5
"235",1
"236",5
"237",3
"238",6
"239",6
"240",5
"241",3
"242",5
"243",6
"244",6
"245",6
"246",6
"247",6
"248",3
"249",6
"250",6
"251",5
"252",1
"253",5
"254",6
"255",6
