"","x"
"1",0.265566457617633
"2",0.45707939736122
"3",-0.000155957831435506
"4",163.342159241471
"5",14.5154545029004
"6",1
"7",2
"8",3
"9",1
"10",2
"11",1
"12",1
"13",1
"14",3
"15",1
"16",1
"17",2
"18",2
"19",1
"20",1
"21",2
"22",1
"23",2
"24",1
"25",1
"26",3
"27",3
"28",1
"29",2
"30",2
"31",2
"32",1
"33",2
"34",1
"35",1
"36",1
"37",1
"38",2
"39",3
"40",2
"41",2
"42",2
"43",2
"44",2
"45",1
"46",2
"47",1
"48",1
"49",2
"50",1
"51",1
"52",1
"53",1
"54",1
"55",3
"56",1
"57",1
"58",2
"59",2
"60",2
"61",1
"62",1
"63",2
"64",1
"65",3
"66",2
"67",1
"68",1
"69",1
"70",2
"71",1
"72",1
"73",1
"74",1
"75",2
"76",2
"77",2
"78",1
"79",1
"80",1
"81",1
"82",3
"83",1
"84",2
"85",1
"86",1
"87",2
"88",4
"89",2
"90",2
"91",1
"92",5
"93",2
"94",2
"95",3
"96",1
"97",1
"98",3
"99",3
"100",1
"101",1
"102",2
"103",1
"104",2
"105",1
"106",5
"107",1
"108",1
"109",2
"110",5
"111",2
"112",1
"113",1
"114",2
"115",2
"116",3
"117",1
"118",2
"119",3
"120",2
"121",1
"122",1
"123",2
"124",2
"125",1
"126",2
"127",1
"128",2
"129",1
"130",2
"131",1
"132",2
"133",1
"134",2
"135",1
"136",2
"137",2
"138",2
"139",1
"140",1
"141",3
"142",2
"143",2
"144",1
"145",2
"146",2
"147",1
"148",2
"149",1
"150",1
"151",2
"152",1
"153",1
"154",1
"155",2
"156",5
"157",1
"158",1
"159",2
"160",2
"161",2
"162",1
"163",2
"164",1
"165",1
"166",2
"167",2
"168",1
"169",1
"170",2
"171",2
"172",3
"173",2
"174",2
"175",1
"176",2
"177",1
"178",2
"179",3
"180",1
"181",1
"182",1
"183",1
"184",3
"185",1
"186",3
"187",1
"188",2
"189",1
"190",2
"191",3
"192",1
"193",1
"194",2
"195",3
"196",1
"197",2
"198",2
"199",4
"200",1
"201",1
"202",2
"203",1
"204",3
"205",2
"206",3
"207",1
"208",2
"209",1
"210",1
"211",1
"212",3
"213",1
"214",3
"215",1
"216",2
"217",2
"218",6
"219",1
