"","x"
"1",0.504442705797434
"2",0.602083966745179
"3",0.0657490427908477
"4",512.804916357618
"5",5.16067003806432
"6",6
"7",9
"8",6
"9",9
"10",9
"11",9
"12",6
"13",9
"14",6
"15",6
"16",9
"17",9
"18",6
"19",9
"20",9
"21",6
"22",9
"23",9
"24",9
"25",6
"26",6
"27",6
"28",9
"29",9
"30",9
"31",6
"32",9
"33",9
"34",9
"35",9
"36",9
"37",9
"38",6
"39",6
"40",6
"41",6
"42",9
"43",9
"44",11
"45",9
"46",9
"47",9
"48",9
"49",6
"50",9
"51",9
"52",9
"53",9
"54",9
"55",6
"56",9
"57",9
"58",9
"59",6
"60",9
"61",9
"62",9
"63",9
"64",9
"65",6
"66",6
"67",9
"68",9
"69",6
"70",9
"71",9
"72",6
"73",6
"74",9
"75",6
"76",6
"77",6
"78",9
"79",9
"80",9
"81",9
"82",6
"83",9
"84",9
"85",9
"86",6
"87",6
"88",6
"89",6
"90",6
"91",9
"92",6
"93",9
"94",6
"95",6
"96",9
"97",9
"98",6
"99",6
"100",9
"101",9
"102",6
"103",9
"104",9
"105",9
"106",4
"107",9
"108",9
"109",9
"110",6
"111",6
"112",9
"113",9
"114",6
"115",6
"116",6
"117",9
"118",9
"119",6
"120",6
"121",9
"122",9
"123",9
"124",11
"125",9
"126",9
"127",9
"128",9
"129",9
"130",6
"131",9
"132",9
"133",9
"134",9
"135",9
"136",6
"137",9
"138",6
"139",9
"140",9
"141",6
"142",6
"143",9
"144",9
"145",6
"146",6
"147",6
"148",9
"149",9
"150",9
"151",6
"152",9
"153",9
"154",9
"155",6
"156",6
"157",9
"158",9
"159",9
"160",9
"161",6
"162",9
"163",6
"164",9
"165",9
"166",5
"167",6
"168",9
"169",9
"170",9
"171",9
"172",6
"173",9
"174",9
"175",9
"176",9
"177",9
"178",6
"179",6
"180",9
"181",1
"182",9
"183",9
"184",6
"185",9
"186",6
"187",9
"188",9
"189",9
"190",9
"191",6
"192",6
"193",9
"194",9
"195",6
"196",9
"197",6
"198",6
"199",6
"200",9
"201",9
"202",6
"203",9
"204",6
"205",6
"206",6
"207",9
"208",6
"209",9
"210",9
"211",9
"212",6
"213",9
"214",6
"215",9
"216",6
"217",6
"218",8
"219",9
"220",6
"221",9
"222",6
"223",6
"224",9
"225",9
"226",9
"227",9
"228",9
"229",6
"230",9
"231",6
"232",9
"233",9
"234",6
"235",9
"236",9
"237",6
"238",9
"239",9
"240",9
"241",6
"242",9
"243",6
"244",6
"245",9
"246",9
"247",9
"248",9
"249",9
"250",6
"251",9
"252",9
"253",9
"254",6
"255",6
"256",5
"257",9
"258",6
"259",9
"260",9
"261",9
"262",9
"263",9
"264",9
"265",6
"266",6
"267",6
"268",9
"269",6
"270",6
"271",9
"272",9
"273",9
"274",6
"275",6
"276",6
"277",6
"278",9
"279",9
"280",6
"281",9
"282",6
"283",6
"284",9
"285",9
"286",6
"287",6
"288",6
"289",9
"290",6
"291",6
"292",6
"293",9
"294",9
"295",6
"296",6
"297",9
"298",6
"299",9
"300",9
"301",5
"302",6
"303",9
"304",9
"305",9
"306",9
"307",6
"308",9
"309",6
"310",9
"311",6
"312",6
"313",9
"314",9
"315",9
"316",6
"317",9
"318",6
"319",9
"320",9
"321",9
"322",9
"323",9
"324",6
"325",6
"326",6
"327",9
"328",9
"329",9
"330",6
"331",6
"332",9
"333",6
"334",9
"335",9
"336",9
"337",9
"338",6
"339",6
"340",9
"341",9
"342",9
"343",9
"344",6
"345",9
"346",9
"347",6
"348",9
"349",9
"350",9
"351",6
"352",9
"353",9
"354",6
"355",6
"356",6
"357",9
"358",6
"359",6
"360",6
"361",9
"362",6
"363",9
"364",6
"365",6
"366",5
"367",6
"368",9
"369",9
"370",9
"371",9
"372",6
"373",6
"374",9
"375",6
"376",9
"377",9
"378",6
"379",9
"380",9
"381",9
"382",9
"383",6
"384",6
"385",9
"386",6
"387",6
"388",9
"389",9
"390",9
"391",6
"392",6
"393",9
"394",9
"395",6
"396",6
"397",9
"398",6
"399",9
"400",6
"401",6
"402",6
"403",9
"404",6
"405",9
"406",9
"407",9
"408",5
"409",9
"410",9
"411",9
"412",6
"413",6
"414",9
"415",9
"416",6
"417",9
"418",9
"419",6
"420",6
"421",6
"422",6
"423",6
"424",6
"425",6
"426",9
"427",9
"428",9
"429",9
"430",6
"431",9
"432",9
"433",6
"434",6
"435",9
"436",6
"437",6
"438",9
"439",9
"440",6
"441",9
"442",6
"443",9
"444",6
"445",6
"446",9
"447",9
"448",9
"449",6
"450",6
"451",9
"452",9
"453",6
"454",6
"455",9
"456",6
"457",6
"458",9
"459",9
"460",9
"461",9
"462",9
"463",8
"464",9
"465",6
"466",6
"467",6
"468",9
"469",6
"470",9
"471",9
"472",6
"473",6
"474",6
"475",9
"476",6
"477",9
"478",9
"479",9
"480",9
"481",9
"482",9
"483",6
"484",9
"485",9
"486",9
"487",9
"488",9
"489",9
"490",6
"491",9
"492",9
"493",9
"494",9
"495",9
"496",9
"497",9
"498",6
"499",6
"500",6
"501",9
"502",9
"503",5
"504",6
"505",9
"506",6
"507",6
"508",9
"509",6
"510",9
"511",6
"512",9
"513",6
"514",9
"515",6
"516",9
"517",9
"518",9
"519",9
"520",6
"521",9
"522",6
"523",9
"524",9
"525",9
"526",9
"527",9
"528",9
"529",6
"530",9
"531",9
"532",6
"533",9
"534",9
"535",9
"536",9
"537",9
"538",9
"539",9
"540",9
"541",6
"542",9
"543",9
"544",9
"545",6
"546",6
"547",5
"548",9
"549",6
"550",6
"551",9
"552",9
"553",9
"554",9
"555",6
"556",9
"557",6
"558",9
"559",6
"560",6
"561",6
"562",9
"563",6
"564",6
"565",6
"566",9
"567",9
"568",6
"569",9
"570",3
"571",9
"572",9
"573",9
"574",9
"575",9
"576",6
"577",9
"578",9
"579",9
"580",9
"581",9
"582",6
"583",9
"584",9
"585",6
"586",6
"587",9
"588",9
"589",6
"590",9
"591",6
"592",6
"593",6
"594",9
"595",9
"596",6
"597",6
"598",6
"599",9
"600",9
"601",9
"602",9
"603",9
"604",6
"605",6
"606",9
"607",9
"608",9
"609",6
"610",6
"611",9
"612",9
"613",9
"614",9
"615",9
"616",9
"617",6
"618",9
"619",9
"620",6
"621",9
"622",6
"623",9
"624",6
"625",6
"626",6
"627",9
"628",6
"629",6
"630",9
"631",6
"632",9
"633",9
"634",9
"635",9
"636",9
"637",6
"638",9
"639",9
"640",8
"641",9
"642",9
"643",6
"644",9
"645",9
"646",9
"647",6
"648",9
"649",9
"650",9
"651",6
"652",6
"653",9
"654",9
"655",9
"656",9
"657",6
"658",11
"659",9
"660",9
"661",9
"662",9
"663",9
"664",9
"665",9
"666",9
"667",9
"668",9
"669",9
"670",9
"671",6
"672",9
"673",6
"674",6
"675",9
"676",6
"677",9
"678",9
"679",9
"680",9
"681",9
"682",5
"683",6
"684",9
"685",6
"686",9
"687",6
"688",6
"689",9
"690",9
"691",9
"692",6
"693",9
"694",6
"695",6
"696",6
"697",6
"698",9
"699",9
"700",9
"701",9
"702",9
"703",6
"704",9
"705",9
"706",6
"707",6
"708",6
"709",6
"710",9
"711",8
"712",9
"713",9
"714",9
"715",6
"716",9
"717",9
"718",9
"719",9
"720",9
"721",9
"722",9
"723",6
"724",9
"725",6
"726",6
"727",9
"728",9
"729",6
"730",9
"731",9
"732",9
"733",6
"734",6
"735",9
"736",9
"737",9
"738",6
"739",9
"740",6
"741",6
"742",9
"743",6
"744",9
"745",9
"746",6
"747",6
"748",9
"749",9
"750",6
"751",9
"752",9
"753",9
"754",9
"755",9
"756",9
"757",9
"758",6
"759",9
"760",9
"761",6
"762",9
"763",11
"764",9
"765",6
"766",6
"767",6
"768",6
"769",6
"770",9
"771",9
"772",6
"773",6
"774",6
"775",9
"776",9
"777",6
"778",6
"779",11
"780",9
"781",9
"782",9
"783",6
"784",9
"785",6
"786",9
"787",9
"788",11
"789",9
"790",6
"791",9
"792",6
"793",6
"794",9
"795",6
"796",6
"797",9
"798",9
"799",6
"800",9
"801",9
"802",11
"803",6
"804",9
"805",5
"806",6
"807",6
"808",9
"809",9
"810",9
"811",9
"812",9
"813",9
"814",9
"815",9
"816",6
"817",9
"818",6
"819",11
"820",9
"821",9
"822",9
"823",6
"824",9
"825",6
"826",6
"827",6
"828",9
"829",9
"830",9
"831",9
"832",9
"833",6
"834",6
"835",9
"836",11
"837",6
"838",11
"839",9
"840",6
"841",6
"842",9
"843",6
"844",6
"845",6
"846",9
"847",9
"848",9
"849",9
"850",6
"851",9
"852",6
"853",9
"854",6
"855",9
"856",9
"857",6
"858",6
"859",9
"860",9
"861",6
"862",6
"863",9
"864",6
"865",9
"866",9
"867",9
"868",6
"869",9
"870",9
"871",9
"872",6
"873",6
"874",9
"875",6
"876",9
"877",9
"878",9
"879",9
"880",6
"881",9
"882",9
"883",9
"884",6
"885",9
"886",6
"887",6
"888",9
"889",5
"890",9
"891",6
"892",9
"893",6
"894",6
"895",9
"896",9
"897",9
"898",9
"899",9
"900",9
"901",9
"902",9
"903",6
"904",11
"905",6
"906",6
"907",6
"908",9
"909",6
"910",9
"911",6
"912",9
"913",9
"914",9
"915",9
"916",9
"917",9
"918",9
"919",6
"920",6
"921",9
"922",9
"923",6
"924",9
"925",6
"926",9
"927",9
"928",5
"929",9
"930",6
"931",9
"932",6
"933",6
"934",6
"935",6
"936",6
"937",6
"938",9
"939",6
"940",9
"941",9
"942",9
"943",6
"944",9
"945",6
"946",6
"947",9
"948",6
"949",6
"950",9
"951",9
"952",9
"953",6
"954",6
"955",9
"956",9
"957",9
"958",9
"959",9
"960",9
"961",6
"962",6
"963",6
"964",9
"965",5
"966",9
"967",6
"968",6
"969",9
"970",6
"971",6
"972",6
"973",9
"974",9
"975",9
"976",9
"977",6
"978",9
"979",9
"980",9
"981",9
"982",9
"983",6
"984",9
"985",9
"986",6
"987",9
"988",9
"989",6
"990",9
"991",9
"992",9
"993",9
"994",9
"995",11
"996",6
"997",9
"998",6
"999",9
"1000",9
"1001",9
"1002",6
"1003",6
"1004",6
"1005",9
"1006",6
"1007",5
"1008",9
"1009",6
"1010",6
"1011",9
"1012",9
"1013",9
"1014",6
"1015",6
"1016",6
"1017",6
"1018",9
"1019",9
"1020",9
"1021",6
"1022",6
"1023",9
"1024",9
"1025",9
"1026",6
"1027",6
"1028",9
"1029",6
"1030",6
"1031",11
"1032",9
"1033",9
"1034",6
"1035",9
"1036",9
"1037",6
"1038",6
"1039",9
"1040",6
"1041",9
"1042",9
"1043",9
"1044",6
"1045",9
"1046",6
"1047",9
"1048",9
"1049",6
"1050",9
"1051",11
"1052",8
"1053",6
"1054",9
"1055",11
"1056",6
"1057",6
"1058",11
"1059",6
"1060",6
"1061",9
"1062",6
"1063",6
"1064",9
"1065",6
"1066",6
"1067",9
"1068",6
"1069",6
"1070",6
"1071",9
"1072",11
"1073",9
"1074",6
"1075",6
"1076",11
"1077",9
"1078",9
"1079",6
"1080",6
"1081",9
"1082",9
"1083",6
"1084",9
"1085",9
"1086",6
"1087",9
"1088",8
"1089",9
"1090",6
"1091",6
"1092",9
"1093",11
"1094",5
"1095",6
"1096",6
"1097",6
"1098",9
"1099",9
"1100",6
"1101",6
"1102",9
"1103",9
"1104",6
