"","x"
"1",0.255767705487182
"2",0.480781846191359
"3",0.156790230658884
"4",12647.7553741074
"5",6.15109829505285
"6",1
"7",2
"8",3
"9",4
"10",3
"11",4
"12",2
"13",2
"14",5
"15",4
"16",2
"17",2
"18",2
"19",3
"20",4
"21",3
"22",5
"23",3
"24",4
"25",5
"26",2
"27",2
"28",5
"29",5
"30",1
"31",1
"32",3
"33",5
"34",3
"35",1
"36",5
"37",5
"38",3
"39",5
"40",3
"41",5
"42",3
"43",2
"44",3
"45",5
"46",1
"47",4
"48",3
"49",1
"50",4
"51",4
"52",5
"53",5
"54",2
"55",2
"56",2
"57",4
"58",2
"59",2
"60",5
"61",3
"62",5
"63",2
"64",5
"65",4
"66",4
"67",5
"68",2
"69",3
"70",2
"71",1
"72",2
"73",2
"74",2
"75",2
"76",5
"77",2
"78",5
"79",2
"80",5
"81",3
"82",5
"83",4
"84",5
"85",2
"86",1
"87",1
"88",1
"89",4
"90",4
"91",2
"92",5
"93",2
"94",3
"95",2
"96",1
"97",3
"98",2
"99",3
"100",2
"101",4
"102",2
"103",5
"104",4
"105",5
"106",4
"107",4
"108",6
"109",1
"110",4
"111",3
"112",2
"113",3
"114",2
"115",2
"116",5
"117",4
"118",5
"119",7
"120",4
"121",3
"122",1
"123",2
"124",2
"125",2
"126",2
"127",5
"128",4
"129",5
"130",4
"131",1
"132",5
"133",2
"134",4
"135",3
"136",5
"137",4
"138",4
"139",5
"140",2
"141",3
"142",2
"143",2
"144",2
"145",2
"146",4
"147",1
"148",1
"149",2
"150",1
"151",2
"152",3
"153",2
"154",3
"155",3
"156",4
"157",4
"158",1
"159",1
"160",1
"161",1
"162",3
"163",4
"164",5
"165",5
"166",1
"167",4
"168",3
"169",3
"170",5
"171",3
"172",5
"173",1
"174",2
"175",4
"176",4
"177",2
"178",1
"179",2
"180",3
"181",2
"182",2
"183",2
"184",1
"185",3
"186",5
"187",5
"188",3
"189",1
"190",4
"191",1
"192",3
"193",2
"194",2
"195",5
"196",1
"197",2
"198",2
"199",2
"200",2
"201",2
"202",5
"203",4
"204",5
"205",1
"206",3
"207",2
"208",4
"209",3
"210",4
"211",5
"212",8
"213",5
"214",3
"215",2
"216",1
"217",2
"218",2
"219",2
"220",5
"221",1
"222",1
"223",5
"224",4
"225",4
"226",2
"227",2
"228",3
"229",2
"230",1
"231",2
"232",1
"233",2
"234",5
"235",4
"236",5
"237",4
"238",5
"239",2
"240",5
"241",2
"242",4
"243",5
"244",1
"245",4
"246",2
"247",2
"248",4
"249",4
"250",5
"251",4
"252",1
"253",5
"254",3
"255",2
"256",2
"257",5
"258",3
"259",2
"260",2
"261",5
"262",2
"263",5
"264",2
"265",2
"266",5
"267",2
"268",4
"269",5
"270",2
"271",1
"272",1
"273",4
"274",1
"275",1
"276",4
"277",1
"278",4
"279",5
"280",4
"281",5
"282",2
"283",5
"284",4
"285",3
"286",2
"287",1
