"","x"
"1",0.213603261070654
"2",0.340102168172089
"3",0.13342613999758
"4",296.085433388795
"5",3.38651982943217
"6",1
"7",2
"8",3
"9",4
"10",3
"11",3
"12",2
"13",5
"14",6
"15",1
"16",2
"17",7
"18",5
"19",2
"20",8
"21",2
"22",9
"23",3
"24",8
"25",7
"26",1
"27",1
"28",10
"29",6
"30",2
"31",5
"32",3
"33",3
"34",2
"35",2
"36",5
"37",8
"38",2
"39",6
"40",2
"41",5
"42",5
"43",7
"44",2
"45",2
"46",4
"47",5
"48",6
"49",1
"50",5
"51",9
"52",2
"53",2
"54",2
"55",4
"56",11
"57",2
"58",3
"59",8
"60",1
"61",11
"62",7
"63",2
"64",4
"65",11
"66",1
"67",5
"68",3
"69",2
"70",1
"71",12
"72",5
"73",5
"74",13
"75",4
"76",1
"77",2
"78",4
"79",5
"80",7
"81",3
"82",9
"83",2
"84",2
"85",5
"86",5
"87",9
"88",2
"89",2
"90",1
"91",1
"92",5
"93",1
"94",5
"95",11
"96",1
"97",6
"98",2
"99",7
"100",2
"101",2
"102",4
"103",12
"104",6
"105",7
"106",2
"107",2
"108",9
"109",3
"110",1
"111",5
"112",6
"113",9
"114",2
"115",11
"116",2
"117",5
"118",8
"119",5
"120",3
"121",3
"122",2
"123",9
"124",2
"125",2
"126",2
"127",1
"128",6
"129",2
"130",6
"131",2
"132",3
"133",2
"134",1
"135",1
"136",9
"137",1
"138",6
"139",3
"140",4
"141",6
"142",13
"143",6
"144",1
"145",5
"146",4
"147",5
"148",8
"149",9
"150",1
"151",6
"152",1
"153",2
"154",4
"155",2
"156",8
"157",1
"158",8
"159",11
"160",5
"161",3
"162",2
"163",11
"164",2
"165",5
"166",12
"167",7
"168",1
"169",5
"170",11
"171",3
"172",5
"173",8
"174",14
"175",1
"176",5
"177",9
"178",7
"179",11
"180",1
"181",2
"182",6
"183",1
"184",2
"185",4
"186",2
"187",4
"188",2
"189",2
"190",5
"191",5
"192",2
"193",8
"194",5
"195",3
"196",9
"197",5
"198",9
"199",7
"200",2
"201",7
"202",2
"203",2
"204",7
"205",3
"206",2
"207",7
"208",2
"209",1
"210",7
"211",5
"212",6
"213",2
"214",4
"215",4
"216",4
"217",2
"218",1
"219",11
"220",1
"221",2
"222",3
"223",5
"224",6
"225",6
"226",4
"227",2
"228",8
"229",4
"230",5
"231",1
"232",7
"233",3
"234",4
"235",6
"236",4
"237",5
"238",2
"239",7
"240",6
"241",5
"242",6
"243",7
"244",5
"245",8
"246",7
"247",2
"248",1
"249",2
"250",2
"251",1
"252",1
"253",6
"254",11
"255",3
"256",2
"257",2
"258",2
"259",7
"260",2
"261",8
"262",5
"263",7
"264",3
"265",6
"266",8
"267",1
"268",7
"269",5
"270",11
"271",1
"272",2
"273",9
"274",1
"275",1
"276",4
"277",2
"278",9
"279",6
"280",2
"281",11
"282",2
"283",5
"284",12
"285",12
"286",6
"287",2
"288",2
"289",8
"290",7
"291",2
"292",9
"293",5
"294",5
"295",2
"296",2
"297",9
"298",6
"299",9
"300",4
"301",5
"302",2
"303",7
"304",2
"305",8
"306",12
"307",1
"308",7
"309",2
"310",6
"311",3
"312",2
"313",2
"314",2
"315",3
"316",1
"317",3
"318",11
"319",2
"320",7
"321",4
"322",2
"323",2
"324",5
"325",5
"326",14
"327",7
"328",1
"329",2
"330",7
"331",5
"332",1
"333",8
"334",2
"335",2
"336",6
"337",5
"338",5
"339",3
"340",2
"341",6
"342",3
"343",6
"344",6
"345",11
"346",6
"347",9
"348",2
"349",4
"350",3
"351",2
"352",9
"353",1
"354",5
"355",3
"356",1
"357",2
"358",2
"359",1
"360",3
"361",12
"362",2
"363",2
"364",2
"365",5
"366",7
"367",2
"368",2
"369",6
"370",5
"371",3
"372",6
"373",2
"374",2
"375",9
"376",2
"377",6
"378",12
"379",6
"380",2
"381",8
"382",3
"383",3
"384",3
"385",6
"386",6
"387",5
"388",6
"389",11
"390",4
"391",5
"392",2
"393",9
"394",2
"395",5
"396",2
"397",2
"398",1
"399",6
"400",7
"401",11
"402",5
"403",4
"404",5
"405",1
"406",1
"407",8
"408",7
"409",5
"410",2
"411",5
"412",2
"413",5
"414",2
"415",7
"416",5
"417",4
"418",5
"419",6
"420",4
"421",6
"422",3
"423",5
"424",2
"425",1
"426",6
"427",2
"428",1
"429",9
"430",5
"431",1
"432",3
"433",4
"434",9
"435",2
"436",1
"437",5
"438",5
"439",6
"440",7
"441",5
"442",8
"443",9
"444",1
"445",8
"446",3
"447",7
"448",1
"449",2
"450",7
"451",9
"452",1
"453",1
"454",8
"455",7
"456",9
"457",1
"458",2
"459",2
"460",11
"461",2
"462",6
"463",2
"464",9
"465",14
"466",11
"467",4
"468",2
"469",1
"470",1
"471",3
"472",4
"473",4
"474",2
"475",7
"476",5
"477",1
"478",1
"479",12
"480",1
"481",5
"482",5
"483",2
"484",5
"485",5
"486",5
"487",5
"488",8
"489",9
"490",9
"491",2
"492",2
"493",9
"494",8
"495",2
"496",1
"497",3
"498",7
"499",1
"500",2
"501",2
"502",8
"503",5
"504",8
"505",4
"506",2
"507",9
"508",1
"509",2
"510",9
"511",5
"512",5
"513",6
"514",2
"515",2
"516",1
"517",4
"518",8
"519",8
"520",1
"521",2
"522",6
"523",4
"524",6
"525",2
"526",6
"527",11
"528",1
"529",2
"530",5
"531",6
"532",5
"533",2
"534",3
"535",8
"536",5
"537",5
"538",5
"539",2
"540",2
"541",6
"542",6
"543",7
"544",2
"545",4
"546",8
"547",2
"548",2
"549",2
"550",6
"551",5
"552",6
"553",4
"554",6
"555",8
"556",5
"557",5
"558",12
"559",2
"560",2
"561",9
"562",6
"563",2
"564",4
"565",1
"566",2
"567",1
"568",2
"569",3
"570",2
"571",11
"572",9
"573",5
"574",9
"575",7
"576",1
"577",11
"578",2
"579",4
"580",4
"581",7
"582",5
"583",2
"584",3
"585",1
"586",2
"587",8
"588",6
"589",5
"590",2
"591",9
"592",2
"593",8
"594",2
"595",2
"596",4
"597",12
"598",5
"599",5
"600",6
"601",5
"602",7
"603",1
"604",8
"605",8
"606",5
"607",3
"608",3
"609",2
"610",3
"611",8
"612",5
"613",4
"614",12
"615",12
"616",8
"617",6
"618",2
"619",6
"620",3
"621",2
"622",2
"623",7
"624",11
"625",2
"626",6
"627",5
"628",3
"629",7
"630",2
"631",3
"632",12
"633",2
"634",11
"635",5
"636",2
"637",9
"638",11
"639",7
"640",1
"641",11
"642",5
"643",9
"644",2
"645",2
"646",11
"647",6
"648",2
"649",2
"650",2
"651",2
"652",11
"653",5
"654",5
"655",3
"656",10
"657",2
"658",2
"659",5
"660",9
"661",5
"662",2
"663",12
"664",4
"665",6
"666",6
"667",2
"668",2
"669",2
"670",3
"671",9
"672",5
"673",4
"674",2
"675",2
"676",2
"677",8
"678",2
"679",5
"680",8
"681",2
"682",5
"683",5
"684",7
"685",6
"686",6
"687",2
"688",8
"689",2
"690",2
"691",5
"692",2
"693",11
"694",2
"695",11
"696",8
"697",5
"698",1
"699",1
"700",6
"701",2
"702",5
"703",2
"704",4
"705",2
"706",2
"707",2
"708",6
"709",2
"710",1
"711",2
"712",2
"713",9
"714",7
"715",2
"716",3
"717",6
"718",4
"719",11
"720",14
"721",3
"722",1
"723",2
"724",1
"725",6
"726",11
"727",8
"728",7
"729",5
"730",8
"731",2
"732",3
"733",6
"734",8
"735",5
"736",2
"737",1
"738",5
"739",5
"740",4
"741",9
"742",2
"743",4
"744",2
"745",5
"746",2
"747",3
"748",7
"749",5
"750",5
"751",2
"752",4
"753",4
"754",7
"755",5
"756",4
"757",8
"758",3
"759",8
"760",9
"761",5
"762",9
"763",5
"764",2
"765",5
"766",2
"767",2
"768",7
"769",9
"770",2
"771",4
"772",5
"773",2
"774",9
"775",3
"776",4
"777",2
"778",12
"779",4
"780",5
"781",6
"782",8
"783",1
"784",2
"785",2
"786",4
"787",5
"788",6
"789",2
"790",6
"791",1
"792",9
"793",6
"794",4
"795",6
"796",2
"797",2
"798",8
"799",6
"800",1
"801",5
"802",3
"803",1
"804",6
"805",12
"806",8
"807",6
"808",5
"809",11
"810",3
"811",8
"812",1
"813",3
"814",1
"815",12
"816",1
"817",1
"818",2
"819",1
"820",5
"821",2
"822",4
"823",2
"824",9
"825",7
"826",3
"827",3
"828",2
"829",12
"830",2
"831",7
"832",8
"833",2
"834",1
"835",8
"836",2
"837",2
"838",3
"839",3
"840",9
"841",1
"842",11
"843",5
"844",2
"845",2
"846",3
"847",9
"848",6
"849",1
"850",7
"851",2
"852",4
"853",7
"854",2
"855",3
"856",2
"857",5
"858",3
"859",9
"860",7
"861",2
"862",2
"863",1
"864",2
"865",3
"866",5
"867",11
"868",8
"869",4
"870",4
"871",4
"872",7
"873",2
"874",8
"875",5
"876",5
"877",5
"878",2
"879",5
"880",3
"881",5
"882",7
"883",11
"884",2
"885",6
"886",5
"887",6
"888",12
"889",12
"890",2
"891",7
"892",12
"893",7
"894",3
"895",1
"896",7
"897",7
"898",9
"899",12
"900",12
"901",2
"902",1
"903",5
"904",8
"905",5
"906",2
"907",5
"908",5
"909",2
"910",1
"911",6
"912",1
"913",2
"914",5
"915",7
"916",1
"917",4
"918",1
"919",6
"920",12
"921",1
"922",5
"923",12
"924",2
"925",5
"926",8
"927",2
"928",5
"929",2
"930",1
"931",5
"932",6
"933",4
"934",2
"935",3
"936",5
"937",8
"938",9
"939",5
"940",8
"941",3
"942",8
"943",11
"944",7
"945",2
"946",2
"947",2
"948",5
"949",1
"950",4
"951",8
"952",5
"953",5
"954",5
"955",7
"956",8
"957",2
"958",6
"959",4
"960",4
"961",2
"962",11
"963",2
"964",8
"965",7
"966",2
"967",6
"968",2
"969",8
"970",11
"971",11
"972",1
"973",5
"974",2
"975",7
"976",8
"977",9
"978",4
"979",2
"980",6
"981",5
"982",3
"983",9
"984",2
"985",2
"986",11
"987",8
"988",1
"989",1
"990",2
"991",9
"992",14
"993",12
"994",2
"995",14
"996",2
"997",2
"998",11
"999",1
"1000",1
"1001",2
"1002",1
"1003",2
"1004",1
"1005",4
"1006",7
"1007",4
"1008",4
"1009",1
"1010",1
"1011",2
"1012",6
"1013",6
"1014",5
"1015",1
"1016",12
"1017",5
"1018",2
"1019",1
"1020",10
"1021",1
"1022",2
"1023",5
"1024",1
"1025",4
"1026",2
"1027",4
"1028",4
"1029",2
"1030",2
"1031",11
"1032",6
"1033",2
"1034",7
"1035",7
"1036",2
"1037",9
"1038",2
"1039",2
"1040",2
"1041",2
"1042",3
"1043",1
"1044",5
"1045",8
"1046",6
"1047",11
"1048",3
"1049",2
"1050",11
"1051",2
"1052",4
"1053",8
"1054",2
"1055",4
"1056",7
"1057",7
"1058",1
"1059",9
"1060",5
"1061",6
"1062",6
"1063",2
"1064",3
"1065",5
"1066",1
"1067",3
"1068",5
"1069",12
"1070",6
"1071",4
"1072",2
"1073",2
"1074",2
"1075",2
"1076",6
"1077",5
"1078",8
"1079",5
"1080",5
"1081",1
"1082",6
"1083",2
"1084",1
"1085",2
"1086",9
"1087",2
"1088",9
"1089",5
"1090",4
"1091",1
"1092",7
"1093",2
"1094",7
"1095",9
"1096",2
"1097",2
"1098",2
"1099",7
"1100",12
"1101",2
"1102",1
"1103",2
"1104",1
"1105",6
"1106",2
"1107",2
"1108",6
"1109",5
"1110",3
"1111",7
"1112",2
"1113",2
"1114",2
"1115",2
"1116",4
"1117",5
"1118",1
"1119",1
"1120",4
"1121",2
"1122",2
"1123",2
"1124",1
"1125",7
"1126",1
"1127",7
"1128",9
"1129",1
"1130",5
"1131",5
"1132",2
"1133",7
"1134",7
"1135",5
"1136",2
"1137",1
"1138",2
"1139",2
"1140",4
"1141",1
"1142",7
"1143",9
"1144",8
"1145",1
"1146",2
"1147",4
"1148",11
"1149",5
"1150",8
"1151",5
"1152",12
"1153",2
"1154",5
"1155",3
"1156",11
"1157",1
"1158",2
"1159",5
"1160",6
"1161",8
"1162",1
"1163",5
"1164",1
"1165",2
"1166",2
"1167",2
"1168",8
"1169",5
"1170",5
"1171",11
"1172",3
"1173",2
"1174",3
"1175",9
"1176",11
"1177",7
"1178",2
"1179",6
"1180",12
"1181",2
"1182",4
"1183",2
"1184",5
"1185",6
"1186",7
"1187",3
"1188",6
"1189",7
"1190",5
"1191",5
"1192",1
"1193",2
"1194",2
"1195",4
"1196",11
"1197",2
"1198",12
"1199",4
"1200",6
"1201",5
"1202",1
"1203",6
"1204",2
"1205",9
"1206",2
"1207",11
"1208",2
"1209",1
"1210",1
"1211",12
"1212",2
"1213",11
"1214",2
"1215",4
"1216",4
"1217",12
"1218",5
"1219",3
"1220",5
"1221",2
"1222",6
"1223",2
"1224",5
"1225",7
"1226",7
"1227",2
"1228",2
"1229",2
"1230",2
"1231",5
"1232",7
"1233",2
"1234",5
"1235",2
"1236",2
"1237",4
"1238",3
"1239",2
"1240",2
"1241",2
"1242",2
"1243",6
"1244",6
"1245",5
"1246",7
"1247",7
"1248",2
"1249",2
"1250",11
"1251",8
"1252",6
"1253",12
"1254",3
"1255",3
"1256",8
"1257",5
"1258",4
"1259",2
"1260",3
"1261",2
"1262",3
"1263",6
"1264",11
"1265",5
"1266",3
"1267",2
"1268",9
"1269",7
"1270",6
"1271",7
"1272",7
"1273",1
"1274",2
"1275",9
"1276",3
"1277",5
"1278",2
"1279",2
"1280",2
"1281",5
"1282",4
"1283",2
"1284",1
"1285",2
"1286",3
"1287",2
"1288",2
"1289",2
"1290",5
"1291",3
"1292",2
"1293",3
"1294",4
"1295",11
"1296",5
"1297",4
"1298",5
"1299",2
"1300",5
"1301",1
"1302",9
"1303",3
"1304",7
"1305",8
"1306",1
"1307",6
"1308",12
"1309",3
"1310",2
"1311",2
"1312",7
"1313",2
"1314",7
"1315",1
"1316",4
"1317",3
"1318",5
"1319",2
"1320",1
"1321",5
"1322",2
"1323",2
"1324",2
"1325",7
"1326",5
"1327",7
"1328",5
"1329",5
"1330",8
"1331",2
"1332",3
"1333",2
"1334",5
"1335",2
"1336",3
"1337",6
"1338",2
"1339",12
"1340",3
"1341",2
"1342",3
"1343",9
"1344",9
"1345",1
"1346",7
"1347",6
"1348",9
"1349",1
"1350",6
"1351",5
"1352",9
"1353",3
"1354",12
"1355",9
"1356",2
"1357",6
"1358",5
"1359",6
"1360",6
"1361",8
"1362",11
"1363",1
"1364",5
"1365",9
"1366",1
"1367",11
"1368",2
"1369",3
"1370",1
"1371",1
"1372",5
"1373",1
"1374",1
"1375",2
"1376",8
"1377",2
"1378",5
"1379",4
"1380",1
"1381",5
"1382",8
"1383",1
"1384",5
"1385",14
"1386",1
"1387",1
"1388",9
"1389",5
