"","x"
"1",0.361939488837792
"2",0.625640701150241
"3",0.272114408431308
"4",7151.17781549744
"5",10.366134818395
"6",1
"7",2
"8",3
"9",4
"10",5
"11",3
"12",6
"13",5
"14",1
"15",7
"16",1
"17",8
"18",5
"19",1
"20",5
"21",1
"22",5
"23",9
"24",10
"25",8
"26",1
"27",6
"28",1
"29",5
"30",8
"31",11
"32",12
"33",12
"34",1
"35",1
"36",3
"37",11
"38",1
"39",11
"40",1
"41",5
"42",10
"43",8
"44",13
"45",1
"46",2
"47",14
"48",11
"49",1
"50",9
"51",11
"52",2
"53",2
"54",6
"55",4
"56",1
"57",1
"58",12
"59",3
"60",11
"61",11
"62",13
"63",1
"64",9
"65",8
"66",11
"67",11
"68",12
"69",8
"70",5
"71",11
"72",5
"73",3
"74",15
"75",2
"76",6
"77",1
"78",2
"79",11
"80",8
"81",12
"82",11
"83",16
"84",1
"85",5
"86",17
"87",11
"88",1
"89",9
"90",5
"91",1
"92",17
"93",11
"94",17
"95",11
"96",6
"97",5
"98",16
"99",6
"100",1
"101",6
"102",2
"103",7
"104",11
"105",8
"106",1
"107",6
"108",5
"109",14
"110",8
"111",5
"112",11
"113",10
"114",1
"115",2
"116",6
"117",18
"118",5
"119",10
"120",12
"121",3
"122",1
"123",11
"124",1
"125",2
"126",6
"127",1
"128",5
"129",13
"130",11
"131",13
"132",17
"133",5
"134",1
"135",16
"136",11
"137",8
"138",11
"139",17
"140",11
"141",10
"142",15
"143",1
"144",13
"145",17
"146",2
"147",17
"148",17
"149",5
"150",6
"151",5
"152",8
"153",13
"154",2
"155",2
"156",17
"157",2
"158",3
"159",2
"160",5
"161",12
"162",7
"163",1
"164",1
"165",3
"166",11
"167",6
"168",16
"169",14
"170",13
"171",3
"172",11
"173",3
"174",12
"175",16
"176",14
"177",10
"178",8
"179",6
"180",19
"181",2
"182",2
"183",2
"184",6
"185",4
"186",6
"187",2
"188",6
"189",1
"190",17
"191",18
"192",1
"193",17
"194",9
"195",12
"196",11
"197",10
"198",5
"199",8
"200",1
"201",8
"202",13
"203",6
"204",8
"205",19
"206",16
"207",8
"208",1
"209",6
"210",8
"211",9
"212",11
"213",13
"214",2
"215",2
"216",17
"217",1
"218",13
"219",2
"220",11
"221",16
"222",12
"223",20
"224",16
"225",16
"226",2
"227",11
"228",3
"229",17
"230",3
"231",11
"232",8
"233",18
"234",10
"235",10
"236",5
"237",9
"238",2
"239",8
"240",11
"241",3
"242",3
"243",8
"244",3
"245",4
"246",8
"247",1
"248",6
"249",1
"250",1
"251",13
"252",1
"253",10
"254",11
"255",18
"256",13
"257",6
"258",6
"259",13
"260",8
"261",9
"262",5
"263",8
"264",10
"265",10
"266",17
"267",5
"268",8
"269",17
"270",6
"271",7
"272",1
"273",11
"274",1
"275",16
"276",5
"277",13
"278",11
"279",10
"280",13
"281",13
"282",1
"283",5
"284",11
"285",11
"286",17
"287",2
"288",2
"289",17
"290",8
"291",1
"292",7
"293",3
"294",4
"295",1
"296",6
"297",5
"298",2
"299",5
"300",10
"301",10
"302",1
"303",13
"304",2
"305",5
"306",5
"307",2
"308",8
"309",11
"310",5
"311",7
"312",1
"313",6
"314",1
"315",14
"316",13
"317",12
"318",11
"319",1
"320",6
"321",2
"322",13
"323",13
"324",4
"325",5
"326",12
"327",8
"328",2
"329",8
"330",13
"331",17
"332",16
"333",3
"334",2
"335",13
"336",5
"337",11
"338",5
"339",18
"340",1
"341",1
"342",12
"343",5
"344",11
"345",11
"346",17
"347",11
"348",6
"349",10
"350",20
"351",13
"352",11
"353",8
"354",4
"355",9
"356",16
"357",13
"358",8
"359",1
"360",5
"361",5
"362",16
"363",1
"364",1
"365",3
"366",8
"367",11
"368",2
"369",11
"370",5
"371",5
"372",5
"373",6
"374",6
"375",11
"376",2
"377",5
"378",11
"379",11
"380",5
"381",9
"382",11
"383",3
"384",7
"385",11
"386",11
"387",20
"388",11
"389",2
"390",2
"391",5
"392",11
"393",7
"394",6
"395",17
"396",13
"397",2
"398",1
"399",5
"400",8
"401",2
"402",5
"403",3
"404",3
"405",6
"406",2
"407",4
"408",6
"409",5
"410",1
"411",2
"412",16
"413",10
"414",16
"415",8
"416",5
"417",2
"418",5
"419",11
"420",19
"421",1
"422",5
"423",7
"424",2
"425",13
"426",5
"427",1
"428",11
"429",7
"430",16
"431",10
"432",12
"433",13
"434",16
"435",13
"436",2
"437",3
"438",14
"439",17
"440",8
"441",9
"442",17
"443",11
"444",8
"445",5
"446",7
"447",8
"448",11
"449",6
"450",8
"451",7
"452",8
"453",1
"454",11
"455",8
"456",5
"457",11
"458",1
