"","x"
"1",0.270349730622225
"2",0.495321602019793
"3",0.00496280640992416
"4",203.657419000111
"5",1.12395752271016
"6",13
"7",4
"8",10
"9",10
"10",8
"11",10
"12",10
"13",8
"14",2
"15",13
"16",2
"17",4
"18",14
"19",2
"20",16
"21",13
"22",3
"23",13
"24",3
"25",13
"26",13
"27",9
"28",13
"29",8
"30",4
"31",13
"32",12
"33",12
"34",2
"35",2
"36",10
"37",8
"38",2
"39",8
"40",13
"41",8
"42",3
"43",2
"44",4
"45",2
"46",4
"47",10
"48",8
"49",13
"50",3
"51",8
"52",4
"53",4
"54",2
"55",10
"56",13
"57",13
"58",12
"59",10
"60",13
"61",8
"62",4
"63",13
"64",13
"65",13
"66",8
"67",14
"68",12
"69",13
"70",8
"71",8
"72",8
"73",10
"74",10
"75",13
"76",13
"77",2
"78",13
"79",8
"80",13
"81",12
"82",8
"83",2
"84",4
"85",8
"86",13
"87",8
"88",13
"89",10
"90",2
"91",2
"92",13
"93",8
"94",13
"95",8
"96",2
"97",8
"98",13
"99",13
"100",13
"101",13
"102",4
"103",8
"104",8
"105",13
"106",2
"107",13
"108",3
"109",8
"110",2
"111",16
"112",8
"113",9
"114",2
"115",13
"116",2
"117",1
"118",2
"119",14
"120",12
"121",10
"122",13
"123",8
"124",2
"125",2
"126",13
"127",13
"128",13
"129",13
"130",8
"131",13
"132",13
"133",8
"134",2
"135",13
"136",8
"137",4
"138",8
"139",13
"140",13
"141",9
"142",13
"143",13
"144",2
"145",13
"146",4
"147",13
"148",13
"149",3
"150",13
"151",8
"152",2
"153",4
"154",4
"155",13
"156",13
"157",13
"158",10
"159",13
"160",8
"161",12
"162",8
"163",2
"164",13
"165",10
"166",8
"167",13
"168",13
"169",10
"170",13
"171",10
"172",3
"173",10
"174",12
"175",13
"176",10
"177",3
"178",2
"179",13
"180",10
"181",13
"182",4
"183",13
"184",2
"185",10
"186",2
"187",4
"188",13
"189",13
"190",13
"191",1
"192",13
"193",13
"194",3
"195",12
"196",8
"197",8
"198",8
"199",13
"200",13
"201",4
"202",4
"203",2
"204",2
"205",10
"206",13
"207",2
"208",13
"209",2
"210",2
"211",13
"212",8
"213",4
"214",7
"215",4
"216",13
"217",13
"218",13
"219",13
"220",8
"221",13
"222",12
"223",14
"224",2
"225",2
"226",13
"227",2
"228",10
"229",13
"230",10
"231",8
"232",2
"233",1
"234",16
"235",3
"236",8
"237",3
"238",13
"239",13
"240",8
"241",10
"242",10
"243",13
"244",10
"245",10
"246",2
"247",13
"248",2
"249",13
"250",13
"251",13
"252",13
"253",9
"254",13
"255",1
"256",4
"257",2
"258",13
"259",2
"260",2
"261",3
"262",8
"263",4
"264",14
"265",3
"266",13
"267",8
"268",4
"269",13
"270",13
"271",4
"272",13
"273",8
"274",2
"275",2
"276",16
"277",4
"278",8
"279",3
"280",2
"281",4
"282",2
"283",16
"284",8
"285",8
"286",8
"287",4
"288",13
"289",13
"290",4
"291",13
"292",8
"293",10
"294",10
"295",2
"296",13
"297",8
"298",4
"299",8
"300",3
"301",3
"302",2
"303",4
"304",13
"305",8
"306",8
"307",13
"308",13
"309",8
"310",8
"311",13
"312",2
"313",13
"314",13
"315",10
"316",13
"317",12
"318",8
"319",13
"320",2
"321",13
"322",4
"323",4
"324",10
"325",16
"326",12
"327",13
"328",4
"329",2
"330",4
"331",13
"332",13
"333",10
"334",4
"335",2
"336",8
"337",8
"338",16
"339",1
"340",13
"341",2
"342",12
"343",8
"344",8
"345",8
"346",8
"347",8
"348",13
"349",3
"350",10
"351",13
"352",8
"353",2
"354",10
"355",3
"356",13
