"","x"
"1",0.543783769678763
"2",0.661817222681404
"3",0.532732599321252
"4",189.782683920985
"5",2.07419729232788
"6",1
"7",2
"8",1
"9",3
"10",1
"11",1
"12",1
"13",4
"14",5
"15",3
"16",6
"17",7
"18",5
"19",2
"20",1
"21",8
"22",6
"23",9
"24",10
"25",6
"26",2
"27",8
"28",5
"29",9
"30",10
"31",2
"32",2
"33",2
"34",10
"35",8
"36",10
"37",8
"38",1
"39",5
"40",6
"41",9
"42",6
"43",8
"44",2
"45",7
"46",2
"47",5
"48",2
"49",11
"50",9
"51",1
"52",1
"53",7
"54",3
"55",4
"56",8
"57",4
"58",6
"59",5
"60",5
"61",1
"62",1
"63",10
"64",6
"65",4
"66",10
"67",3
"68",6
"69",6
"70",1
"71",6
"72",10
"73",11
"74",4
"75",3
"76",1
"77",2
"78",3
"79",8
"80",6
"81",11
"82",3
"83",3
"84",1
"85",5
"86",8
"87",8
"88",1
"89",4
"90",1
"91",9
"92",2
"93",2
"94",1
"95",1
"96",11
"97",7
"98",10
"99",7
"100",2
"101",1
"102",9
"103",6
"104",2
"105",1
"106",1
"107",8
"108",1
"109",2
"110",1
"111",7
"112",1
"113",11
"114",10
"115",9
"116",8
"117",6
"118",3
"119",4
"120",2
"121",1
"122",3
