"","x"
"1",0.0926916373813447
"2",0.143463809554653
"3",-0.16782389964272
"4",117.601422773336
"5",1.95658868948619
"6",9
"7",10
"8",10
"9",9
"10",10
"11",9
"12",9
"13",10
"14",9
"15",9
"16",6
"17",4
"18",1
"19",2
"20",10
"21",5
"22",3
"23",2
"24",10
"25",1
"26",5
"27",3
"28",5
"29",3
"30",5
"31",4
"32",4
"33",1
"34",7
"35",9
"36",7
"37",5
"38",6
"39",2
"40",4
"41",2
"42",2
"43",5
"44",1
"45",8
"46",10
"47",4
"48",7
"49",10
"50",10
"51",2
"52",9
"53",6
"54",7
"55",10
"56",5
"57",2
"58",5
"59",7
"60",9
"61",2
"62",1
"63",10
"64",2
"65",3
"66",2
"67",9
"68",10
"69",9
"70",1
"71",3
"72",9
"73",6
"74",4
"75",5
"76",1
"77",9
"78",4
"79",1
"80",5
"81",1
"82",4
"83",7
"84",8
"85",1
"86",1
"87",10
"88",10
"89",10
"90",6
"91",3
"92",8
"93",7
"94",5
"95",1
"96",1
"97",1
"98",2
"99",2
"100",6
"101",9
"102",9
"103",2
"104",2
"105",1
"106",2
"107",5
"108",1
"109",2
"110",3
"111",7
"112",2
"113",2
"114",4
"115",7
"116",1
"117",4
"118",8
"119",5
"120",10
"121",2
"122",4
"123",1
"124",1
"125",6
"126",6
"127",1
"128",9
"129",3
"130",10
"131",10
"132",10
"133",7
"134",6
"135",5
"136",1
"137",8
"138",3
"139",1
"140",1
"141",10
"142",9
"143",9
"144",2
"145",5
"146",10
"147",5
"148",4
"149",9
"150",3
"151",9
"152",2
"153",7
"154",5
"155",2
"156",3
"157",1
"158",4
"159",8
"160",9
"161",9
"162",1
"163",2
"164",2
"165",2
"166",3
"167",3
"168",10
"169",5
"170",6
"171",5
"172",5
"173",6
"174",2
"175",10
"176",2
"177",5
"178",7
"179",3
"180",9
"181",1
"182",9
"183",9
"184",10
"185",9
"186",1
"187",4
"188",7
"189",5
"190",7
"191",2
"192",10
"193",2
"194",1
"195",1
"196",4
"197",6
"198",6
"199",7
"200",9
"201",2
"202",4
"203",10
"204",1
"205",9
"206",8
"207",4
"208",9
"209",1
"210",5
"211",4
"212",7
"213",1
"214",10
"215",1
"216",4
"217",7
"218",5
"219",10
"220",10
"221",1
"222",2
"223",10
"224",2
"225",8
"226",9
"227",1
"228",6
"229",1
"230",6
"231",8
"232",3
"233",1
"234",9
"235",10
"236",2
"237",4
"238",4
"239",2
"240",7
"241",9
"242",5
"243",5
"244",8
"245",2
"246",7
"247",8
"248",1
"249",3
"250",5
"251",4
"252",4
"253",1
"254",6
"255",7
"256",9
"257",10
"258",7
"259",1
"260",10
"261",1
"262",9
"263",1
"264",1
"265",9
"266",9
"267",9
"268",3
"269",8
"270",1
"271",10
"272",10
"273",4
"274",9
"275",7
"276",2
"277",4
"278",10
"279",5
"280",6
"281",9
"282",10
"283",9
"284",9
"285",7
"286",10
"287",7
"288",6
"289",10
"290",2
"291",8
"292",2
"293",9
"294",1
"295",6
"296",10
"297",2
"298",4
"299",1
"300",4
"301",3
"302",5
"303",6
"304",10
"305",6
"306",5
"307",6
"308",8
"309",10
"310",9
"311",2
"312",1
"313",8
"314",1
"315",9
"316",6
"317",4
"318",2
"319",6
"320",1
"321",2
"322",3
"323",3
"324",10
"325",1
"326",7
"327",7
"328",10
"329",1
"330",7
"331",5
"332",1
"333",3
"334",2
"335",5
"336",10
"337",1
"338",6
"339",10
"340",7
"341",10
"342",2
"343",5
"344",4
"345",10
"346",8
"347",8
"348",9
"349",9
"350",6
"351",1
"352",10
"353",9
"354",9
"355",10
"356",10
"357",2
"358",9
"359",9
"360",5
"361",4
"362",6
"363",10
"364",2
"365",6
"366",4
"367",9
"368",1
"369",5
"370",1
"371",10
"372",10
"373",8
"374",10
"375",10
"376",2
"377",4
"378",10
"379",9
"380",9
"381",9
"382",3
"383",2
"384",5
"385",4
"386",5
"387",5
"388",10
"389",10
"390",7
"391",6
"392",5
"393",2
"394",6
"395",7
"396",3
"397",7
"398",2
"399",10
"400",9
"401",5
"402",7
"403",4
"404",2
"405",7
"406",6
"407",3
"408",5
"409",5
"410",9
"411",2
"412",9
"413",10
"414",4
"415",1
"416",8
"417",3
"418",7
"419",10
"420",4
"421",7
"422",2
"423",9
"424",2
"425",10
"426",10
"427",10
"428",2
"429",1
"430",10
"431",8
"432",2
"433",6
"434",1
"435",1
"436",1
"437",9
"438",1
"439",2
"440",8
"441",7
"442",3
"443",1
"444",4
"445",10
"446",1
"447",3
"448",9
"449",4
"450",9
"451",1
"452",5
"453",10
"454",9
"455",1
"456",5
"457",10
"458",10
"459",2
"460",9
"461",6
"462",1
"463",10
"464",7
"465",6
"466",9
"467",9
"468",2
"469",10
"470",5
"471",2
"472",2
"473",2
"474",2
"475",4
"476",9
"477",8
"478",1
"479",7
"480",10
"481",6
"482",7
"483",9
"484",9
"485",1
"486",5
"487",7
"488",1
"489",9
"490",10
"491",7
"492",4
"493",4
"494",4
"495",6
"496",7
"497",2
"498",9
"499",3
"500",10
"501",9
"502",6
"503",5
"504",8
"505",5
"506",4
"507",3
"508",4
"509",6
"510",2
"511",9
"512",9
"513",2
"514",4
"515",2
"516",10
"517",1
"518",10
"519",5
"520",10
"521",3
"522",3
"523",7
"524",1
"525",10
"526",9
"527",5
"528",9
"529",2
"530",10
"531",8
"532",2
"533",7
"534",4
"535",9
"536",10
"537",10
"538",5
"539",1
"540",10
"541",9
"542",1
"543",6
"544",10
"545",6
"546",10
"547",1
"548",2
"549",8
"550",10
"551",2
"552",7
"553",9
"554",1
"555",4
"556",2
"557",7
"558",5
"559",10
"560",1
"561",5
"562",7
"563",7
"564",5
"565",7
"566",9
"567",5
"568",7
"569",5
"570",7
"571",5
"572",2
"573",4
"574",2
"575",10
"576",7
"577",2
"578",7
"579",2
"580",7
"581",9
"582",10
"583",7
"584",7
"585",4
"586",10
"587",6
"588",2
"589",7
"590",10
"591",7
"592",6
"593",9
"594",7
"595",1
"596",6
"597",10
"598",7
"599",1
"600",7
"601",10
"602",10
"603",10
"604",4
"605",1
"606",2
"607",1
"608",3
"609",2
"610",4
"611",10
"612",10
"613",1
"614",4
"615",9
"616",2
"617",9
"618",5
"619",10
"620",10
"621",5
"622",5
"623",6
"624",3
"625",1
"626",5
"627",6
"628",9
"629",9
"630",8
"631",2
"632",1
"633",1
"634",9
"635",7
"636",2
"637",10
"638",2
"639",6
"640",7
"641",4
"642",5
"643",6
"644",2
"645",10
"646",5
"647",7
"648",8
"649",4
"650",10
"651",9
"652",5
"653",10
"654",8
"655",10
"656",1
"657",1
"658",2
"659",5
"660",1
"661",1
"662",2
"663",4
"664",2
"665",9
"666",10
"667",7
"668",10
"669",1
"670",10
"671",2
"672",10
"673",1
"674",1
"675",10
